"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.3502","0.6417","0.8376","0.9413","0.9853","0.9987","1","1"
"myframe_S","E1","15","0.4823","0.8088","0.9559","0.9948","0.9997","1","1","1"
"myframe_S","E1","30","0.6541","0.9441","0.9976","1","1","1","1","1"
"myframe_S","E1","45","0.7554","0.98","0.9998","1","1","1","1","1"
"myframe_S","E1","80","0.8643","0.9979","0.9999","1","1","1","1","1"
"myframe_S","E1","130","0.9436","0.9999","1","1","1","1","1","1"
"myframe_S","E1","215","0.9873","1","1","1","1","1","1","1"
"myframe_S","E1","360","0.9984","1","1","1","1","1","1","1"
"myframe_S","E1","600","1","1","1","1","1","1","1","1"
"myframe_S","E1","1000","1","1","1","1","1","1","1","1"
