"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0139","0.0302","0.0468","0.0637","0.0821","0.0994","0.1364","0.1767"
"myframe_S","E1","15","0.0205","0.0409","0.0641","0.0862","0.1058","0.1273","0.1707","0.2212"
"myframe_S","E1","30","0.0317","0.0622","0.092","0.1234","0.1533","0.1843","0.2482","0.3174"
"myframe_S","E1","45","0.0337","0.0706","0.1062","0.1452","0.1807","0.2198","0.2946","0.3736"
"myframe_S","E1","80","0.0478","0.0988","0.152","0.1989","0.25","0.2983","0.3943","0.49"
"myframe_S","E1","130","0.0612","0.1205","0.1806","0.2438","0.3064","0.3667","0.4827","0.5929"
"myframe_S","E1","215","0.081","0.1594","0.2337","0.31","0.3857","0.4607","0.5937","0.7025"
"myframe_S","E1","360","0.1002","0.2009","0.304","0.3981","0.4901","0.5718","0.7041","0.8036"
"myframe_S","E1","600","0.1278","0.2532","0.3796","0.4909","0.5942","0.6813","0.8131","0.8846"
"myframe_S","E1","1000","0.1605","0.3316","0.4796","0.608","0.7137","0.7956","0.895","0.9462"
"myframe_S","E2","10","0.0477","0.1001","0.1494","0.2003","0.2485","0.3","0.4023","0.4969"
"myframe_S","E2","15","0.0633","0.1242","0.1897","0.2501","0.3095","0.3721","0.493","0.6054"
"myframe_S","E2","30","0.0897","0.1743","0.2612","0.3493","0.4357","0.5115","0.6477","0.7533"
"myframe_S","E2","45","0.1086","0.2142","0.3182","0.4196","0.5135","0.5994","0.7416","0.8404"
"myframe_S","E2","80","0.1387","0.2796","0.4152","0.5375","0.6432","0.7343","0.8586","0.9227"
"myframe_S","E2","130","0.1838","0.353","0.5092","0.6462","0.7543","0.8367","0.9367","0.9724"
"myframe_S","E2","215","0.2316","0.453","0.6325","0.7743","0.8731","0.926","0.9785","0.9931"
"myframe_S","E2","360","0.3008","0.5604","0.7512","0.8724","0.9427","0.9741","0.9934","0.9987"
"myframe_S","E2","600","0.3807","0.6894","0.8698","0.9565","0.9869","0.9963","0.9996","1"
"myframe_S","E2","1000","0.4901","0.8089","0.946","0.9873","0.997","0.9996","0.9999","1"
"myframe_S","E3","10","0.081","0.1635","0.2439","0.3259","0.4067","0.4822","0.6277","0.742"
"myframe_S","E3","15","0.1021","0.2126","0.3105","0.4102","0.5081","0.5899","0.7327","0.8308"
"myframe_S","E3","30","0.1552","0.307","0.4436","0.563","0.6757","0.7603","0.8806","0.9358"
"myframe_S","E3","45","0.1838","0.3679","0.5301","0.662","0.7698","0.8504","0.9352","0.9717"
"myframe_S","E3","80","0.2525","0.4856","0.6735","0.8105","0.8966","0.9429","0.984","0.9952"
"myframe_S","E3","130","0.3155","0.5852","0.7817","0.9009","0.9567","0.9822","0.9972","0.9996"
"myframe_S","E3","215","0.4038","0.704","0.8808","0.9587","0.9888","0.9971","0.9997","0.9999"
"myframe_S","E3","360","0.5101","0.8291","0.9576","0.9923","0.9984","0.9999","1","1"
"myframe_S","E3","600","0.6246","0.9215","0.9891","0.999","0.9999","1","1","1"
"myframe_S","E3","1000","0.7486","0.9783","0.9991","0.9999","1","1","1","1"
"myframe_S","E4","10","0.1441","0.2804","0.406","0.5202","0.6241","0.7159","0.848","0.9125"
"myframe_S","E4","15","0.1533","0.3037","0.4478","0.5729","0.6889","0.7779","0.8895","0.9424"
"myframe_S","E4","30","0.2258","0.4357","0.6068","0.7462","0.8466","0.9108","0.9662","0.9859"
"myframe_S","E4","45","0.2587","0.4976","0.6842","0.8217","0.9034","0.9483","0.9823","0.9947"
"myframe_S","E4","80","0.3571","0.6499","0.8368","0.9288","0.9738","0.9894","0.9982","0.9998"
"myframe_S","E4","130","0.4348","0.7512","0.9171","0.9775","0.995","0.999","1","1"
"myframe_S","E4","215","0.5523","0.8667","0.9724","0.9948","0.9991","1","1","1"
"myframe_S","E4","360","0.6663","0.946","0.9951","0.9999","1","1","1","1"
