"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.386","0.6854","0.8693","0.9612","0.99","0.9978","1","1"
"myframe_S","E1","15","0.401","0.7068","0.8786","0.9604","0.9907","0.9988","1","1"
"myframe_S","E1","30","0.6049","0.9164","0.9907","0.9991","0.9999","1","1","1"
"myframe_S","E1","45","0.6899","0.9569","0.9978","1","1","1","1","1"
"myframe_S","E1","80","0.7925","0.9889","0.9996","1","1","1","1","1"
"myframe_S","E1","130","0.9054","0.9993","1","1","1","1","1","1"
"myframe_S","E1","215","0.9643","0.9999","1","1","1","1","1","1"
"myframe_S","E1","360","0.9943","1","1","1","1","1","1","1"
"myframe_S","E1","600","0.9998","1","1","1","1","1","1","1"
"myframe_S","E1","1000","1","1","1","1","1","1","1","1"
"myframe_S","E2","10","0.3401","0.6221","0.8178","0.9289","0.9776","0.9962","1","1"
"myframe_S","E2","15","0.4675","0.7863","0.9365","0.9879","0.9985","0.9999","1","1"
"myframe_S","E2","30","0.593","0.8983","0.987","0.9989","1","1","1","1"
"myframe_S","E2","45","0.7391","0.9724","0.9996","1","1","1","1","1"
"myframe_S","E2","80","0.8625","0.9969","1","1","1","1","1","1"
"myframe_S","E2","130","0.9306","0.9998","1","1","1","1","1","1"
"myframe_S","E2","215","0.9831","1","1","1","1","1","1","1"
"myframe_S","E2","360","0.9974","1","1","1","1","1","1","1"
"myframe_S","E2","600","1","1","1","1","1","1","1","1"
"myframe_S","E2","1000","1","1","1","1","1","1","1","1"
"myframe_S","E3","10","0.4062","0.7127","0.8993","0.9733","0.9968","0.9995","1","1"
"myframe_S","E3","15","0.4609","0.787","0.9407","0.9884","0.9981","0.9999","1","1"
"myframe_S","E3","30","0.6494","0.9406","0.9968","0.9999","1","1","1","1"
"myframe_S","E3","45","0.742","0.9776","0.9995","1","1","1","1","1"
"myframe_S","E3","80","0.8773","0.9981","1","1","1","1","1","1"
"myframe_S","E3","130","0.9499","1","1","1","1","1","1","1"
"myframe_S","E3","215","0.9896","1","1","1","1","1","1","1"
"myframe_S","E3","360","0.9983","1","1","1","1","1","1","1"
"myframe_S","E3","600","1","1","1","1","1","1","1","1"
"myframe_S","E3","1000","1","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.4131","0.7216","0.8998","0.9771","0.996","0.9997","1","1"
"myframe_S","E4","15","0.4634","0.7964","0.946","0.9915","0.9995","1","1","1"
"myframe_S","E4","30","0.6529","0.9394","0.9958","0.9998","1","1","1","1"
"myframe_S","E4","45","0.7456","0.9787","0.9996","1","1","1","1","1"
"myframe_S","E4","80","0.8828","0.9983","1","1","1","1","1","1"
"myframe_S","E4","130","0.9498","0.9999","1","1","1","1","1","1"
"myframe_S","E4","215","0.9892","1","1","1","1","1","1","1"
"myframe_S","E4","360","0.9996","1","1","1","1","1","1","1"
"myframe_S","E4","600","1","1","1","1","1","1","1","1"
"myframe_S","E4","1000","1","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.3529","0.6436","0.8496","0.9542","0.9904","0.9993","1","1"
"myframe_S","E5","15","0.4256","0.7373","0.9123","0.9825","0.9987","0.9998","1","1"
"myframe_S","E5","30","0.6019","0.9156","0.9903","0.9997","1","1","1","1"
"myframe_S","E5","45","0.6946","0.961","0.9982","0.9999","1","1","1","1"
"myframe_S","E5","80","0.8327","0.9947","1","1","1","1","1","1"
"myframe_S","E5","130","0.9169","0.9995","1","1","1","1","1","1"
"myframe_S","E5","215","0.9766","1","1","1","1","1","1","1"
"myframe_S","E5","360","0.9965","1","1","1","1","1","1","1"
"myframe_S","E5","600","0.9999","1","1","1","1","1","1","1"
"myframe_S","E5","1000","1","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.35","0.6509","0.8504","0.9501","0.9903","0.9997","1","1"
"myframe_S","E6","15","0.3756","0.6772","0.8747","0.9655","0.9952","0.9995","1","1"
"myframe_S","E6","30","0.5473","0.8685","0.9813","0.9988","1","1","1","1"
"myframe_S","E6","45","0.6336","0.9328","0.9948","1","1","1","1","1"
"myframe_S","E6","80","0.7908","0.9884","0.9999","1","1","1","1","1"
"myframe_S","E6","130","0.8892","0.9985","1","1","1","1","1","1"
"myframe_S","E6","215","0.9643","1","1","1","1","1","1","1"
"myframe_S","E6","360","0.9922","1","1","1","1","1","1","1"
"myframe_S","E6","600","0.9994","1","1","1","1","1","1","1"
"myframe_S","E6","1000","1","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.2434","0.4573","0.6471","0.8019","0.9039","0.9643","0.9972","0.9998"
"myframe_S","E7","15","0.3711","0.6691","0.8702","0.968","0.9951","0.9996","1","1"
"myframe_S","E7","30","0.4577","0.7804","0.9413","0.9914","0.9994","1","1","1"
"myframe_S","E7","45","0.6121","0.9175","0.9934","0.9999","1","1","1","1"
"myframe_S","E7","80","0.7254","0.9769","0.9996","1","1","1","1","1"
"myframe_S","E7","130","0.8394","0.9961","1","1","1","1","1","1"
"myframe_S","E7","215","0.9284","0.9997","1","1","1","1","1","1"
