"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0149","0.0313","0.0476","0.0629","0.0792","0.0952","0.1293","0.1699"
"myframe_S","E1","15","0.0198","0.0419","0.0634","0.0793","0.0987","0.1197","0.1626","0.2121"
"myframe_S","E1","30","0.0291","0.057","0.0862","0.1152","0.1468","0.1771","0.2407","0.3085"
"myframe_S","E1","45","0.0334","0.0704","0.107","0.1462","0.1838","0.2227","0.2994","0.3773"
"myframe_S","E1","80","0.045","0.0961","0.1486","0.1999","0.247","0.2941","0.3928","0.4855"
"myframe_S","E1","130","0.0617","0.1227","0.1887","0.2468","0.3066","0.3687","0.4843","0.587"
"myframe_S","E1","215","0.0753","0.1572","0.2336","0.3111","0.3866","0.4603","0.5936","0.6983"
"myframe_S","E1","360","0.1017","0.2028","0.3008","0.4011","0.4918","0.5708","0.7024","0.8015"
"myframe_S","E1","600","0.1302","0.2638","0.3859","0.5029","0.6039","0.6901","0.8206","0.8932"
"myframe_S","E1","1000","0.1662","0.3337","0.4852","0.6145","0.7179","0.8019","0.9011","0.9493"
"myframe_S","E2","10","0.0441","0.0856","0.1259","0.1666","0.2061","0.2453","0.3332","0.4255"
"myframe_S","E2","15","0.0565","0.1102","0.1657","0.2189","0.2761","0.3286","0.4384","0.5456"
"myframe_S","E2","30","0.0792","0.1546","0.2294","0.3063","0.3837","0.4529","0.5858","0.7054"
"myframe_S","E2","45","0.0935","0.1899","0.2942","0.3781","0.4696","0.5536","0.7018","0.8003"
"myframe_S","E2","80","0.1327","0.2578","0.3822","0.4967","0.6028","0.6938","0.8281","0.9046"
"myframe_S","E2","130","0.1624","0.3226","0.4702","0.6079","0.7182","0.806","0.911","0.9593"
"myframe_S","E2","215","0.2157","0.4184","0.5905","0.724","0.8265","0.8948","0.9657","0.9881"
"myframe_S","E2","360","0.269","0.5129","0.7134","0.8443","0.9249","0.967","0.9921","0.998"
"myframe_S","E2","600","0.3513","0.6412","0.8326","0.9324","0.975","0.991","0.9991","1"
"myframe_S","E2","1000","0.4529","0.7708","0.9268","0.9833","0.9966","0.9994","1","1"
"myframe_S","E3","10","0.0754","0.1566","0.2351","0.3158","0.3895","0.4669","0.5992","0.7203"
"myframe_S","E3","15","0.0952","0.1898","0.2859","0.3718","0.4592","0.5476","0.691","0.8033"
"myframe_S","E3","30","0.1242","0.2509","0.3733","0.4848","0.5882","0.6752","0.813","0.8996"
"myframe_S","E3","45","0.1647","0.3176","0.4615","0.584","0.691","0.7837","0.8999","0.9508"
"myframe_S","E3","80","0.2101","0.4045","0.5723","0.7161","0.8214","0.8902","0.9634","0.9864"
"myframe_S","E3","130","0.265","0.5108","0.705","0.8362","0.9168","0.9611","0.9918","0.998"
"myframe_S","E3","215","0.3428","0.6192","0.8202","0.9248","0.9726","0.9905","0.9994","0.9999"
