"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.1842","0.3599","0.5176","0.6455","0.7508","0.8306","0.941","0.9902"
"myframe_S","E1","15","0.227","0.4385","0.606","0.7359","0.8248","0.8947","0.9752","0.9989"
"myframe_S","E1","30","0.2784","0.5249","0.7165","0.8298","0.9082","0.9553","0.9962","1"
"myframe_S","E1","45","0.3483","0.6289","0.8067","0.9039","0.9534","0.985","0.9997","1"
"myframe_S","E1","80","0.4267","0.7467","0.8954","0.9577","0.9877","0.9985","1","1"
"myframe_S","E1","130","0.5195","0.8332","0.9454","0.987","0.9979","1","1","1"
"myframe_S","E1","215","0.6351","0.9112","0.981","0.998","0.9999","1","1","1"
"myframe_S","E1","360","0.7509","0.9679","0.9965","0.9998","1","1","1","1"
"myframe_S","E1","600","0.8588","0.9907","0.9999","1","1","1","1","1"
"myframe_S","E1","1000","0.9345","0.9991","1","1","1","1","1","1"
"myframe_S","E2","10","0.3006","0.5622","0.7539","0.8828","0.9524","0.985","0.9996","1"
"myframe_S","E2","15","0.3472","0.6308","0.8264","0.9295","0.9783","0.9954","0.9998","1"
"myframe_S","E2","30","0.4405","0.7595","0.9216","0.9809","0.9966","0.9999","1","1"
"myframe_S","E2","45","0.5296","0.8526","0.9663","0.9965","0.9995","1","1","1"
"myframe_S","E2","80","0.6414","0.928","0.9915","0.9996","1","1","1","1"
"myframe_S","E2","130","0.7568","0.9809","0.9996","1","1","1","1","1"
"myframe_S","E2","215","0.8678","0.9977","0.9999","1","1","1","1","1"
"myframe_S","E2","360","0.9487","0.9995","1","1","1","1","1","1"
"myframe_S","E2","600","0.9877","1","1","1","1","1","1","1"
"myframe_S","E2","1000","0.9987","1","1","1","1","1","1","1"
"myframe_S","E3","10","0.3922","0.693","0.8767","0.9598","0.9896","0.9982","0.9999","1"
"myframe_S","E3","15","0.4236","0.7437","0.9071","0.9767","0.9961","0.9997","1","1"
"myframe_S","E3","30","0.5589","0.8795","0.9774","0.9977","0.9997","1","1","1"
"myframe_S","E3","45","0.6822","0.9533","0.9968","1","1","1","1","1"
"myframe_S","E3","80","0.814","0.9901","0.9999","1","1","1","1","1"
"myframe_S","E3","130","0.9058","0.9992","1","1","1","1","1","1"
"myframe_S","E3","215","0.963","1","1","1","1","1","1","1"
"myframe_S","E3","360","0.9934","1","1","1","1","1","1","1"
"myframe_S","E3","600","0.9995","1","1","1","1","1","1","1"
"myframe_S","E3","1000","1","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.4386","0.7609","0.9234","0.9858","0.9982","0.9999","1","1"
"myframe_S","E4","15","0.5008","0.8249","0.9626","0.9948","0.9998","0.9999","1","1"
"myframe_S","E4","30","0.6703","0.9448","0.9971","0.9999","1","1","1","1"
"myframe_S","E4","45","0.7513","0.9759","0.9993","1","1","1","1","1"
"myframe_S","E4","80","0.8733","0.9976","1","1","1","1","1","1"
"myframe_S","E4","130","0.9546","1","1","1","1","1","1","1"
"myframe_S","E4","215","0.988","1","1","1","1","1","1","1"
"myframe_S","E4","360","0.9986","1","1","1","1","1","1","1"
"myframe_S","E4","600","1","1","1","1","1","1","1","1"
"myframe_S","E4","1000","1","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.164","0.3212","0.4707","0.5993","0.7089","0.7954","0.9006","0.9453"
"myframe_S","E5","15","0.2154","0.3986","0.5728","0.7142","0.8204","0.8917","0.9568","0.9812"
"myframe_S","E5","30","0.288","0.5415","0.7394","0.8636","0.9347","0.9685","0.9926","0.998"
"myframe_S","E5","45","0.3565","0.6481","0.8391","0.9342","0.9758","0.9906","0.9988","0.9998"
"myframe_S","E5","80","0.4671","0.7875","0.9376","0.9855","0.9966","0.9991","1","1"
"myframe_S","E5","130","0.569","0.8849","0.9818","0.9972","0.9997","1","1","1"
"myframe_S","E5","215","0.6846","0.9571","0.9987","0.9999","1","1","1","1"
"myframe_S","E5","360","0.8025","0.9907","1","1","1","1","1","1"
"myframe_S","E5","600","0.9085","0.9993","1","1","1","1","1","1"
"myframe_S","E5","1000","0.9684","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.2326","0.4392","0.6222","0.7665","0.8696","0.9282","0.9776","0.9949"
"myframe_S","E6","15","0.2832","0.5361","0.7287","0.8607","0.9335","0.9727","0.9953","0.9994"
"myframe_S","E6","30","0.375","0.6681","0.8545","0.9491","0.9836","0.9952","0.9999","1"
"myframe_S","E6","45","0.4626","0.7842","0.935","0.9856","0.997","0.999","1","1"
"myframe_S","E6","80","0.5699","0.8897","0.9832","0.998","0.9998","1","1","1"
"myframe_S","E6","130","0.6927","0.9587","0.9977","1","1","1","1","1"
"myframe_S","E6","215","0.8127","0.9907","0.9998","1","1","1","1","1"
"myframe_S","E6","360","0.9116","0.9991","1","1","1","1","1","1"
"myframe_S","E6","600","0.9714","1","1","1","1","1","1","1"
"myframe_S","E6","1000","0.9964","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.2825","0.5271","0.7263","0.8635","0.946","0.9842","0.9995","1"
"myframe_S","E7","15","0.301","0.5716","0.7772","0.908","0.9729","0.9929","0.9999","1"
"myframe_S","E7","30","0.4174","0.738","0.912","0.9792","0.9966","0.9999","1","1"
