"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0345","0.0707","0.1109","0.1497","0.1885","0.228","0.3091","0.3873"
"myframe_S","E1","15","0.0418","0.0844","0.1311","0.175","0.2214","0.2677","0.3702","0.4729"
"myframe_S","E1","30","0.0586","0.1213","0.1823","0.2395","0.2994","0.3575","0.4722","0.5891"
"myframe_S","E1","45","0.0697","0.1442","0.2225","0.2977","0.3676","0.4411","0.5768","0.7015"
"myframe_S","E1","80","0.0964","0.1927","0.285","0.3774","0.4665","0.5475","0.6994","0.8176"
"myframe_S","E1","130","0.1187","0.2349","0.3461","0.457","0.5562","0.6473","0.7948","0.8977"
"myframe_S","E1","215","0.1528","0.3091","0.4534","0.5741","0.6749","0.7655","0.8884","0.9554"
"myframe_S","E1","360","0.1957","0.3833","0.5441","0.6808","0.7833","0.8561","0.945","0.9831"
"myframe_S","E1","600","0.2429","0.4638","0.6456","0.7808","0.8676","0.9272","0.9841","0.9975"
"myframe_S","E1","1000","0.3062","0.5564","0.7421","0.8645","0.9337","0.9696","0.9967","0.9999"
"myframe_S","E2","10","0.0511","0.1048","0.1577","0.209","0.2614","0.317","0.4288","0.5451"
"myframe_S","E2","15","0.0661","0.1325","0.195","0.2621","0.3271","0.3929","0.5247","0.6507"
"myframe_S","E2","30","0.0825","0.1663","0.2507","0.3334","0.4143","0.492","0.6408","0.7758"
"myframe_S","E2","45","0.1008","0.2045","0.3031","0.409","0.503","0.5904","0.7468","0.8694"
"myframe_S","E2","80","0.1368","0.2757","0.402","0.5191","0.6241","0.7226","0.8661","0.9496"
"myframe_S","E2","130","0.1751","0.3381","0.4922","0.636","0.7547","0.841","0.9489","0.9901"
"myframe_S","E2","215","0.2179","0.427","0.6154","0.7566","0.8601","0.9283","0.9885","0.9995"
"myframe_S","E2","360","0.276","0.5289","0.7221","0.8616","0.937","0.9754","0.9986","0.9999"
"myframe_S","E2","600","0.3562","0.643","0.8329","0.937","0.9826","0.9956","1","1"
"myframe_S","E2","1000","0.4406","0.7602","0.9241","0.9833","0.998","0.9999","1","1"
"myframe_S","E3","10","0.0792","0.1594","0.2414","0.3171","0.3947","0.4628","0.6021","0.7318"
"myframe_S","E3","15","0.0905","0.1764","0.2619","0.3451","0.4226","0.5047","0.6434","0.7703"
"myframe_S","E3","30","0.1131","0.2255","0.3316","0.4391","0.5342","0.626","0.7787","0.8935"
"myframe_S","E3","45","0.1526","0.299","0.4397","0.5614","0.677","0.7704","0.899","0.9705"
"myframe_S","E3","80","0.1984","0.3861","0.5542","0.6951","0.8008","0.8812","0.9695","0.9957"
"myframe_S","E3","130","0.259","0.4804","0.6713","0.8124","0.9018","0.9554","0.9938","0.9993"
"myframe_S","E3","215","0.3103","0.5786","0.7762","0.9019","0.9641","0.9891","0.9995","1"
"myframe_S","E3","360","0.3928","0.7013","0.8885","0.9672","0.9927","0.9986","1","1"
"myframe_S","E3","600","0.4909","0.8163","0.9601","0.994","0.9993","1","1","1"
"myframe_S","E3","1000","0.5939","0.9053","0.9882","0.9995","1","1","1","1"
"myframe_S","E4","10","0.1224","0.2442","0.3581","0.466","0.563","0.6511","0.7969","0.8935"
"myframe_S","E4","15","0.1355","0.2662","0.395","0.5132","0.6179","0.7072","0.8468","0.9327"
"myframe_S","E4","30","0.176","0.3418","0.4921","0.6315","0.7466","0.8323","0.9434","0.9871"
"myframe_S","E4","45","0.2004","0.3866","0.5559","0.6985","0.8031","0.8806","0.9679","0.9938"
"myframe_S","E4","80","0.2645","0.5049","0.6973","0.8301","0.9142","0.9605","0.9957","0.9998"
"myframe_S","E4","130","0.3315","0.6163","0.814","0.9235","0.9757","0.9943","0.9999","1"
"myframe_S","E4","215","0.4106","0.7288","0.9054","0.9763","0.9952","0.9996","1","1"
"myframe_S","E4","360","0.5181","0.8425","0.9704","0.9961","0.9997","1","1","1"
"myframe_S","E4","600","0.6312","0.9256","0.9936","0.9998","1","1","1","1"
"myframe_S","E4","1000","0.7426","0.9781","0.9997","1","1","1","1","1"
"myframe_S","E5","10","0.2074","0.4101","0.5814","0.7279","0.8189","0.8698","0.9192","0.9477"
"myframe_S","E5","15","0.2622","0.497","0.6889","0.8197","0.8878","0.9213","0.9604","0.9799"
