"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0312","0.063","0.0918","0.1253","0.1578","0.1917","0.2769","0.3758"
"myframe_S","E1","15","0.0357","0.0728","0.1129","0.1529","0.1977","0.2414","0.343","0.4595"
"myframe_S","E1","30","0.0555","0.1121","0.168","0.2258","0.2853","0.3468","0.4646","0.6008"
"myframe_S","E1","45","0.0681","0.1396","0.2111","0.28","0.3477","0.4207","0.5605","0.6807"
"myframe_S","E1","80","0.094","0.185","0.2758","0.3696","0.4572","0.5405","0.684","0.7843"
"myframe_S","E1","130","0.1178","0.2317","0.3511","0.4615","0.565","0.6558","0.7946","0.8609"
"myframe_S","E1","215","0.1569","0.3078","0.4517","0.5742","0.6823","0.7674","0.8743","0.9206"
"myframe_S","E1","360","0.1901","0.3846","0.5602","0.697","0.8006","0.8718","0.938","0.9642"
"myframe_S","E1","600","0.2528","0.4946","0.6731","0.8072","0.8912","0.9343","0.9745","0.9887"
"myframe_S","E1","1000","0.3302","0.5987","0.7898","0.9022","0.9547","0.9781","0.994","0.9985"
"myframe_S","E2","10","0.1113","0.2178","0.3245","0.4316","0.5274","0.6207","0.7595","0.8239"
"myframe_S","E2","15","0.1315","0.2647","0.3957","0.515","0.6243","0.7197","0.8257","0.8729"
"myframe_S","E2","30","0.1902","0.3742","0.5391","0.6782","0.7856","0.8543","0.9191","0.9514"
"myframe_S","E2","45","0.2393","0.4565","0.6386","0.7756","0.8662","0.9155","0.9606","0.9813"
"myframe_S","E2","80","0.3107","0.5812","0.7747","0.8859","0.9457","0.9696","0.9908","0.9972"
"myframe_S","E2","130","0.3959","0.6991","0.8775","0.9551","0.9832","0.9936","0.9988","0.9997"
"myframe_S","E2","215","0.4789","0.8065","0.944","0.9844","0.9966","0.9992","1","1"
"myframe_S","E2","360","0.6068","0.911","0.9871","0.9987","0.9998","1","1","1"
"myframe_S","E2","600","0.7339","0.9695","0.9985","0.9999","0.9999","1","1","1"
"myframe_S","E2","1000","0.8443","0.9958","1","1","1","1","1","1"
"myframe_S","E3","10","0.2518","0.5002","0.6872","0.8114","0.8811","0.9207","0.9657","0.9834"
"myframe_S","E3","15","0.3397","0.6187","0.8043","0.8957","0.9384","0.9644","0.9877","0.9966"
"myframe_S","E3","30","0.4483","0.7712","0.9165","0.9675","0.9864","0.9944","0.9993","1"
"myframe_S","E3","45","0.5542","0.8617","0.9635","0.9898","0.9981","0.9998","1","1"
"myframe_S","E3","80","0.6823","0.9476","0.9916","0.9989","0.9999","1","1","1"
"myframe_S","E3","130","0.789","0.9831","0.9996","1","1","1","1","1"
"myframe_S","E3","215","0.8978","0.9976","1","1","1","1","1","1"
"myframe_S","E3","360","0.9642","0.9999","1","1","1","1","1","1"
"myframe_S","E3","600","0.9917","1","1","1","1","1","1","1"
"myframe_S","E3","1000","0.9988","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.4729","0.7929","0.9456","0.9888","0.9981","0.9993","0.9997","0.9998"
"myframe_S","E4","15","0.573","0.8938","0.9865","0.999","0.9999","1","1","1"
"myframe_S","E4","30","0.7512","0.9789","0.9995","1","1","1","1","1"
"myframe_S","E4","45","0.8407","0.9955","1","1","1","1","1","1"
"myframe_S","E4","80","0.9381","0.9996","1","1","1","1","1","1"
"myframe_S","E4","130","0.9814","1","1","1","1","1","1","1"
"myframe_S","E4","215","0.998","1","1","1","1","1","1","1"
"myframe_S","E4","360","0.9998","1","1","1","1","1","1","1"
"myframe_S","E4","600","1","1","1","1","1","1","1","1"
"myframe_S","E4","1000","1","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.3187","0.5858","0.7799","0.8992","0.9643","0.9872","0.9986","0.9999"
"myframe_S","E5","15","0.3632","0.663","0.855","0.9489","0.9852","0.997","1","1"
"myframe_S","E5","30","0.4795","0.815","0.9565","0.992","0.9995","1","1","1"
"myframe_S","E5","45","0.5767","0.8923","0.9845","0.9989","1","1","1","1"
"myframe_S","E5","80","0.7021","0.9633","0.9982","1","1","1","1","1"
"myframe_S","E5","130","0.8109","0.9927","0.9999","1","1","1","1","1"
"myframe_S","E5","215","0.9116","0.9998","1","1","1","1","1","1"
"myframe_S","E5","360","0.9741","1","1","1","1","1","1","1"
"myframe_S","E5","600","0.9956","1","1","1","1","1","1","1"
"myframe_S","E5","1000","0.9995","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.1804","0.3633","0.5271","0.6644","0.7782","0.8597","0.9539","0.9852"
"myframe_S","E6","15","0.2359","0.4503","0.6293","0.7738","0.8748","0.9315","0.9855","0.9969"
"myframe_S","E6","30","0.3292","0.6077","0.8019","0.9171","0.9702","0.9902","0.9996","0.9999"
"myframe_S","E6","45","0.3959","0.7003","0.8862","0.9634","0.9916","0.9983","0.9999","1"
"myframe_S","E6","80","0.5113","0.8317","0.9651","0.9958","0.9996","1","1","1"
"myframe_S","E6","130","0.6235","0.924","0.9943","0.9998","1","1","1","1"
"myframe_S","E6","215","0.7371","0.9726","0.9987","1","1","1","1","1"
"myframe_S","E6","360","0.8512","0.9964","1","1","1","1","1","1"
"myframe_S","E6","600","0.9283","0.9999","1","1","1","1","1","1"
"myframe_S","E6","1000","0.9771","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.1419","0.2844","0.4104","0.5342","0.6408","0.7323","0.8668","0.9389"
"myframe_S","E7","15","0.1869","0.3673","0.5222","0.6651","0.7727","0.8558","0.9513","0.9862"
"myframe_S","E7","30","0.2443","0.4679","0.6614","0.7986","0.8931","0.9481","0.9915","0.9984"
"myframe_S","E7","45","0.3041","0.5655","0.7591","0.8777","0.9514","0.983","0.9983","0.9999"
"myframe_S","E7","80","0.3943","0.699","0.8817","0.9635","0.9914","0.9982","1","1"
"myframe_S","E7","130","0.4911","0.8141","0.9562","0.9945","0.9991","0.9999","1","1"
"myframe_S","E7","215","0.6054","0.9075","0.9892","0.9993","0.9999","1","1","1"
"myframe_S","E7","360","0.7264","0.9692","0.9991","1","1","1","1","1"
"myframe_S","E7","600","0.8383","0.9962","1","1","1","1","1","1"
"myframe_S","E7","1000","0.9287","0.9996","1","1","1","1","1","1"
"myframe_S","E8","10","0.1137","0.2262","0.333","0.4362","0.5333","0.6164","0.7616","0.8685"
"myframe_S","E8","15","0.1463","0.2878","0.4234","0.546","0.6548","0.7462","0.868","0.9414"
"myframe_S","E8","30","0.1929","0.3821","0.5441","0.6729","0.778","0.8611","0.952","0.987"
"myframe_S","E8","45","0.2488","0.4728","0.6512","0.7893","0.8831","0.9387","0.9874","0.998"
"myframe_S","E8","80","0.3115","0.584","0.7836","0.9017","0.9605","0.9848","0.999","1"
"myframe_S","E8","130","0.4","0.7041","0.8861","0.9662","0.9909","0.998","1","1"
"myframe_S","E8","215","0.4985","0.8207","0.9539","0.991","0.9982","0.9998","1","1"
"myframe_S","E8","360","0.6107","0.9116","0.9893","0.9986","0.9999","1","1","1"
"myframe_S","E8","600","0.7241","0.9692","0.9986","1","1","1","1","1"
"myframe_S","E8","1000","0.8314","0.9932","1","1","1","1","1","1"
"myframe_S","E9","10","0.0222","0.0484","0.0722","0.0953","0.1217","0.1469","0.2019","0.2692"
"myframe_S","E9","15","0.0305","0.0578","0.0871","0.1187","0.1565","0.1906","0.2646","0.3418"
"myframe_S","E9","30","0.0408","0.083","0.1238","0.1675","0.213","0.258","0.3598","0.464"
"myframe_S","E9","45","0.0511","0.1084","0.1659","0.2196","0.2786","0.3352","0.4468","0.5669"
"myframe_S","E9","80","0.0698","0.1442","0.2193","0.2945","0.3682","0.4399","0.5781","0.7018"
"myframe_S","E9","130","0.087","0.1766","0.2687","0.3566","0.4456","0.5339","0.6912","0.8054"
"myframe_S","E9","215","0.1188","0.2302","0.3502","0.4616","0.5673","0.6617","0.8136","0.9003"
"myframe_S","E9","360","0.1472","0.2952","0.4306","0.5636","0.6813","0.7815","0.9124","0.9609"
"myframe_S","E9","600","0.1774","0.3591","0.5248","0.6738","0.7952","0.8824","0.967","0.9884"
"myframe_S","E9","1000","0.2271","0.4382","0.642","0.7939","0.9041","0.9601","0.9948","0.999"
"myframe_S","E10","10","0.0482","0.0958","0.1424","0.1938","0.2421","0.2924","0.4031","0.5103"
"myframe_S","E10","15","0.0604","0.1204","0.1801","0.2456","0.3108","0.3674","0.4899","0.5977"
"myframe_S","E10","30","0.0865","0.1729","0.2574","0.3408","0.4245","0.4987","0.6251","0.7243"
"myframe_S","E10","45","0.1038","0.2078","0.3132","0.4113","0.5044","0.5862","0.7226","0.8045"
"myframe_S","E10","80","0.1453","0.2854","0.41","0.5276","0.6262","0.7117","0.8251","0.8809"
"myframe_S","E10","130","0.1718","0.3408","0.4926","0.6189","0.7149","0.7876","0.8786","0.9259"
