"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0794","0.1573","0.2327","0.3125","0.3904","0.4699","0.6163","0.7412"
"myframe_S","E1","15","0.0804","0.1556","0.2398","0.3165","0.3964","0.4731","0.6159","0.7424"
"myframe_S","E1","30","0.1391","0.2751","0.4132","0.5385","0.6488","0.7372","0.8791","0.9504"
"myframe_S","E1","45","0.1661","0.3183","0.466","0.5977","0.7102","0.7979","0.9184","0.978"
"myframe_S","E1","80","0.1992","0.3848","0.5525","0.6857","0.7999","0.8755","0.9631","0.994"
"myframe_S","E1","130","0.2623","0.501","0.696","0.8338","0.9185","0.964","0.9954","0.9996"
"myframe_S","E1","215","0.3399","0.6211","0.8074","0.9224","0.972","0.9939","0.9999","1"
"myframe_S","E1","360","0.4186","0.7277","0.9021","0.9742","0.9951","0.9989","1","1"
"myframe_S","E1","600","0.5192","0.8469","0.9669","0.9955","0.9995","1","1","1"
"myframe_S","E1","1000","0.6298","0.9256","0.9921","0.9996","1","1","1","1"
"myframe_S","E2","10","0.0765","0.1524","0.226","0.2993","0.3704","0.4406","0.5743","0.7003"
"myframe_S","E2","15","0.1245","0.238","0.3549","0.4631","0.5597","0.6564","0.7995","0.9015"
"myframe_S","E2","30","0.1333","0.2715","0.4056","0.5228","0.6363","0.7284","0.8719","0.9501"
"myframe_S","E2","45","0.1967","0.3707","0.529","0.6702","0.781","0.866","0.9609","0.992"
"myframe_S","E2","80","0.249","0.4674","0.6487","0.7958","0.8903","0.9471","0.9925","0.9997"
"myframe_S","E2","130","0.3059","0.5706","0.7617","0.8857","0.9573","0.9855","0.9988","1"
"myframe_S","E2","215","0.3821","0.6846","0.8743","0.9603","0.9888","0.9977","1","1"
"myframe_S","E2","360","0.4796","0.8018","0.9462","0.9913","0.9992","0.9999","1","1"
"myframe_S","E2","600","0.5855","0.8998","0.9874","0.9995","1","1","1","1"
"myframe_S","E2","1000","0.6996","0.9654","0.9986","1","1","1","1","1"
"myframe_S","E3","10","0.1256","0.2496","0.3642","0.4705","0.5726","0.6615","0.8045","0.903"
"myframe_S","E3","15","0.1302","0.249","0.3651","0.4687","0.5664","0.6551","0.8025","0.8992"
"myframe_S","E3","30","0.1798","0.351","0.5004","0.6373","0.7447","0.8359","0.9386","0.9855"
"myframe_S","E3","45","0.2093","0.4077","0.581","0.7159","0.8275","0.905","0.9789","0.9971"
"myframe_S","E3","80","0.2823","0.5284","0.7199","0.8494","0.9298","0.9716","0.9981","1"
"myframe_S","E3","130","0.3432","0.6233","0.8213","0.929","0.9748","0.9945","0.9999","1"
"myframe_S","E3","215","0.4372","0.7566","0.9195","0.9818","0.998","0.9998","1","1"
"myframe_S","E3","360","0.536","0.8628","0.9735","0.9975","0.9999","1","1","1"
"myframe_S","E3","600","0.6503","0.9416","0.9958","1","1","1","1","1"
"myframe_S","E3","1000","0.7733","0.9844","0.9994","1","1","1","1","1"
"myframe_S","E4","10","0.1222","0.2414","0.3571","0.4674","0.5673","0.6611","0.8047","0.9046"
"myframe_S","E4","15","0.1325","0.261","0.3828","0.4952","0.6029","0.6943","0.8425","0.9308"
"myframe_S","E4","30","0.1918","0.387","0.5539","0.6905","0.7952","0.8757","0.9655","0.993"
"myframe_S","E4","45","0.2365","0.4483","0.6255","0.7677","0.8682","0.932","0.9871","0.9986"
"myframe_S","E4","80","0.3011","0.5649","0.7589","0.8855","0.9522","0.9849","0.9994","1"
"myframe_S","E4","130","0.3664","0.6655","0.8564","0.9508","0.986","0.9976","0.9999","1"
"myframe_S","E4","215","0.473","0.8044","0.9456","0.9898","0.9993","0.9999","1","1"
"myframe_S","E4","360","0.59","0.8939","0.9853","0.999","1","1","1","1"
"myframe_S","E4","600","0.6854","0.9623","0.9987","1","1","1","1","1"
"myframe_S","E4","1000","0.8098","0.9926","0.9999","1","1","1","1","1"
"myframe_S","E5","10","0.1492","0.2879","0.428","0.5511","0.6604","0.755","0.8884","0.9523"
"myframe_S","E5","15","0.1496","0.2945","0.4419","0.569","0.6782","0.7763","0.9041","0.9677"
"myframe_S","E5","30","0.2326","0.4526","0.6328","0.7776","0.8771","0.9324","0.9887","0.9985"
"myframe_S","E5","45","0.2665","0.5098","0.7096","0.8442","0.9303","0.9732","0.9975","0.9996"
"myframe_S","E5","80","0.3615","0.6557","0.8433","0.9404","0.9844","0.9974","0.9998","1"
"myframe_S","E5","130","0.4526","0.7611","0.9242","0.9834","0.9967","0.9997","1","1"
"myframe_S","E5","215","0.5638","0.8769","0.9804","0.9981","1","1","1","1"
"myframe_S","E5","360","0.6772","0.9566","0.9975","0.9999","1","1","1","1"
"myframe_S","E5","600","0.7921","0.9896","0.9999","1","1","1","1","1"
"myframe_S","E5","1000","0.8989","0.999","1","1","1","1","1","1"
"myframe_S","E6","10","0.1413","0.2867","0.4233","0.5469","0.6558","0.7537","0.8835","0.9551"
"myframe_S","E6","15","0.1692","0.3326","0.4915","0.633","0.7473","0.8381","0.9413","0.9843"
"myframe_S","E6","30","0.231","0.4523","0.6485","0.7884","0.8887","0.9485","0.9908","0.9991"
"myframe_S","E6","45","0.297","0.549","0.7431","0.878","0.948","0.9827","0.9986","1"
"myframe_S","E6","80","0.3837","0.6795","0.8652","0.9591","0.9918","0.9991","1","1"
"myframe_S","E6","130","0.4659","0.7976","0.944","0.9889","0.9988","1","1","1"
"myframe_S","E6","215","0.5777","0.8947","0.9858","0.9991","1","1","1","1"
"myframe_S","E6","360","0.6931","0.9635","0.9982","1","1","1","1","1"
"myframe_S","E6","600","0.817","0.9915","0.9999","1","1","1","1","1"
"myframe_S","E6","1000","0.9044","0.9995","1","1","1","1","1","1"
"myframe_S","E7","10","0.1633","0.3189","0.4702","0.6029","0.715","0.8038","0.9188","0.9672"
"myframe_S","E7","15","0.1664","0.3299","0.4855","0.627","0.7439","0.8353","0.9389","0.9811"
"myframe_S","E7","30","0.2245","0.4484","0.6448","0.7962","0.8985","0.9547","0.9941","0.9994"
"myframe_S","E7","45","0.283","0.5464","0.7537","0.8866","0.9565","0.9856","0.9993","1"
"myframe_S","E7","80","0.3919","0.6959","0.8803","0.966","0.9928","0.9989","1","1"
"myframe_S","E7","130","0.4775","0.8027","0.9485","0.9923","0.999","0.9999","1","1"
"myframe_S","E7","215","0.5887","0.9038","0.9902","0.9995","1","1","1","1"
"myframe_S","E7","360","0.7066","0.9672","0.9996","0.9999","1","1","1","1"
"myframe_S","E7","600","0.8314","0.9947","0.9999","1","1","1","1","1"
"myframe_S","E7","1000","0.9176","0.9997","1","1","1","1","1","1"
"myframe_S","E8","10","0.1979","0.3778","0.5411","0.6788","0.7888","0.8706","0.9571","0.9867"
"myframe_S","E8","15","0.2049","0.4015","0.5755","0.722","0.8304","0.902","0.969","0.9916"
"myframe_S","E8","30","0.2314","0.4646","0.6635","0.8153","0.9161","0.967","0.9968","1"
"myframe_S","E8","45","0.2877","0.5489","0.7617","0.8926","0.9616","0.9878","0.9994","0.9999"
"myframe_S","E8","80","0.3864","0.6911","0.883","0.9686","0.9945","0.9995","1","1"
"myframe_S","E8","130","0.4797","0.8142","0.9593","0.995","0.9997","1","1","1"
"myframe_S","E8","215","0.5949","0.9113","0.9901","0.9993","0.9999","1","1","1"
"myframe_S","E8","360","0.7311","0.9735","0.9993","1","1","1","1","1"
"myframe_S","E8","600","0.8429","0.9961","1","1","1","1","1","1"
"myframe_S","E8","1000","0.9331","1","1","1","1","1","1","1"
