"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.1338","0.2727","0.4043","0.5281","0.6425","0.7384","0.8727","0.9303"
"myframe_S","E1","15","0.2758","0.5184","0.7255","0.8749","0.9553","0.9878","0.9997","1"
"myframe_S","E1","30","0.4323","0.7562","0.9327","0.9893","0.9998","1","1","1"
"myframe_S","E1","45","0.5054","0.8379","0.9678","0.998","1","1","1","1"
"myframe_S","E1","80","0.6197","0.9131","0.9874","0.9983","0.9997","1","1","1"
"myframe_S","E1","130","0.7613","0.9801","0.9994","0.9999","1","1","1","1"
"myframe_S","E1","215","0.7451","0.9693","0.9968","0.9998","1","1","1","1"
"myframe_S","E1","360","0.8569","0.9928","0.9998","1","1","1","1","1"
"myframe_S","E1","600","0.9298","0.9986","1","1","1","1","1","1"
"myframe_S","E1","1000","0.9768","0.9999","1","1","1","1","1","1"
