"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0325","0.0635","0.095","0.1277","0.1612","0.1958","0.28","0.3808"
"myframe_S","E1","15","0.0378","0.0772","0.116","0.1577","0.2014","0.2487","0.3419","0.4566"
"myframe_S","E1","30","0.055","0.112","0.1694","0.2311","0.2899","0.3488","0.4743","0.6066"
"myframe_S","E1","45","0.0707","0.1401","0.2107","0.2778","0.3469","0.422","0.5662","0.6825"
"myframe_S","E1","80","0.0938","0.1828","0.2815","0.3721","0.4596","0.5481","0.692","0.7843"
"myframe_S","E1","130","0.1199","0.2341","0.354","0.4632","0.563","0.6513","0.783","0.8551"
"myframe_S","E1","215","0.1573","0.3079","0.4506","0.5765","0.6826","0.7739","0.8744","0.9216"
"myframe_S","E1","360","0.1984","0.3895","0.5589","0.6921","0.8002","0.8659","0.9353","0.9646"
"myframe_S","E1","600","0.26","0.4821","0.6736","0.8098","0.8924","0.9344","0.9766","0.99"
"myframe_S","E1","1000","0.3287","0.6062","0.7979","0.9066","0.955","0.9778","0.9943","0.9985"
"myframe_S","E2","10","0.102","0.2077","0.3094","0.405","0.5013","0.5957","0.7437","0.8168"
"myframe_S","E2","15","0.1235","0.2574","0.3896","0.5084","0.6214","0.716","0.8368","0.8856"
"myframe_S","E2","30","0.1902","0.3677","0.5314","0.6715","0.7731","0.8454","0.9224","0.9541"
"myframe_S","E2","45","0.229","0.4379","0.6216","0.7636","0.8576","0.9105","0.9572","0.981"
"myframe_S","E2","80","0.2986","0.5686","0.7633","0.8831","0.9398","0.967","0.9889","0.9964"
"myframe_S","E2","130","0.3766","0.6805","0.8622","0.9469","0.98","0.9915","0.9979","0.9997"
"myframe_S","E2","215","0.4728","0.8015","0.9448","0.9844","0.9969","0.999","1","1"
"myframe_S","E2","360","0.5908","0.9025","0.9843","0.9982","0.9997","1","1","1"
"myframe_S","E2","600","0.715","0.9682","0.9982","0.9997","1","1","1","1"
"myframe_S","E2","1000","0.8335","0.9926","0.9998","1","1","1","1","1"
"myframe_S","E3","10","0.2246","0.4234","0.595","0.7347","0.838","0.8974","0.9517","0.9786"
"myframe_S","E3","15","0.272","0.5207","0.7195","0.8496","0.9193","0.9552","0.9869","0.9959"
"myframe_S","E3","30","0.3922","0.6919","0.874","0.949","0.9796","0.9927","0.9987","0.9999"
"myframe_S","E3","45","0.4774","0.7879","0.9356","0.9794","0.9929","0.9983","0.9999","0.9999"
"myframe_S","E3","80","0.6031","0.9045","0.9853","0.9974","0.9999","1","1","1"
"myframe_S","E3","130","0.7014","0.963","0.9954","0.9996","1","1","1","1"
"myframe_S","E3","215","0.8297","0.9925","0.9997","1","1","1","1","1"
"myframe_S","E3","360","0.929","0.9994","1","1","1","1","1","1"
"myframe_S","E3","600","0.9797","1","1","1","1","1","1","1"
"myframe_S","E3","1000","0.9973","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.4617","0.777","0.9357","0.9872","0.998","0.9998","1","1"
"myframe_S","E4","15","0.5319","0.8526","0.9718","0.9967","0.9995","1","1","1"
"myframe_S","E4","30","0.7008","0.9619","0.9982","1","1","1","1","1"
"myframe_S","E4","45","0.7825","0.9869","0.9997","1","1","1","1","1"
"myframe_S","E4","80","0.907","0.9993","1","1","1","1","1","1"
"myframe_S","E4","130","0.9671","1","1","1","1","1","1","1"
"myframe_S","E4","215","0.9932","1","1","1","1","1","1","1"
