"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.2966","0.5451","0.7438","0.8663","0.9363","0.9678","0.9921","0.9981"
"myframe_S","E1","15","0.4118","0.7216","0.8917","0.9625","0.9895","0.9968","0.9998","1"
"myframe_S","E1","30","0.5428","0.8601","0.968","0.9937","0.9993","0.9998","1","1"
"myframe_S","E1","45","0.6344","0.9237","0.9905","0.9986","0.9997","1","1","1"
"myframe_S","E1","80","0.7804","0.9842","0.9995","1","1","1","1","1"
"myframe_S","E1","130","0.8818","0.9978","1","1","1","1","1","1"
"myframe_S","E1","215","0.9553","0.9999","1","1","1","1","1","1"
"myframe_S","E1","360","0.9909","1","1","1","1","1","1","1"
"myframe_S","E1","600","0.9992","1","1","1","1","1","1","1"
"myframe_S","E1","1000","1","1","1","1","1","1","1","1"
