"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0959","0.1948","0.2877","0.3714","0.4511","0.513","0.6077","0.6696"
"myframe_S","E1","15","0.1097","0.2202","0.3195","0.4181","0.5016","0.5707","0.6689","0.7376"
"myframe_S","E1","30","0.1342","0.2678","0.3903","0.5029","0.5976","0.6676","0.758","0.8288"
"myframe_S","E1","45","0.1605","0.3207","0.4638","0.5823","0.6665","0.7281","0.809","0.8861"
"myframe_S","E1","80","0.2028","0.3922","0.5456","0.661","0.735","0.7871","0.879","0.9476"
"myframe_S","E1","130","0.2502","0.4655","0.6285","0.7333","0.8035","0.8549","0.9352","0.9831"
"myframe_S","E1","215","0.2967","0.5333","0.695","0.7928","0.8607","0.9145","0.9754","0.997"
"myframe_S","E1","360","0.3585","0.6171","0.7646","0.8578","0.9195","0.9611","0.9952","0.9996"
"myframe_S","E1","600","0.4005","0.6711","0.8308","0.921","0.9652","0.9875","0.9997","0.9998"
"myframe_S","E1","1000","0.4301","0.7269","0.8931","0.9654","0.9919","0.9987","1","1"
"myframe_S","E2","10","0.1244","0.2487","0.3785","0.4947","0.5993","0.6886","0.8189","0.8932"
"myframe_S","E2","15","0.1533","0.3033","0.4488","0.5762","0.6905","0.7794","0.8847","0.9436"
"myframe_S","E2","30","0.1949","0.38","0.5512","0.6951","0.8018","0.8762","0.946","0.9826"
"myframe_S","E2","45","0.2414","0.4678","0.6575","0.793","0.8826","0.9322","0.9778","0.995"
"myframe_S","E2","80","0.3034","0.5784","0.7723","0.8862","0.9437","0.971","0.9956","0.9997"
"myframe_S","E2","130","0.374","0.683","0.8682","0.951","0.9812","0.9924","0.9997","1"
"myframe_S","E2","215","0.4781","0.805","0.9435","0.9858","0.9957","0.9996","1","1"
"myframe_S","E2","360","0.5832","0.9014","0.9842","0.9975","1","1","1","1"
"myframe_S","E2","600","0.7124","0.9636","0.9975","0.9998","1","1","1","1"
"myframe_S","E2","1000","0.8267","0.9929","0.9997","1","1","1","1","1"
"myframe_S","E3","10","0.1922","0.3776","0.5493","0.6891","0.7918","0.8637","0.9413","0.9769"
"myframe_S","E3","15","0.2081","0.3989","0.5672","0.7077","0.8119","0.8785","0.9496","0.9828"
"myframe_S","E3","30","0.2721","0.519","0.7128","0.8415","0.9187","0.957","0.988","0.9981"
"myframe_S","E3","45","0.3468","0.6444","0.8327","0.9292","0.9709","0.988","0.9984","0.9999"
"myframe_S","E3","80","0.4409","0.7616","0.9217","0.9777","0.9944","0.9985","0.9999","1"
"myframe_S","E3","130","0.542","0.8699","0.9732","0.994","0.9987","1","1","1"
"myframe_S","E3","215","0.6592","0.9453","0.9949","0.9996","1","1","1","1"
"myframe_S","E3","360","0.7874","0.9857","0.9996","1","1","1","1","1"
"myframe_S","E3","600","0.8855","0.9989","1","1","1","1","1","1"
"myframe_S","E3","1000","0.9576","0.9999","1","1","1","1","1","1"
"myframe_S","E4","10","0.287","0.5448","0.7384","0.8616","0.9268","0.9612","0.9903","0.9975"
"myframe_S","E4","15","0.3237","0.5934","0.7887","0.8997","0.9572","0.9806","0.9962","0.9995"
"myframe_S","E4","30","0.4222","0.7307","0.8976","0.9638","0.9887","0.9959","0.9994","1"
"myframe_S","E4","45","0.4647","0.7777","0.9294","0.9809","0.9944","0.999","0.9999","1"
"myframe_S","E4","80","0.5743","0.889","0.9807","0.9975","0.9997","1","1","1"
"myframe_S","E4","130","0.6968","0.9623","0.9975","1","1","1","1","1"
"myframe_S","E4","215","0.8142","0.9918","0.9997","1","1","1","1","1"
"myframe_S","E4","360","0.9094","0.9991","1","1","1","1","1","1"
"myframe_S","E4","600","0.9711","0.9999","1","1","1","1","1","1"
"myframe_S","E4","1000","0.9947","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.4224","0.738","0.9092","0.9728","0.9912","0.9972","0.9999","0.9999"
"myframe_S","E5","15","0.5295","0.8483","0.9669","0.9945","0.9988","0.9999","1","1"
"myframe_S","E5","30","0.6884","0.9535","0.9971","0.9997","1","1","1","1"
"myframe_S","E5","45","0.7822","0.986","0.9996","1","1","1","1","1"
"myframe_S","E5","80","0.8982","0.9987","1","1","1","1","1","1"
"myframe_S","E5","130","0.9628","1","1","1","1","1","1","1"
"myframe_S","E5","215","0.993","1","1","1","1","1","1","1"
"myframe_S","E5","360","0.9996","1","1","1","1","1","1","1"
