"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0452","0.0874","0.1312","0.1771","0.2222","0.2646","0.3597","0.4565"
"myframe_S","E1","15","0.0534","0.1066","0.1593","0.2165","0.2733","0.3326","0.4494","0.5584"
"myframe_S","E1","30","0.0764","0.1517","0.232","0.3142","0.3932","0.4728","0.6201","0.7405"
"myframe_S","E1","45","0.0944","0.1924","0.2943","0.3906","0.4859","0.569","0.726","0.832"
"myframe_S","E1","80","0.1298","0.2559","0.3805","0.4956","0.6108","0.7122","0.8588","0.9372"
"myframe_S","E1","130","0.1645","0.3223","0.4709","0.6078","0.7318","0.8269","0.9434","0.981"
"myframe_S","E1","215","0.1817","0.3652","0.5478","0.7087","0.8285","0.9131","0.9856","0.9969"
"myframe_S","E1","360","0.2144","0.4357","0.6393","0.805","0.9142","0.9721","0.999","0.9998"
"myframe_S","E1","600","0.2288","0.483","0.7206","0.8856","0.9681","0.9949","0.9999","1"
"myframe_S","E1","1000","0.2291","0.5069","0.7754","0.9426","0.9935","0.9996","1","1"
"myframe_S","E2","10","0.0886","0.1773","0.2683","0.3536","0.434","0.5091","0.6495","0.7593"
"myframe_S","E2","15","0.1108","0.2198","0.3299","0.4306","0.5228","0.6142","0.7542","0.8453"
"myframe_S","E2","30","0.1669","0.3217","0.4701","0.5935","0.6985","0.7811","0.8913","0.9446"
"myframe_S","E2","45","0.1972","0.3808","0.5493","0.6853","0.7911","0.864","0.9442","0.9765"
"myframe_S","E2","80","0.2705","0.508","0.6928","0.8281","0.9094","0.9544","0.988","0.9969"
"myframe_S","E2","130","0.34","0.6147","0.8089","0.9186","0.9655","0.986","0.9979","0.9999"
"myframe_S","E2","215","0.4257","0.7375","0.9069","0.972","0.9917","0.9981","1","1"
"myframe_S","E2","360","0.5348","0.8568","0.968","0.9949","0.9996","0.9998","1","1"
"myframe_S","E2","600","0.6464","0.938","0.9934","0.9995","0.9999","1","1","1"
"myframe_S","E2","1000","0.765","0.9816","0.9992","0.9999","1","1","1","1"
"myframe_S","E3","10","0.1554","0.2983","0.4343","0.5556","0.6575","0.744","0.8687","0.9371"
"myframe_S","E3","15","0.1901","0.3694","0.5288","0.6657","0.7645","0.8407","0.9376","0.9761"
"myframe_S","E3","30","0.2467","0.4733","0.6558","0.7938","0.8856","0.9369","0.9837","0.9962"
"myframe_S","E3","45","0.3125","0.5749","0.7631","0.8826","0.9475","0.9779","0.9967","0.9997"
"myframe_S","E3","80","0.3893","0.6854","0.8659","0.9546","0.9852","0.9965","0.9997","1"
"myframe_S","E3","130","0.4862","0.8139","0.9485","0.9896","0.998","0.9996","1","1"
"myframe_S","E3","215","0.6102","0.9096","0.9887","0.9988","1","1","1","1"
"myframe_S","E3","360","0.7237","0.9667","0.9985","1","1","1","1","1"
"myframe_S","E3","600","0.8353","0.9945","0.9999","1","1","1","1","1"
"myframe_S","E3","1000","0.9232","0.9996","1","1","1","1","1","1"
"myframe_S","E4","10","0.194","0.3776","0.5399","0.675","0.7803","0.8586","0.9472","0.9832"
"myframe_S","E4","15","0.2603","0.4827","0.6598","0.8001","0.8916","0.9449","0.9891","0.9987"
"myframe_S","E4","30","0.3265","0.5955","0.7948","0.9095","0.9642","0.9877","0.9993","0.9999"
"myframe_S","E4","45","0.404","0.7086","0.8867","0.9622","0.9904","0.998","1","1"
"myframe_S","E4","80","0.5077","0.8251","0.9604","0.9937","0.9989","1","1","1"
"myframe_S","E4","130","0.6202","0.9182","0.9902","0.9997","1","1","1","1"
"myframe_S","E4","215","0.7352","0.974","0.9993","1","1","1","1","1"
"myframe_S","E4","360","0.8372","0.9949","1","1","1","1","1","1"
"myframe_S","E4","600","0.9343","0.9998","1","1","1","1","1","1"
"myframe_S","E4","1000","0.979","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.2391","0.4575","0.6348","0.7734","0.8728","0.9346","0.9867","0.9979"
"myframe_S","E5","15","0.2804","0.5234","0.7212","0.8516","0.9309","0.9698","0.9965","0.9998"
"myframe_S","E5","30","0.393","0.6903","0.8721","0.9577","0.9893","0.998","1","1"
"myframe_S","E5","45","0.4603","0.7823","0.9318","0.9867","0.9978","0.9999","1","1"
"myframe_S","E5","80","0.5946","0.9038","0.989","0.9996","1","1","1","1"
"myframe_S","E5","130","0.7089","0.9646","0.9978","1","1","1","1","1"
"myframe_S","E5","215","0.8196","0.9924","1","1","1","1","1","1"
