"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0202","0.0406","0.0586","0.0797","0.1006","0.1219","0.1646","0.2162"
"myframe_S","E1","15","0.0233","0.0466","0.0748","0.1029","0.1275","0.1538","0.2064","0.2691"
"myframe_S","E1","30","0.0381","0.0757","0.1128","0.1531","0.1904","0.2311","0.3091","0.3891"
"myframe_S","E1","45","0.0464","0.0951","0.1402","0.1864","0.233","0.2805","0.3751","0.4686"
"myframe_S","E1","80","0.0635","0.1273","0.1862","0.2429","0.3027","0.3588","0.4682","0.5737"
"myframe_S","E1","130","0.0774","0.1543","0.2326","0.3086","0.3798","0.4514","0.5805","0.6805"
"myframe_S","E1","215","0.1013","0.2033","0.297","0.3843","0.4693","0.5455","0.6778","0.7706"
"myframe_S","E1","360","0.1303","0.2516","0.3689","0.4773","0.572","0.6519","0.7754","0.8505"
"myframe_S","E1","600","0.1629","0.3134","0.45","0.5677","0.6683","0.7474","0.8517","0.912"
"myframe_S","E1","1000","0.1907","0.3734","0.537","0.6585","0.7591","0.8304","0.9153","0.9584"
"myframe_S","E2","10","0.0676","0.1336","0.199","0.2665","0.3299","0.3948","0.519","0.6331"
"myframe_S","E2","15","0.0849","0.1766","0.2634","0.3424","0.4195","0.4959","0.6336","0.7486"
"myframe_S","E2","30","0.1176","0.2343","0.3505","0.4568","0.558","0.6435","0.7851","0.875"
"myframe_S","E2","45","0.1471","0.2929","0.434","0.5671","0.6703","0.7531","0.8767","0.9361"
"myframe_S","E2","80","0.2016","0.391","0.5485","0.6831","0.7918","0.8706","0.9529","0.9798"
"myframe_S","E2","130","0.2503","0.4762","0.6609","0.7999","0.8882","0.9455","0.9884","0.9962"
"myframe_S","E2","215","0.3118","0.5831","0.7856","0.9014","0.9593","0.9846","0.9978","0.9998"
"myframe_S","E2","360","0.4096","0.7097","0.8942","0.9684","0.9918","0.9984","1","1"
"myframe_S","E2","600","0.5055","0.8286","0.9609","0.995","0.9994","1","1","1"
"myframe_S","E2","1000","0.6155","0.9216","0.9925","0.9995","0.9999","1","1","1"
"myframe_S","E3","10","0.1223","0.249","0.3619","0.4678","0.5719","0.6568","0.8009","0.8898"
"myframe_S","E3","15","0.1618","0.3154","0.4519","0.5852","0.6911","0.781","0.8964","0.9507"
"myframe_S","E3","30","0.2244","0.4368","0.6159","0.7549","0.8533","0.9173","0.9717","0.9911"
"myframe_S","E3","45","0.2873","0.5309","0.7289","0.8512","0.9276","0.9663","0.9921","0.9982"
"myframe_S","E3","80","0.3635","0.6656","0.8542","0.9465","0.9843","0.9942","0.999","1"
"myframe_S","E3","130","0.4578","0.7791","0.9354","0.9834","0.9969","0.9993","1","1"
"myframe_S","E3","215","0.5751","0.8919","0.9824","0.9974","0.9998","1","1","1"
"myframe_S","E3","360","0.6903","0.9596","0.9972","0.9999","1","1","1","1"
"myframe_S","E3","600","0.813","0.9938","0.9999","1","1","1","1","1"
"myframe_S","E3","1000","0.9175","0.9995","1","1","1","1","1","1"
"myframe_S","E4","10","0.2056","0.4034","0.5749","0.7125","0.8203","0.8976","0.9672","0.9885"
"myframe_S","E4","15","0.2384","0.4628","0.6482","0.7862","0.8836","0.9406","0.9847","0.9969"
"myframe_S","E4","30","0.3382","0.6212","0.8212","0.9266","0.9752","0.991","0.9991","0.9999"
"myframe_S","E4","45","0.3971","0.7042","0.8811","0.9643","0.9914","0.9982","1","1"
"myframe_S","E4","80","0.5176","0.8448","0.9701","0.9957","0.9995","0.9999","1","1"
"myframe_S","E4","130","0.6387","0.9319","0.9928","0.9993","0.9999","1","1","1"
"myframe_S","E4","215","0.7539","0.9798","0.9997","1","1","1","1","1"
"myframe_S","E4","360","0.8701","0.9975","1","1","1","1","1","1"
"myframe_S","E4","600","0.9507","0.9999","1","1","1","1","1","1"
"myframe_S","E4","1000","0.9885","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.284","0.5329","0.7293","0.866","0.9434","0.9812","0.9982","0.9998"
"myframe_S","E5","15","0.3394","0.6271","0.8273","0.934","0.9822","0.9958","1","1"
"myframe_S","E5","30","0.4775","0.8073","0.955","0.9925","0.9995","1","1","1"
"myframe_S","E5","45","0.5747","0.8873","0.9877","0.9992","1","1","1","1"
"myframe_S","E5","80","0.71","0.9668","0.9985","1","1","1","1","1"
"myframe_S","E5","130","0.8261","0.9942","1","1","1","1","1","1"
"myframe_S","E5","215","0.9185","0.9988","1","1","1","1","1","1"
"myframe_S","E5","360","0.9793","1","1","1","1","1","1","1"
"myframe_S","E5","600","0.996","1","1","1","1","1","1","1"
"myframe_S","E5","1000","1","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.4366","0.7563","0.926","0.9843","0.9979","0.9999","1","1"
"myframe_S","E6","15","0.5306","0.856","0.9742","0.9977","0.9998","1","1","1"
"myframe_S","E6","30","0.6544","0.9412","0.9947","0.9999","1","1","1","1"
"myframe_S","E6","45","0.7717","0.9856","0.9996","1","1","1","1","1"
"myframe_S","E6","80","0.8814","0.9979","1","1","1","1","1","1"
"myframe_S","E6","130","0.9528","1","1","1","1","1","1","1"
"myframe_S","E6","215","0.9907","1","1","1","1","1","1","1"
"myframe_S","E6","360","0.9986","1","1","1","1","1","1","1"
"myframe_S","E6","600","1","1","1","1","1","1","1","1"
"myframe_S","E6","1000","1","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.343","0.6202","0.8172","0.9255","0.9742","0.9923","0.999","0.9997"
"myframe_S","E7","15","0.4697","0.7972","0.9423","0.9879","0.9967","0.9995","1","1"
"myframe_S","E7","30","0.6319","0.9271","0.9921","0.9993","0.9999","1","1","1"
"myframe_S","E7","45","0.7285","0.9722","0.9989","1","1","1","1","1"
"myframe_S","E7","80","0.8609","0.997","1","1","1","1","1","1"
"myframe_S","E7","130","0.9497","0.9999","1","1","1","1","1","1"
"myframe_S","E7","215","0.9879","1","1","1","1","1","1","1"
"myframe_S","E7","360","0.9983","1","1","1","1","1","1","1"
"myframe_S","E7","600","1","1","1","1","1","1","1","1"
"myframe_S","E7","1000","1","1","1","1","1","1","1","1"
"myframe_S","E8","10","0.2966","0.5495","0.7444","0.8658","0.9367","0.9695","0.9936","0.9983"
"myframe_S","E8","15","0.3994","0.7032","0.8758","0.9573","0.9846","0.995","0.9992","0.9999"
"myframe_S","E8","30","0.5309","0.8521","0.9665","0.9934","0.9991","0.9999","1","1"
"myframe_S","E8","45","0.6212","0.9189","0.9888","0.9984","1","1","1","1"
"myframe_S","E8","80","0.7378","0.9734","0.9977","1","1","1","1","1"
"myframe_S","E8","130","0.8404","0.9941","1","1","1","1","1","1"
"myframe_S","E8","215","0.9335","0.9998","1","1","1","1","1","1"
"myframe_S","E8","360","0.9827","1","1","1","1","1","1","1"
"myframe_S","E8","600","0.9979","1","1","1","1","1","1","1"
"myframe_S","E8","1000","0.9999","1","1","1","1","1","1","1"
"myframe_S","E9","10","0.2947","0.543","0.7301","0.8572","0.9285","0.9663","0.9918","0.9986"
"myframe_S","E9","15","0.3841","0.692","0.8681","0.9527","0.9841","0.9944","0.9994","1"
"myframe_S","E9","30","0.515","0.8416","0.9612","0.9912","0.9984","0.9998","1","1"
"myframe_S","E9","45","0.6048","0.9131","0.9887","0.9983","0.9998","1","1","1"
"myframe_S","E9","80","0.7526","0.9751","0.9991","1","1","1","1","1"
"myframe_S","E9","130","0.8664","0.998","1","1","1","1","1","1"
"myframe_S","E9","215","0.9473","0.9999","1","1","1","1","1","1"
"myframe_S","E9","360","0.9874","1","1","1","1","1","1","1"
"myframe_S","E9","600","0.9986","1","1","1","1","1","1","1"
"myframe_S","E9","1000","0.9999","1","1","1","1","1","1","1"
"myframe_S","E10","10","0.3708","0.6699","0.8538","0.9468","0.9819","0.9943","0.9996","0.9998"
"myframe_S","E10","15","0.439","0.7599","0.9176","0.9757","0.9944","0.9995","1","1"
"myframe_S","E10","30","0.5443","0.867","0.9727","0.9969","0.9995","0.9999","1","1"
"myframe_S","E10","45","0.657","0.9386","0.9943","0.9995","0.9999","1","1","1"
"myframe_S","E10","80","0.759","0.9813","0.9992","1","1","1","1","1"
"myframe_S","E10","130","0.8776","0.998","1","1","1","1","1","1"
"myframe_S","E10","215","0.9497","1","1","1","1","1","1","1"
"myframe_S","E10","360","0.9889","1","1","1","1","1","1","1"
"myframe_S","E10","600","0.9988","1","1","1","1","1","1","1"
"myframe_S","E10","1000","1","1","1","1","1","1","1","1"
