"","myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50","distribution","model","Diam_distribution"
"1","myframe_S","E1",10,0.3996,0.6987,0.876,0.9604,0.9897,0.9976,1,1,"Parabolic","Model 1","Uni"
"2","myframe_S","E1",15,0.4,0.7014,0.8822,0.9621,0.9903,0.9985,1,1,"Parabolic","Model 1","Uni"
"3","myframe_S","E1",30,0.613,0.9173,0.9905,0.9995,1,1,1,1,"Parabolic","Model 1","Uni"
"4","myframe_S","E1",45,0.6948,0.9544,0.9967,0.9999,1,1,1,1,"Parabolic","Model 1","Uni"
"5","myframe_S","E1",80,0.7967,0.9893,0.9994,1,1,1,1,1,"Parabolic","Model 1","Uni"
"6","myframe_S","E1",130,0.9131,0.9993,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"7","myframe_S","E1",215,0.9692,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"8","myframe_S","E1",360,0.9939,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"9","myframe_S","E1",600,0.9998,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"10","myframe_S","E1",1000,0.9999,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"11","myframe_S","E2",10,0.3353,0.6161,0.808,0.9212,0.9749,0.9938,0.9998,1,"Parabolic","Model 1","Uni"
"12","myframe_S","E2",15,0.461,0.7917,0.9437,0.989,0.9987,0.9999,1,1,"Parabolic","Model 1","Uni"
"13","myframe_S","E2",30,0.5962,0.9036,0.986,0.999,0.9999,1,1,1,"Parabolic","Model 1","Uni"
"14","myframe_S","E2",45,0.7318,0.9729,0.9987,0.9999,1,1,1,1,"Parabolic","Model 1","Uni"
"15","myframe_S","E2",80,0.8538,0.9956,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"16","myframe_S","E2",130,0.9382,0.9996,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"17","myframe_S","E2",215,0.9839,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"18","myframe_S","E2",360,0.9981,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"19","myframe_S","E2",600,0.9999,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"20","myframe_S","E2",1000,1,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"21","myframe_S","E3",10,0.3989,0.7117,0.8945,0.9729,0.9956,0.9995,1,1,"Parabolic","Model 1","Uni"
"22","myframe_S","E3",15,0.4626,0.7906,0.9415,0.9886,0.9988,0.9999,1,1,"Parabolic","Model 1","Uni"
"23","myframe_S","E3",30,0.6475,0.9393,0.9958,0.9998,1,1,1,1,"Parabolic","Model 1","Uni"
"24","myframe_S","E3",45,0.7465,0.9783,0.9994,1,1,1,1,1,"Parabolic","Model 1","Uni"
"25","myframe_S","E3",80,0.8749,0.9982,0.9999,1,1,1,1,1,"Parabolic","Model 1","Uni"
"26","myframe_S","E3",130,0.9496,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"27","myframe_S","E3",215,0.9894,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"28","myframe_S","E3",360,0.9995,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"29","myframe_S","E3",600,1,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"30","myframe_S","E3",1000,1,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"31","myframe_S","E4",10,0.4135,0.7186,0.8962,0.9721,0.9959,0.9996,1,1,"Parabolic","Model 1","Uni"
"32","myframe_S","E4",15,0.4757,0.7999,0.9461,0.9922,0.9995,1,1,1,"Parabolic","Model 1","Uni"
"33","myframe_S","E4",30,0.6641,0.9451,0.9966,0.9999,1,1,1,1,"Parabolic","Model 1","Uni"
"34","myframe_S","E4",45,0.7553,0.9807,0.9998,1,1,1,1,1,"Parabolic","Model 1","Uni"
"35","myframe_S","E4",80,0.8845,0.9981,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"36","myframe_S","E4",130,0.9521,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"37","myframe_S","E4",215,0.9889,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"38","myframe_S","E4",360,0.9992,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"39","myframe_S","E4",600,1,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"40","myframe_S","E4",1000,1,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"41","myframe_S","E5",10,0.3519,0.6515,0.8505,0.9517,0.9901,0.9992,1,1,"Parabolic","Model 1","Uni"
"42","myframe_S","E5",15,0.4207,0.7404,0.9169,0.9837,0.9981,1,1,1,"Parabolic","Model 1","Uni"
"43","myframe_S","E5",30,0.5977,0.9158,0.9908,0.9994,1,1,1,1,"Parabolic","Model 1","Uni"
"44","myframe_S","E5",45,0.7091,0.9627,0.9986,1,1,1,1,1,"Parabolic","Model 1","Uni"
"45","myframe_S","E5",80,0.8288,0.9947,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"46","myframe_S","E5",130,0.9227,0.9997,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"47","myframe_S","E5",215,0.9761,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"48","myframe_S","E5",360,0.9966,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"49","myframe_S","E5",600,0.9999,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"50","myframe_S","E5",1000,1,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"51","myframe_S","E6",10,0.3541,0.6528,0.8439,0.9513,0.9899,0.9988,1,1,"Parabolic","Model 1","Uni"
"52","myframe_S","E6",15,0.374,0.6753,0.8768,0.9675,0.9947,0.9999,1,1,"Parabolic","Model 1","Uni"
"53","myframe_S","E6",30,0.5449,0.8778,0.9827,0.9989,1,1,1,1,"Parabolic","Model 1","Uni"
"54","myframe_S","E6",45,0.64,0.9399,0.9963,1,1,1,1,1,"Parabolic","Model 1","Uni"
"55","myframe_S","E6",80,0.7859,0.9904,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"56","myframe_S","E6",130,0.8922,0.9993,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"57","myframe_S","E6",215,0.9649,0.9999,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"58","myframe_S","E6",360,0.9926,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"59","myframe_S","E6",600,0.9998,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"60","myframe_S","E6",1000,1,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"61","myframe_S","E7",10,0.2344,0.4564,0.6487,0.7993,0.9013,0.9632,0.9975,1,"Parabolic","Model 1","Uni"
"62","myframe_S","E7",15,0.3729,0.6777,0.8754,0.9686,0.9962,0.9996,1,1,"Parabolic","Model 1","Uni"
"63","myframe_S","E7",30,0.4512,0.7826,0.9461,0.9934,0.9996,1,1,1,"Parabolic","Model 1","Uni"
"64","myframe_S","E7",45,0.6119,0.9197,0.992,1,1,1,1,1,"Parabolic","Model 1","Uni"
"65","myframe_S","E7",80,0.7219,0.9743,0.9995,1,1,1,1,1,"Parabolic","Model 1","Uni"
"66","myframe_S","E7",130,0.8373,0.9961,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"67","myframe_S","E7",215,0.9268,0.9999,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"68","myframe_S","E7",360,0.9805,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"69","myframe_S","E7",600,0.9978,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"70","myframe_S","E7",1000,0.9999,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"71","myframe_S","E8",10,0.2777,0.5188,0.7247,0.8664,0.9481,0.9848,0.9991,0.9998,"Parabolic","Model 1","Uni"
"72","myframe_S","E8",15,0.2744,0.5188,0.7262,0.8682,0.9526,0.9855,0.9996,1,"Parabolic","Model 1","Uni"
"73","myframe_S","E8",30,0.4535,0.7861,0.9487,0.995,0.9999,1,1,1,"Parabolic","Model 1","Uni"
"74","myframe_S","E8",45,0.5223,0.8573,0.9795,0.9985,1,1,1,1,"Parabolic","Model 1","Uni"
"75","myframe_S","E8",80,0.6278,0.9335,0.995,1,1,1,1,1,"Parabolic","Model 1","Uni"
"76","myframe_S","E8",130,0.7689,0.9871,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"77","myframe_S","E8",215,0.8749,0.998,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"78","myframe_S","E8",360,0.949,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"79","myframe_S","E8",600,0.9899,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"80","myframe_S","E8",1000,0.9992,1,1,1,1,1,1,1,"Parabolic","Model 1","Uni"
"81","myframe_S","E1",10,0.3502,0.6417,0.8376,0.9413,0.9853,0.9987,1,1,"Proportional","Model 1","Uni"
"82","myframe_S","E1",15,0.4823,0.8088,0.9559,0.9948,0.9997,1,1,1,"Proportional","Model 1","Uni"
"83","myframe_S","E1",30,0.6541,0.9441,0.9976,1,1,1,1,1,"Proportional","Model 1","Uni"
"84","myframe_S","E1",45,0.7554,0.98,0.9998,1,1,1,1,1,"Proportional","Model 1","Uni"
"85","myframe_S","E1",80,0.8643,0.9979,0.9999,1,1,1,1,1,"Proportional","Model 1","Uni"
"86","myframe_S","E1",130,0.9436,0.9999,1,1,1,1,1,1,"Proportional","Model 1","Uni"
"87","myframe_S","E1",215,0.9873,1,1,1,1,1,1,1,"Proportional","Model 1","Uni"
"88","myframe_S","E1",360,0.9984,1,1,1,1,1,1,1,"Proportional","Model 1","Uni"
"89","myframe_S","E1",600,1,1,1,1,1,1,1,1,"Proportional","Model 1","Uni"
"90","myframe_S","E1",1000,1,1,1,1,1,1,1,1,"Proportional","Model 1","Uni"
