"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0164","0.0339","0.049","0.0647","0.0794","0.0951","0.1326","0.1704"
"myframe_S","E1","15","0.0184","0.039","0.06","0.0796","0.1008","0.1236","0.1663","0.2144"
"myframe_S","E1","30","0.0296","0.058","0.0869","0.1154","0.1471","0.1793","0.2415","0.3079"
"myframe_S","E1","45","0.0375","0.0694","0.1089","0.1448","0.1816","0.2205","0.2967","0.3754"
"myframe_S","E1","80","0.0449","0.0923","0.1404","0.187","0.2384","0.2917","0.3899","0.4837"
"myframe_S","E1","130","0.0603","0.1268","0.1864","0.2452","0.3084","0.3721","0.486","0.5931"
"myframe_S","E1","215","0.0805","0.1587","0.234","0.3093","0.3837","0.4573","0.5894","0.6985"
"myframe_S","E1","360","0.0936","0.1963","0.2974","0.394","0.4811","0.5692","0.7022","0.8044"
"myframe_S","E1","600","0.133","0.256","0.3811","0.4925","0.5945","0.6827","0.818","0.891"
"myframe_S","E1","1000","0.174","0.3413","0.4851","0.6115","0.717","0.7972","0.8962","0.9456"
"myframe_S","E2","10","0.0425","0.0862","0.1286","0.172","0.213","0.2578","0.3452","0.4353"
"myframe_S","E2","15","0.0541","0.1057","0.162","0.2177","0.2698","0.3219","0.4354","0.5443"
"myframe_S","E2","30","0.0786","0.1562","0.2421","0.3167","0.3902","0.4609","0.5999","0.7081"
"myframe_S","E2","45","0.0997","0.2001","0.2894","0.3815","0.4692","0.5493","0.686","0.792"
"myframe_S","E2","80","0.1337","0.2588","0.3855","0.498","0.6005","0.686","0.8153","0.8958"
"myframe_S","E2","130","0.1713","0.3318","0.4714","0.5991","0.7084","0.7965","0.9084","0.9566"
"myframe_S","E2","215","0.2147","0.4126","0.5866","0.7279","0.8288","0.901","0.966","0.9876"
"myframe_S","E2","360","0.279","0.5223","0.7139","0.8406","0.9218","0.9645","0.9915","0.9978"
"myframe_S","E2","600","0.3531","0.6428","0.8301","0.9311","0.9752","0.9912","0.9997","1"
"myframe_S","E2","1000","0.4462","0.7616","0.9229","0.9781","0.9947","0.9989","0.9998","1"
"myframe_S","E3","10","0.0808","0.1596","0.2363","0.3124","0.3899","0.4639","0.5949","0.7171"
"myframe_S","E3","15","0.0949","0.184","0.2769","0.3726","0.4621","0.5497","0.6956","0.8069"
"myframe_S","E3","30","0.1302","0.2549","0.3687","0.4774","0.5822","0.6752","0.8097","0.8991"
"myframe_S","E3","45","0.1619","0.3164","0.4595","0.5866","0.6962","0.7871","0.9026","0.9549"
"myframe_S","E3","80","0.203","0.3999","0.5707","0.7086","0.8142","0.8915","0.9658","0.9881"
"myframe_S","E3","130","0.2724","0.5115","0.6993","0.8345","0.9143","0.959","0.9908","0.9981"
"myframe_S","E3","215","0.3408","0.613","0.8003","0.919","0.968","0.9878","0.9983","1"
"myframe_S","E3","360","0.4262","0.7385","0.9084","0.9779","0.9947","0.9988","0.9999","1"
"myframe_S","E3","600","0.5348","0.8568","0.9732","0.9972","0.9998","1","1","1"
"myframe_S","E3","1000","0.658","0.9405","0.995","0.9998","1","1","1","1"
"myframe_S","E4","10","0.097","0.1988","0.2941","0.3842","0.471","0.5562","0.7049","0.824"
"myframe_S","E4","15","0.1302","0.2586","0.3894","0.5063","0.6105","0.7017","0.8421","0.9185"
"myframe_S","E4","30","0.1619","0.33","0.4782","0.6064","0.7208","0.8094","0.9183","0.9628"
"myframe_S","E4","45","0.214","0.4137","0.5823","0.7258","0.8323","0.902","0.9679","0.99"
"myframe_S","E4","80","0.2789","0.5217","0.7083","0.8424","0.9236","0.9637","0.9936","0.9992"
"myframe_S","E4","130","0.3451","0.6335","0.8218","0.9266","0.9743","0.9901","0.9996","1"
"myframe_S","E4","215","0.4481","0.7658","0.9216","0.9789","0.9952","0.999","1","1"
"myframe_S","E4","360","0.5435","0.8712","0.9773","0.9973","0.9998","0.9999","1","1"
"myframe_S","E4","600","0.6711","0.9493","0.9949","0.9997","1","1","1","1"
"myframe_S","E4","1000","0.7863","0.9861","0.9996","1","1","1","1","1"
"myframe_S","E5","10","0.1321","0.2614","0.3752","0.4905","0.5896","0.6819","0.8407","0.9274"
"myframe_S","E5","15","0.1426","0.2849","0.4121","0.5351","0.6494","0.7452","0.879","0.943"
"myframe_S","E5","30","0.2024","0.3948","0.5632","0.7088","0.824","0.8985","0.9683","0.9901"
"myframe_S","E5","45","0.2556","0.4849","0.6741","0.8076","0.9013","0.9547","0.9895","0.9986"
"myframe_S","E5","80","0.3288","0.6095","0.8004","0.9121","0.9686","0.9895","0.9992","1"
"myframe_S","E5","130","0.4214","0.7414","0.9106","0.9768","0.9949","0.9992","1","1"
"myframe_S","E5","215","0.5218","0.8416","0.9676","0.9959","0.9998","0.9999","1","1"
"myframe_S","E5","360","0.6325","0.9391","0.9937","0.9998","1","1","1","1"
"myframe_S","E5","600","0.7654","0.9829","0.9992","1","1","1","1","1"
"myframe_S","E5","1000","0.8782","0.9972","1","1","1","1","1","1"
"myframe_S","E6","10","0.1248","0.2493","0.3641","0.4723","0.5774","0.6721","0.8296","0.9156"
"myframe_S","E6","15","0.1737","0.3368","0.4912","0.6264","0.7465","0.8469","0.9551","0.9904"
"myframe_S","E6","30","0.2235","0.439","0.6253","0.7724","0.8742","0.9372","0.9875","0.999"
"myframe_S","E6","45","0.2935","0.5463","0.7474","0.8717","0.9471","0.9806","0.9983","1"
"myframe_S","E6","80","0.3984","0.7103","0.8962","0.9721","0.9931","0.9988","1","1"
"myframe_S","E6","130","0.4784","0.8085","0.9531","0.9922","0.9993","1","1","1"
"myframe_S","E6","215","0.6042","0.9131","0.9908","0.9997","1","1","1","1"
"myframe_S","E6","360","0.7379","0.9754","0.9994","1","1","1","1","1"
"myframe_S","E6","600","0.8526","0.9963","1","1","1","1","1","1"
"myframe_S","E6","1000","0.9398","0.9999","1","1","1","1","1","1"
"myframe_S","E7","10","0.1776","0.3366","0.4842","0.6146","0.7236","0.8187","0.9359","0.9771"
"myframe_S","E7","15","0.2446","0.4678","0.6602","0.8059","0.9076","0.9683","0.9981","0.9999"
