"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.1843","0.3599","0.5121","0.6447","0.7471","0.8243","0.9282","0.9825"
"myframe_S","E1","15","0.2232","0.4307","0.6029","0.7324","0.8243","0.8918","0.973","0.9969"
"myframe_S","E1","30","0.2894","0.5434","0.7368","0.8444","0.9154","0.9604","0.9967","1"
"myframe_S","E1","45","0.3485","0.627","0.8045","0.8978","0.9566","0.9842","1","1"
"myframe_S","E1","80","0.4169","0.7363","0.8917","0.9576","0.9888","0.9982","1","1"
"myframe_S","E1","130","0.5235","0.8435","0.9463","0.987","0.9982","0.9999","1","1"
"myframe_S","E1","215","0.643","0.9157","0.9803","0.9978","1","1","1","1"
"myframe_S","E1","360","0.7529","0.9655","0.9965","0.9999","1","1","1","1"
"myframe_S","E1","600","0.8549","0.9896","0.9995","1","1","1","1","1"
"myframe_S","E1","1000","0.9335","0.9991","1","1","1","1","1","1"
"myframe_S","E2","10","0.287","0.5486","0.7506","0.8828","0.9545","0.9847","0.9996","1"
"myframe_S","E2","15","0.3526","0.6347","0.83","0.936","0.9797","0.996","1","1"
"myframe_S","E2","30","0.4428","0.7626","0.9197","0.9795","0.9963","0.9995","1","1"
"myframe_S","E2","45","0.5312","0.8582","0.9711","0.996","0.9997","1","1","1"
"myframe_S","E2","80","0.6522","0.9411","0.9942","0.9997","1","1","1","1"
"myframe_S","E2","130","0.7576","0.9812","0.9996","1","1","1","1","1"
"myframe_S","E2","215","0.8684","0.9965","1","1","1","1","1","1"
"myframe_S","E2","360","0.9459","0.9998","1","1","1","1","1","1"
"myframe_S","E2","600","0.9872","1","1","1","1","1","1","1"
"myframe_S","E2","1000","0.9988","1","1","1","1","1","1","1"
"myframe_S","E3","10","0.3914","0.6933","0.8784","0.9608","0.9898","0.9988","1","1"
"myframe_S","E3","15","0.434","0.7459","0.9138","0.9774","0.9956","0.999","1","1"
"myframe_S","E3","30","0.5545","0.8688","0.9772","0.9968","0.9998","1","1","1"
"myframe_S","E3","45","0.6779","0.9523","0.9974","1","1","1","1","1"
"myframe_S","E3","80","0.8125","0.99","0.9999","1","1","1","1","1"
"myframe_S","E3","130","0.9037","0.9986","0.9999","1","1","1","1","1"
"myframe_S","E3","215","0.9681","1","1","1","1","1","1","1"
"myframe_S","E3","360","0.9939","1","1","1","1","1","1","1"
"myframe_S","E3","600","0.9997","1","1","1","1","1","1","1"
"myframe_S","E3","1000","1","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.439","0.7582","0.9238","0.9854","0.998","0.9998","1","1"
"myframe_S","E4","15","0.5028","0.8289","0.9629","0.9958","0.9997","1","1","1"
"myframe_S","E4","30","0.6781","0.9507","0.9961","1","1","1","1","1"
"myframe_S","E4","45","0.7512","0.9773","0.9997","1","1","1","1","1"
"myframe_S","E4","80","0.8748","0.9979","1","1","1","1","1","1"
"myframe_S","E4","130","0.9506","0.9999","1","1","1","1","1","1"
"myframe_S","E4","215","0.9882","1","1","1","1","1","1","1"
"myframe_S","E4","360","0.9989","1","1","1","1","1","1","1"
"myframe_S","E4","600","0.9999","1","1","1","1","1","1","1"
"myframe_S","E4","1000","1","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.1624","0.3191","0.4604","0.5953","0.7099","0.7968","0.9059","0.9479"
"myframe_S","E5","15","0.2073","0.4091","0.5794","0.7244","0.8264","0.894","0.9578","0.9819"
"myframe_S","E5","30","0.2827","0.5402","0.7373","0.8627","0.934","0.969","0.9928","0.9978"
"myframe_S","E5","45","0.354","0.6484","0.8395","0.9371","0.9752","0.992","0.9988","1"
"myframe_S","E5","80","0.4558","0.7855","0.939","0.9866","0.9973","0.9994","1","1"
"myframe_S","E5","130","0.5682","0.8859","0.9835","0.9979","0.9999","1","1","1"
"myframe_S","E5","215","0.6937","0.9586","0.9979","0.9998","1","1","1","1"
"myframe_S","E5","360","0.8029","0.9914","1","1","1","1","1","1"
"myframe_S","E5","600","0.9047","0.999","1","1","1","1","1","1"
"myframe_S","E5","1000","0.9693","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.2274","0.4423","0.6208","0.7602","0.861","0.9254","0.9787","0.9946"
"myframe_S","E6","15","0.2744","0.5285","0.7228","0.8577","0.933","0.9721","0.9947","0.9994"
"myframe_S","E6","30","0.3688","0.6729","0.8577","0.9502","0.9834","0.9945","0.9997","1"
"myframe_S","E6","45","0.4535","0.7796","0.9374","0.985","0.9968","0.9995","1","1"
"myframe_S","E6","80","0.5685","0.8901","0.9839","0.998","0.9997","1","1","1"
"myframe_S","E6","130","0.6955","0.961","0.9977","0.9999","1","1","1","1"
"myframe_S","E6","215","0.817","0.992","0.9997","1","1","1","1","1"
"myframe_S","E6","360","0.9111","0.9992","1","1","1","1","1","1"
"myframe_S","E6","600","0.9734","1","1","1","1","1","1","1"
"myframe_S","E6","1000","0.9964","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.2753","0.5225","0.7215","0.8622","0.9466","0.9825","0.999","0.9999"
