"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.3541","0.6352","0.8332","0.9419","0.9856","0.9977","1","1"
"myframe_S","E1","15","0.4855","0.8173","0.9584","0.9948","0.9996","1","1","1"
"myframe_S","E1","30","0.6529","0.9435","0.9965","1","1","1","1","1"
"myframe_S","E1","45","0.7541","0.9792","0.9998","1","1","1","1","1"
"myframe_S","E1","80","0.8705","0.9975","1","1","1","1","1","1"
"myframe_S","E1","130","0.9439","1","1","1","1","1","1","1"
"myframe_S","E1","215","0.9871","1","1","1","1","1","1","1"
"myframe_S","E1","360","0.9988","1","1","1","1","1","1","1"
"myframe_S","E1","600","0.9999","1","1","1","1","1","1","1"
"myframe_S","E1","1000","1","1","1","1","1","1","1","1"
