"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.1228","0.2457","0.3622","0.4677","0.566","0.6497","0.7609","0.811"
"myframe_S","E1","15","0.1412","0.2903","0.4305","0.5621","0.6687","0.7478","0.8318","0.8728"
"myframe_S","E1","30","0.206","0.4098","0.5854","0.7297","0.8242","0.8763","0.9286","0.9543"
"myframe_S","E1","45","0.2595","0.5001","0.6878","0.8254","0.8921","0.9312","0.964","0.9833"
"myframe_S","E1","80","0.3494","0.6413","0.8296","0.9175","0.9597","0.9761","0.9915","0.9975"
"myframe_S","E1","130","0.43","0.7503","0.9069","0.9668","0.9866","0.995","0.9996","1"
"myframe_S","E1","215","0.5419","0.8622","0.9691","0.9913","0.9973","0.9993","0.9999","1"
"myframe_S","E1","360","0.67","0.9485","0.9942","0.9994","1","1","1","1"
"myframe_S","E1","600","0.7793","0.9851","0.9993","0.9999","1","1","1","1"
"myframe_S","E1","1000","0.8917","0.9978","1","1","1","1","1","1"
"myframe_S","E2","10","0.2418","0.4647","0.6535","0.7815","0.8565","0.9028","0.9474","0.9709"
"myframe_S","E2","15","0.3086","0.5761","0.7707","0.8778","0.9306","0.9592","0.9836","0.9929"
"myframe_S","E2","30","0.425","0.7421","0.9003","0.9603","0.9837","0.9918","0.9985","0.9996"
"myframe_S","E2","45","0.5092","0.8321","0.9535","0.988","0.9956","0.9989","0.9997","1"
"myframe_S","E2","80","0.6483","0.934","0.9902","0.9992","1","1","1","1"
"myframe_S","E2","130","0.7631","0.9798","0.9983","1","1","1","1","1"
"myframe_S","E2","215","0.8736","0.9969","1","1","1","1","1","1"
"myframe_S","E2","360","0.9492","0.9997","1","1","1","1","1","1"
"myframe_S","E2","600","0.9868","1","1","1","1","1","1","1"
"myframe_S","E2","1000","0.9987","1","1","1","1","1","1","1"
"myframe_S","E3","10","0.3966","0.6933","0.876","0.9562","0.9847","0.9953","0.9993","0.9998"
"myframe_S","E3","15","0.4788","0.8014","0.944","0.9856","0.9965","0.9991","0.9999","0.9999"
"myframe_S","E3","30","0.62","0.9157","0.9887","0.999","1","1","1","1"
"myframe_S","E3","45","0.728","0.9692","0.9981","1","1","1","1","1"
"myframe_S","E3","80","0.8364","0.9937","1","1","1","1","1","1"
"myframe_S","E3","130","0.9273","0.9996","1","1","1","1","1","1"
"myframe_S","E3","215","0.98","1","1","1","1","1","1","1"
"myframe_S","E3","360","0.9971","1","1","1","1","1","1","1"
"myframe_S","E3","600","0.9999","1","1","1","1","1","1","1"
"myframe_S","E3","1000","1","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.4717","0.7934","0.9431","0.9896","0.9987","0.9997","1","1"
"myframe_S","E4","15","0.5928","0.8992","0.9864","0.9991","1","1","1","1"
"myframe_S","E4","30","0.7251","0.9729","0.9988","1","1","1","1","1"
"myframe_S","E4","45","0.8342","0.9938","1","1","1","1","1","1"
"myframe_S","E4","80","0.9243","0.9993","1","1","1","1","1","1"
"myframe_S","E4","130","0.9794","1","1","1","1","1","1","1"
"myframe_S","E4","215","0.9966","1","1","1","1","1","1","1"
"myframe_S","E4","360","0.9997","1","1","1","1","1","1","1"
"myframe_S","E4","600","1","1","1","1","1","1","1","1"
"myframe_S","E4","1000","1","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.5041","0.8341","0.9624","0.9954","0.9998","1","1","1"
"myframe_S","E5","15","0.5981","0.91","0.9895","0.9994","1","1","1","1"
"myframe_S","E5","30","0.7653","0.9841","0.9993","1","1","1","1","1"
"myframe_S","E5","45","0.8472","0.9962","1","1","1","1","1","1"
"myframe_S","E5","80","0.9486","0.9999","1","1","1","1","1","1"
"myframe_S","E5","130","0.9867","1","1","1","1","1","1","1"
"myframe_S","E5","215","0.9988","1","1","1","1","1","1","1"
"myframe_S","E5","360","1","1","1","1","1","1","1","1"
"myframe_S","E5","600","1","1","1","1","1","1","1","1"
"myframe_S","E5","1000","1","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.4817","0.815","0.9565","0.9936","0.9996","1","1","1"
