"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0144","0.03","0.0463","0.0609","0.0766","0.0929","0.1313","0.1707"
"myframe_S","E1","15","0.0202","0.0409","0.0598","0.0791","0.0995","0.1188","0.1628","0.2125"
"myframe_S","E1","30","0.0304","0.0586","0.0859","0.1178","0.1503","0.1806","0.2441","0.3139"
"myframe_S","E1","45","0.0388","0.0736","0.1091","0.1486","0.184","0.2218","0.2971","0.3751"
"myframe_S","E1","80","0.0486","0.1018","0.1497","0.1992","0.2475","0.295","0.3935","0.4914"
"myframe_S","E1","130","0.0588","0.1266","0.1916","0.2532","0.3181","0.3745","0.4842","0.5939"
"myframe_S","E1","215","0.0829","0.1616","0.2424","0.3198","0.3933","0.468","0.5981","0.7013"
"myframe_S","E1","360","0.1059","0.2113","0.3107","0.3981","0.489","0.5728","0.7055","0.8043"
"myframe_S","E1","600","0.1311","0.2598","0.384","0.4997","0.5951","0.685","0.8119","0.8877"
"myframe_S","E1","1000","0.1694","0.3325","0.4809","0.599","0.7075","0.7916","0.8924","0.9453"
"myframe_S","E2","10","0.0447","0.0929","0.1442","0.199","0.2535","0.3014","0.3979","0.4966"
"myframe_S","E2","15","0.0604","0.119","0.182","0.2446","0.3078","0.3657","0.4829","0.5885"
"myframe_S","E2","30","0.0858","0.174","0.2627","0.3428","0.4262","0.5052","0.6397","0.7431"
"myframe_S","E2","45","0.105","0.2096","0.3121","0.4114","0.5054","0.5907","0.7359","0.8322"
"myframe_S","E2","80","0.1392","0.2807","0.4125","0.5418","0.6505","0.7337","0.8512","0.9203"
"myframe_S","E2","130","0.1817","0.3503","0.5093","0.647","0.7559","0.8323","0.9252","0.9637"
"myframe_S","E2","215","0.2322","0.4507","0.631","0.7688","0.8614","0.9204","0.9745","0.9914"
"myframe_S","E2","360","0.2917","0.5567","0.755","0.88","0.9426","0.9751","0.995","0.999"
"myframe_S","E2","600","0.3875","0.6815","0.8674","0.9519","0.983","0.9938","0.9993","0.9998"
"myframe_S","E2","1000","0.4696","0.7974","0.9436","0.9881","0.9976","0.9999","1","1"
"myframe_S","E3","10","0.094","0.187","0.2741","0.3596","0.4384","0.5228","0.6646","0.7743"
"myframe_S","E3","15","0.117","0.2352","0.3513","0.4541","0.5501","0.6365","0.7699","0.8556"
"myframe_S","E3","30","0.1549","0.3188","0.4553","0.5775","0.6869","0.7806","0.8918","0.9448"
"myframe_S","E3","45","0.1946","0.3852","0.5517","0.6937","0.7938","0.8671","0.9461","0.9749"
"myframe_S","E3","80","0.2621","0.4924","0.6816","0.8126","0.8961","0.9444","0.9827","0.9947"
"myframe_S","E3","130","0.3317","0.6078","0.7956","0.9013","0.955","0.9796","0.9959","0.9989"
"myframe_S","E3","215","0.4147","0.7155","0.8877","0.9645","0.9896","0.9967","0.9997","1"
