"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0178","0.0337","0.0526","0.0688","0.0865","0.1015","0.1379","0.174"
"myframe_S","E1","15","0.0209","0.0383","0.0584","0.0784","0.0988","0.1202","0.1617","0.2096"
"myframe_S","E1","30","0.0289","0.0578","0.0886","0.118","0.1485","0.1776","0.2395","0.3056"
"myframe_S","E1","45","0.0354","0.0728","0.1089","0.1453","0.1821","0.2204","0.2945","0.3726"
"myframe_S","E1","80","0.0491","0.1002","0.1483","0.199","0.252","0.3017","0.4022","0.4992"
"myframe_S","E1","130","0.06","0.1245","0.1853","0.2438","0.3056","0.3659","0.4781","0.5849"
"myframe_S","E1","215","0.0771","0.1533","0.2308","0.3077","0.386","0.4569","0.5892","0.6946"
"myframe_S","E1","360","0.1064","0.203","0.3002","0.3965","0.4852","0.5662","0.708","0.7975"
"myframe_S","E1","600","0.1363","0.2682","0.3938","0.5019","0.6026","0.6885","0.8145","0.8929"
"myframe_S","E1","1000","0.1682","0.3255","0.477","0.6063","0.7134","0.7974","0.9029","0.9477"
"myframe_S","E2","10","0.048","0.0978","0.1475","0.196","0.245","0.2954","0.3941","0.4883"
"myframe_S","E2","15","0.0671","0.1271","0.1878","0.2509","0.312","0.3727","0.496","0.6069"
"myframe_S","E2","30","0.0876","0.1729","0.26","0.3478","0.4307","0.5085","0.6438","0.7528"
"myframe_S","E2","45","0.1077","0.211","0.3115","0.4126","0.5051","0.5916","0.7371","0.8343"
"myframe_S","E2","80","0.1451","0.2854","0.4152","0.5368","0.6413","0.7308","0.8594","0.9237"
"myframe_S","E2","130","0.1893","0.3668","0.5191","0.6509","0.7606","0.8387","0.9293","0.9671"
"myframe_S","E2","215","0.2398","0.4497","0.6293","0.7713","0.8658","0.9234","0.9774","0.9933"
"myframe_S","E2","360","0.3068","0.5621","0.7593","0.8818","0.9471","0.9782","0.9953","0.9993"
"myframe_S","E2","600","0.3806","0.6848","0.8654","0.9523","0.9857","0.9966","0.9994","0.9999"
"myframe_S","E2","1000","0.4798","0.8047","0.9525","0.9897","0.9981","0.9997","0.9999","1"
"myframe_S","E3","10","0.0864","0.1711","0.2554","0.3383","0.4192","0.4942","0.6328","0.7433"
"myframe_S","E3","15","0.1158","0.2302","0.3341","0.4357","0.5225","0.6031","0.7447","0.8395"
"myframe_S","E3","30","0.146","0.2976","0.4329","0.5568","0.6692","0.7616","0.8815","0.9401"
"myframe_S","E3","45","0.1893","0.3598","0.5247","0.6628","0.7675","0.8457","0.9348","0.9722"
"myframe_S","E3","80","0.2493","0.4712","0.6638","0.8017","0.8892","0.9455","0.9867","0.9964"
"myframe_S","E3","130","0.314","0.5909","0.7826","0.8933","0.9562","0.9819","0.9971","0.9997"
"myframe_S","E3","215","0.405","0.712","0.8885","0.9634","0.9889","0.9962","0.9996","1"
"myframe_S","E3","360","0.5108","0.8287","0.9589","0.9916","0.9985","0.9997","1","1"
"myframe_S","E3","600","0.6095","0.921","0.991","0.9992","0.9999","1","1","1"
"myframe_S","E3","1000","0.738","0.9746","0.9985","0.9999","1","1","1","1"
"myframe_S","E4","10","0.1369","0.2727","0.3946","0.5149","0.625","0.7215","0.8463","0.9097"
"myframe_S","E4","15","0.1593","0.3108","0.4608","0.5848","0.6931","0.778","0.891","0.9415"
"myframe_S","E4","30","0.2239","0.433","0.6116","0.7506","0.8491","0.9089","0.9682","0.9888"
"myframe_S","E4","45","0.2671","0.5013","0.6944","0.8285","0.9074","0.9522","0.9862","0.9953"
"myframe_S","E4","80","0.3502","0.6337","0.8247","0.927","0.9729","0.9898","0.9993","1"
"myframe_S","E4","130","0.4507","0.7567","0.9177","0.9788","0.9946","0.9984","0.9998","1"
"myframe_S","E4","215","0.5505","0.8672","0.9727","0.9956","0.9992","0.9999","1","1"
"myframe_S","E4","360","0.6632","0.9428","0.9943","0.9998","1","1","1","1"
"myframe_S","E4","600","0.7882","0.985","0.9996","1","1","1","1","1"
"myframe_S","E4","1000","0.8904","0.9986","1","1","1","1","1","1"
"myframe_S","E5","10","0.1666","0.3198","0.4666","0.5971","0.7049","0.7957","0.9029","0.9484"
"myframe_S","E5","15","0.1993","0.3861","0.5502","0.6888","0.799","0.8757","0.9493","0.9778"
"myframe_S","E5","30","0.2785","0.5216","0.7159","0.8511","0.9271","0.9664","0.9917","0.9984"
"myframe_S","E5","45","0.3427","0.6266","0.8201","0.9231","0.9698","0.9888","0.9983","0.9998"
"myframe_S","E5","80","0.4456","0.7642","0.9269","0.9787","0.9943","0.9987","0.9999","1"
"myframe_S","E5","130","0.5543","0.8726","0.9799","0.997","0.9998","1","1","1"
"myframe_S","E5","215","0.6788","0.9516","0.9968","0.9996","1","1","1","1"
"myframe_S","E5","360","0.8026","0.99","0.9997","1","1","1","1","1"
"myframe_S","E5","600","0.8992","0.9991","1","1","1","1","1","1"
"myframe_S","E5","1000","0.9674","0.9999","1","1","1","1","1","1"
"myframe_S","E6","10","0.2288","0.4359","0.6218","0.7662","0.8674","0.9281","0.9805","0.9944"
"myframe_S","E6","15","0.2741","0.5255","0.7225","0.8611","0.9364","0.9712","0.9935","0.9991"
"myframe_S","E6","30","0.3658","0.6568","0.8464","0.9448","0.9823","0.9948","0.9992","1"
"myframe_S","E6","45","0.4567","0.7708","0.9328","0.9822","0.997","0.9993","1","1"
"myframe_S","E6","80","0.5586","0.8847","0.98","0.9972","0.9999","1","1","1"
"myframe_S","E6","130","0.6968","0.9577","0.9978","0.9999","1","1","1","1"
"myframe_S","E6","215","0.8109","0.9906","0.9998","1","1","1","1","1"
"myframe_S","E6","360","0.9032","0.9995","1","1","1","1","1","1"
"myframe_S","E6","600","0.974","1","1","1","1","1","1","1"
"myframe_S","E6","1000","0.9948","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.2276","0.447","0.629","0.7767","0.8843","0.9517","0.9945","0.9987"
"myframe_S","E7","15","0.3422","0.6288","0.8247","0.9345","0.9802","0.9955","1","1"
"myframe_S","E7","30","0.4823","0.8038","0.951","0.9926","0.9997","1","1","1"
"myframe_S","E7","45","0.5661","0.8892","0.9854","0.9988","1","1","1","1"
"myframe_S","E7","80","0.7197","0.9684","0.9988","1","1","1","1","1"
"myframe_S","E7","130","0.8475","0.9962","1","1","1","1","1","1"
"myframe_S","E7","215","0.9286","0.9999","1","1","1","1","1","1"
"myframe_S","E7","360","0.9815","1","1","1","1","1","1","1"
"myframe_S","E7","600","0.9971","1","1","1","1","1","1","1"
"myframe_S","E7","1000","0.9999","1","1","1","1","1","1","1"
"myframe_S","E8","10","0.3391","0.636","0.8328","0.9421","0.9861","0.9986","1","1"
"myframe_S","E8","15","0.4867","0.8182","0.959","0.9945","0.9999","1","1","1"
"myframe_S","E8","30","0.6456","0.9433","0.9967","0.9998","1","1","1","1"
"myframe_S","E8","45","0.7538","0.9796","0.9996","1","1","1","1","1"
"myframe_S","E8","80","0.8662","0.9985","1","1","1","1","1","1"
"myframe_S","E8","130","0.9401","0.9999","1","1","1","1","1","1"
"myframe_S","E8","215","0.9869","1","1","1","1","1","1","1"
"myframe_S","E8","360","0.9986","1","1","1","1","1","1","1"
