"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.1381","0.2738","0.4053","0.5256","0.6367","0.7357","0.8687","0.927"
"myframe_S","E1","15","0.2768","0.5233","0.7238","0.8708","0.9513","0.9859","0.9994","1"
"myframe_S","E1","30","0.4278","0.7497","0.9273","0.99","0.9994","1","1","1"
"myframe_S","E1","45","0.5061","0.8355","0.9704","0.9979","1","1","1","1"
"myframe_S","E1","80","0.6216","0.9185","0.986","0.9983","0.9995","0.9999","1","1"
"myframe_S","E1","130","0.7623","0.9816","0.9991","0.9999","1","1","1","1"
"myframe_S","E1","215","0.7515","0.9713","0.997","0.9996","1","1","1","1"
"myframe_S","E1","360","0.8554","0.9934","0.9999","1","1","1","1","1"
"myframe_S","E1","600","0.9287","0.9986","1","1","1","1","1","1"
"myframe_S","E1","1000","0.9787","1","1","1","1","1","1","1"
