"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0289","0.0602","0.0918","0.1248","0.1582","0.1945","0.2702","0.3671"
"myframe_S","E1","15","0.0369","0.0785","0.117","0.1551","0.1943","0.2382","0.3364","0.4525"
"myframe_S","E1","30","0.0554","0.1114","0.1695","0.2271","0.2855","0.3461","0.4773","0.6037"
"myframe_S","E1","45","0.0687","0.1399","0.2061","0.2763","0.3516","0.4253","0.5689","0.6868"
"myframe_S","E1","80","0.0951","0.1871","0.2762","0.3719","0.4604","0.5452","0.6891","0.7805"
"myframe_S","E1","130","0.1147","0.2372","0.3588","0.4678","0.5715","0.6596","0.7917","0.8581"
"myframe_S","E1","215","0.1489","0.2964","0.4396","0.5665","0.6736","0.7608","0.8703","0.9162"
"myframe_S","E1","360","0.1932","0.3788","0.552","0.692","0.7925","0.8645","0.9376","0.9677"
"myframe_S","E1","600","0.2637","0.4953","0.6818","0.8089","0.8927","0.9394","0.9761","0.9897"
"myframe_S","E1","1000","0.3252","0.5938","0.7899","0.9012","0.9542","0.9765","0.9942","0.9985"
"myframe_S","E2","10","0.0861","0.1735","0.2628","0.3526","0.4416","0.53","0.6737","0.7779"
"myframe_S","E2","15","0.1123","0.2228","0.3361","0.4434","0.5425","0.6413","0.7855","0.8549"
"myframe_S","E2","30","0.1663","0.3216","0.4712","0.605","0.7174","0.7991","0.8934","0.9334"
"myframe_S","E2","45","0.2013","0.3943","0.5599","0.6995","0.8031","0.8751","0.9434","0.9715"
"myframe_S","E2","80","0.2694","0.5105","0.709","0.8405","0.9169","0.9536","0.9829","0.9939"
"myframe_S","E2","130","0.3394","0.6179","0.811","0.9153","0.9665","0.9823","0.9965","0.9994"
"myframe_S","E2","215","0.4228","0.7397","0.914","0.9717","0.9916","0.9977","0.9998","1"
"myframe_S","E2","360","0.5279","0.859","0.9678","0.9945","0.9993","0.9999","1","1"
"myframe_S","E2","600","0.6544","0.9424","0.9947","0.9997","1","1","1","1"
"myframe_S","E2","1000","0.7821","0.9866","0.9999","1","1","1","1","1"
"myframe_S","E3","10","0.1892","0.3699","0.5347","0.6756","0.7934","0.8708","0.9453","0.9741"
"myframe_S","E3","15","0.2204","0.4356","0.6226","0.7711","0.8713","0.9307","0.9755","0.9929"
"myframe_S","E3","30","0.3019","0.553","0.7552","0.8778","0.9436","0.9751","0.9958","0.9998"
"myframe_S","E3","45","0.361","0.6618","0.8503","0.9421","0.979","0.9933","0.9998","0.9999"
"myframe_S","E3","80","0.4642","0.7842","0.933","0.9827","0.9969","0.9996","1","1"
"myframe_S","E3","130","0.5852","0.8974","0.9832","0.9977","0.9996","1","1","1"
