"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0767","0.1555","0.237","0.3118","0.3876","0.4596","0.6007","0.7337"
"myframe_S","E1","15","0.0783","0.1596","0.2372","0.3166","0.3966","0.4719","0.6151","0.7465"
"myframe_S","E1","30","0.1493","0.2864","0.4158","0.5474","0.6519","0.7424","0.8762","0.9518"
"myframe_S","E1","45","0.1606","0.3202","0.4669","0.5984","0.7082","0.7993","0.9186","0.9747"
"myframe_S","E1","80","0.1954","0.3729","0.5475","0.6878","0.8023","0.882","0.9681","0.9943"
"myframe_S","E1","130","0.2551","0.4945","0.6896","0.8255","0.9173","0.9636","0.9963","0.9998"
"myframe_S","E1","215","0.3343","0.6124","0.8054","0.9205","0.9716","0.993","0.9998","1"
"myframe_S","E1","360","0.411","0.7286","0.9026","0.9726","0.9949","0.9989","1","1"
"myframe_S","E1","600","0.5178","0.8452","0.9712","0.9969","0.9997","1","1","1"
"myframe_S","E1","1000","0.6177","0.9302","0.9935","0.9999","1","1","1","1"
"myframe_S","E2","10","0.0699","0.1438","0.2208","0.2957","0.368","0.4354","0.5748","0.7037"
"myframe_S","E2","15","0.1267","0.2478","0.3575","0.4654","0.5604","0.6526","0.8015","0.9005"
"myframe_S","E2","30","0.1466","0.2818","0.4084","0.5341","0.6362","0.73","0.8678","0.9475"
"myframe_S","E2","45","0.1883","0.3663","0.5321","0.675","0.7878","0.8694","0.9594","0.9918"
"myframe_S","E2","80","0.2426","0.4647","0.6551","0.7938","0.889","0.9446","0.9902","0.9997"
"myframe_S","E2","130","0.3086","0.5711","0.7645","0.8858","0.9515","0.9843","0.999","1"
"myframe_S","E2","215","0.3841","0.6922","0.8713","0.9577","0.99","0.998","1","1"
"myframe_S","E2","360","0.477","0.7973","0.9446","0.9911","0.999","1","1","1"
"myframe_S","E2","600","0.5825","0.8963","0.9859","0.9987","1","1","1","1"
"myframe_S","E2","1000","0.6935","0.9608","0.9979","1","1","1","1","1"
"myframe_S","E3","10","0.1258","0.2419","0.3573","0.4695","0.5679","0.6591","0.8054","0.9038"
"myframe_S","E3","15","0.1172","0.2401","0.3504","0.4585","0.5612","0.6497","0.7945","0.8994"
"myframe_S","E3","30","0.172","0.344","0.502","0.6335","0.7436","0.8314","0.9422","0.986"
"myframe_S","E3","45","0.2079","0.4048","0.5794","0.727","0.8318","0.9064","0.977","0.9964"
"myframe_S","E3","80","0.2771","0.5201","0.7127","0.8505","0.928","0.9703","0.9972","0.9998"
