"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0217","0.0489","0.0728","0.0962","0.1192","0.1426","0.1958","0.2637"
"myframe_S","E1","15","0.0294","0.0618","0.0902","0.1179","0.1527","0.189","0.263","0.3417"
"myframe_S","E1","30","0.0449","0.0901","0.1339","0.1794","0.2226","0.27","0.3716","0.4738"
"myframe_S","E1","45","0.0582","0.1096","0.1648","0.217","0.2739","0.3292","0.4401","0.5617"
"myframe_S","E1","80","0.0655","0.1367","0.2108","0.2781","0.3458","0.4238","0.5715","0.6997"
"myframe_S","E1","130","0.0907","0.1829","0.2693","0.3594","0.4422","0.5303","0.6886","0.8109"
"myframe_S","E1","215","0.1175","0.2301","0.3357","0.4454","0.5528","0.6506","0.8041","0.8956"
"myframe_S","E1","360","0.1534","0.3022","0.4442","0.5783","0.6916","0.7913","0.9112","0.9607"
"myframe_S","E1","600","0.1906","0.3664","0.5269","0.6732","0.7963","0.8882","0.9701","0.989"
"myframe_S","E1","1000","0.2331","0.4497","0.641","0.7927","0.9031","0.9571","0.9944","0.9986"
"myframe_S","E2","10","0.0428","0.0854","0.1297","0.179","0.2276","0.2726","0.3709","0.4702"
"myframe_S","E2","15","0.0538","0.1134","0.1718","0.2265","0.2832","0.3398","0.4569","0.5638"
"myframe_S","E2","30","0.0742","0.1591","0.2395","0.3119","0.3901","0.4627","0.6009","0.71"
"myframe_S","E2","45","0.1019","0.2098","0.3074","0.3979","0.4844","0.5668","0.7006","0.7942"
"myframe_S","E2","80","0.1368","0.2671","0.3875","0.5004","0.6024","0.6939","0.814","0.8817"
"myframe_S","E2","130","0.1652","0.326","0.4754","0.6054","0.7035","0.7872","0.883","0.9315"
"myframe_S","E2","215","0.2093","0.4099","0.5787","0.7083","0.8034","0.8709","0.9431","0.9766"
"myframe_S","E2","360","0.2689","0.5094","0.6902","0.8152","0.8915","0.9377","0.9802","0.994"
"myframe_S","E2","600","0.3295","0.6034","0.7883","0.8967","0.9509","0.9778","0.9953","0.9993"
"myframe_S","E2","1000","0.3986","0.7002","0.8732","0.951","0.9824","0.995","0.9998","0.9999"
"myframe_S","E3","10","0.0707","0.1475","0.2194","0.2923","0.3565","0.4239","0.5534","0.6697"
"myframe_S","E3","15","0.0955","0.1843","0.2716","0.3538","0.432","0.509","0.6517","0.7544"
"myframe_S","E3","30","0.1199","0.2398","0.3545","0.4565","0.5478","0.6358","0.7705","0.8546"
"myframe_S","E3","45","0.1503","0.2958","0.432","0.5547","0.6551","0.741","0.8605","0.9173"
"myframe_S","E3","80","0.1998","0.3763","0.5351","0.6675","0.7698","0.8404","0.9253","0.9649"
"myframe_S","E3","130","0.2424","0.4641","0.6392","0.7757","0.863","0.9201","0.973","0.9891"
"myframe_S","E3","215","0.3015","0.5551","0.7482","0.8699","0.9366","0.9685","0.9946","0.9982"
"myframe_S","E3","360","0.3682","0.6622","0.8444","0.9395","0.9773","0.993","0.9991","1"
"myframe_S","E3","600","0.4692","0.7822","0.9283","0.9804","0.9951","0.9994","1","1"
"myframe_S","E3","1000","0.5487","0.8617","0.9733","0.9954","0.9999","1","1","1"
"myframe_S","E4","10","0.0852","0.1755","0.2642","0.3519","0.4288","0.5089","0.6487","0.7588"
"myframe_S","E4","15","0.115","0.2271","0.3351","0.4382","0.5322","0.6221","0.7625","0.8521"
"myframe_S","E4","30","0.1533","0.3032","0.4375","0.5563","0.6639","0.7542","0.8733","0.9317"
"myframe_S","E4","45","0.1869","0.3658","0.5285","0.6676","0.7736","0.8525","0.9387","0.9731"
"myframe_S","E4","80","0.2396","0.4578","0.6439","0.7839","0.8782","0.9331","0.9794","0.9947"
"myframe_S","E4","130","0.31","0.5675","0.7543","0.8739","0.9409","0.9722","0.9943","0.9991"
"myframe_S","E4","215","0.3843","0.6857","0.8637","0.9462","0.9836","0.9953","0.9994","0.9999"
"myframe_S","E4","360","0.4786","0.7917","0.9381","0.9851","0.9973","0.9997","1","1"
"myframe_S","E4","600","0.5816","0.8909","0.9821","0.9974","0.9997","0.9999","1","1"
"myframe_S","E4","1000","0.6868","0.9526","0.9963","0.9999","1","1","1","1"
"myframe_S","E5","10","0.1028","0.2029","0.3003","0.3964","0.4811","0.5671","0.7083","0.8132"
"myframe_S","E5","15","0.1257","0.2554","0.3746","0.4811","0.5828","0.6735","0.8089","0.8922"
"myframe_S","E5","30","0.1736","0.3457","0.4966","0.6303","0.7395","0.8236","0.9237","0.9688"
"myframe_S","E5","45","0.2173","0.4196","0.5894","0.7247","0.8278","0.8978","0.9666","0.9892"
"myframe_S","E5","80","0.2876","0.5358","0.7272","0.8528","0.9254","0.9678","0.9931","0.9992"
"myframe_S","E5","130","0.3567","0.6392","0.8297","0.9275","0.9726","0.9897","0.9994","1"
"myframe_S","E5","215","0.4386","0.7555","0.9208","0.9778","0.9954","0.9984","1","1"
"myframe_S","E5","360","0.5439","0.8608","0.9722","0.9961","0.9994","1","1","1"
"myframe_S","E5","600","0.6545","0.9382","0.995","0.9999","1","1","1","1"
"myframe_S","E5","1000","0.7578","0.9815","0.9995","1","1","1","1","1"
"myframe_S","E6","10","0.1008","0.2014","0.3011","0.3992","0.4883","0.5737","0.711","0.8201"
"myframe_S","E6","15","0.1281","0.2616","0.3826","0.4954","0.6003","0.6873","0.8271","0.9117"
"myframe_S","E6","30","0.1912","0.369","0.5301","0.6676","0.7777","0.8561","0.9433","0.9803"
"myframe_S","E6","45","0.2257","0.4351","0.6215","0.7544","0.8524","0.9172","0.9757","0.9936"
"myframe_S","E6","80","0.2989","0.5621","0.7521","0.8759","0.9443","0.9807","0.9975","0.9995"
"myframe_S","E6","130","0.3731","0.673","0.8585","0.9513","0.9845","0.9951","0.9999","1"
"myframe_S","E6","215","0.4826","0.7986","0.94","0.9865","0.9986","0.9996","1","1"
"myframe_S","E6","360","0.5849","0.8947","0.9839","0.9986","0.9999","1","1","1"
"myframe_S","E6","600","0.6988","0.9575","0.9975","0.9999","1","1","1","1"
"myframe_S","E6","1000","0.8074","0.9916","0.9998","1","1","1","1","1"
"myframe_S","E7","10","0.112","0.2272","0.3318","0.4365","0.5342","0.6185","0.763","0.8613"
"myframe_S","E7","15","0.1506","0.2973","0.4288","0.5545","0.6639","0.7524","0.8793","0.9468"
"myframe_S","E7","30","0.1959","0.3723","0.534","0.671","0.7809","0.8634","0.9538","0.9856"
"myframe_S","E7","45","0.2359","0.451","0.6345","0.7691","0.8706","0.9315","0.9854","0.9967"
"myframe_S","E7","80","0.3205","0.5853","0.7733","0.898","0.9586","0.9835","0.9984","0.9999"
"myframe_S","E7","130","0.3992","0.7073","0.8859","0.9622","0.9902","0.9971","0.9999","1"
"myframe_S","E7","215","0.4907","0.8108","0.9494","0.9916","0.9989","0.9999","1","1"
"myframe_S","E7","360","0.598","0.9111","0.9897","0.9994","1","1","1","1"
"myframe_S","E7","600","0.7155","0.9686","0.999","0.9999","1","1","1","1"
"myframe_S","E7","1000","0.8176","0.9907","1","1","1","1","1","1"
"myframe_S","E8","10","0.1131","0.2294","0.3367","0.4384","0.5367","0.6263","0.7756","0.8763"
"myframe_S","E8","15","0.1439","0.2894","0.4226","0.5416","0.6555","0.7409","0.871","0.9411"
"myframe_S","E8","30","0.1962","0.3769","0.5453","0.678","0.7855","0.8638","0.9561","0.9858"
"myframe_S","E8","45","0.2419","0.466","0.6496","0.7946","0.8851","0.9393","0.9881","0.9985"
"myframe_S","E8","80","0.3233","0.595","0.7855","0.9031","0.9611","0.988","0.9995","1"
"myframe_S","E8","130","0.3952","0.6928","0.8765","0.9601","0.989","0.9979","0.9999","1"
"myframe_S","E8","215","0.5038","0.8201","0.9528","0.9918","0.9988","0.9997","1","1"
"myframe_S","E8","360","0.5989","0.9167","0.9877","0.9989","1","1","1","1"
"myframe_S","E8","600","0.7303","0.9737","0.9992","1","1","1","1","1"
"myframe_S","E8","1000","0.8239","0.994","0.9998","1","1","1","1","1"
