"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0374","0.0745","0.1099","0.1486","0.1849","0.224","0.2984","0.3823"
"myframe_S","E1","15","0.0494","0.0906","0.1358","0.1818","0.2268","0.2692","0.3658","0.4655"
"myframe_S","E1","30","0.0633","0.1216","0.1822","0.2459","0.3059","0.3647","0.4869","0.6032"
"myframe_S","E1","45","0.076","0.1511","0.2209","0.2914","0.3596","0.432","0.5652","0.6906"
"myframe_S","E1","80","0.0987","0.1959","0.2909","0.3849","0.4693","0.5492","0.6947","0.8146"
"myframe_S","E1","130","0.1175","0.2337","0.3475","0.4611","0.5624","0.6454","0.7908","0.8951"
"myframe_S","E1","215","0.1578","0.3073","0.4447","0.5677","0.6719","0.7587","0.8886","0.9577"
"myframe_S","E1","360","0.2027","0.3894","0.5497","0.6791","0.7803","0.8563","0.9456","0.9844"
"myframe_S","E1","600","0.2508","0.4631","0.6459","0.7796","0.8696","0.9237","0.9811","0.9972"
"myframe_S","E1","1000","0.3046","0.5573","0.7465","0.8719","0.9363","0.9722","0.9962","0.9998"
"myframe_S","E2","10","0.0516","0.1034","0.155","0.2077","0.2647","0.3224","0.4319","0.5475"
"myframe_S","E2","15","0.0676","0.131","0.1953","0.2579","0.3225","0.3896","0.5179","0.64"
"myframe_S","E2","30","0.0933","0.1769","0.258","0.341","0.4206","0.4963","0.6463","0.7767"
"myframe_S","E2","45","0.1073","0.2073","0.3093","0.4096","0.5087","0.5973","0.7526","0.8703"
"myframe_S","E2","80","0.1416","0.2736","0.4039","0.5146","0.6239","0.7188","0.8618","0.9519"
"myframe_S","E2","130","0.1735","0.3391","0.5006","0.6427","0.7515","0.8368","0.9439","0.9865"
"myframe_S","E2","215","0.2201","0.4257","0.6111","0.7537","0.8581","0.9248","0.9875","0.9988"
"myframe_S","E2","360","0.2824","0.528","0.7251","0.8597","0.9396","0.9763","0.9983","1"
"myframe_S","E2","600","0.3476","0.6449","0.8388","0.943","0.9839","0.9963","0.9999","1"
"myframe_S","E2","1000","0.4422","0.7579","0.9191","0.9812","0.9973","1","1","1"
"myframe_S","E3","10","0.0768","0.1602","0.2353","0.3131","0.3918","0.4663","0.6073","0.7365"
"myframe_S","E3","15","0.087","0.1686","0.2559","0.3395","0.4213","0.5023","0.6474","0.7732"
"myframe_S","E3","30","0.1179","0.2328","0.3416","0.4463","0.5476","0.637","0.7875","0.8976"
"myframe_S","E3","45","0.1551","0.3035","0.4458","0.5694","0.6798","0.7762","0.9071","0.9701"
"myframe_S","E3","80","0.2018","0.3832","0.5484","0.6896","0.7999","0.8792","0.9679","0.9961"
"myframe_S","E3","130","0.2534","0.4814","0.6645","0.8088","0.9001","0.9559","0.9936","0.9999"
"myframe_S","E3","215","0.3136","0.5838","0.7763","0.8989","0.9645","0.9904","0.9996","1"
"myframe_S","E3","360","0.3925","0.6976","0.8813","0.9652","0.993","0.9988","1","1"
"myframe_S","E3","600","0.4942","0.8165","0.9573","0.9928","0.9994","0.9999","1","1"
"myframe_S","E3","1000","0.601","0.9066","0.9906","0.9993","1","1","1","1"
"myframe_S","E4","10","0.1171","0.2348","0.3473","0.4596","0.5567","0.6489","0.7947","0.8942"
"myframe_S","E4","15","0.13","0.2634","0.3865","0.5056","0.6145","0.7066","0.8468","0.9355"
