"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0312","0.0645","0.0989","0.1314","0.1649","0.2024","0.2845","0.3822"
"myframe_S","E1","15","0.0349","0.0707","0.1121","0.1497","0.1919","0.2335","0.3329","0.4483"
"myframe_S","E1","30","0.055","0.1125","0.1714","0.2272","0.2887","0.3552","0.4798","0.6043"
"myframe_S","E1","45","0.0693","0.1398","0.2107","0.2803","0.3486","0.4231","0.5594","0.6777"
"myframe_S","E1","80","0.0946","0.1877","0.2741","0.363","0.453","0.5337","0.6873","0.7858"
"myframe_S","E1","130","0.1161","0.234","0.3485","0.4628","0.5648","0.6553","0.7869","0.8575"
"myframe_S","E1","215","0.1543","0.3054","0.4458","0.5766","0.6827","0.7688","0.8718","0.9146"
"myframe_S","E1","360","0.1969","0.3901","0.5597","0.6941","0.7957","0.8614","0.9282","0.9587"
"myframe_S","E1","600","0.2528","0.4887","0.6793","0.8141","0.8936","0.9391","0.9769","0.9896"
"myframe_S","E1","1000","0.3186","0.5885","0.7872","0.9008","0.9522","0.9773","0.9948","0.9984"
"myframe_S","E2","10","0.1035","0.2096","0.3131","0.4241","0.5269","0.62","0.7533","0.8157"
"myframe_S","E2","15","0.1293","0.262","0.3871","0.5137","0.6217","0.7136","0.8318","0.8748"
"myframe_S","E2","30","0.1917","0.3667","0.5306","0.6805","0.7835","0.8543","0.9195","0.9505"
"myframe_S","E2","45","0.2345","0.4539","0.6373","0.7764","0.8672","0.9169","0.9617","0.9822"
"myframe_S","E2","80","0.3083","0.5778","0.7723","0.8878","0.9439","0.9693","0.991","0.9979"
"myframe_S","E2","130","0.3933","0.6993","0.882","0.9547","0.9807","0.9926","0.9987","0.9998"
"myframe_S","E2","215","0.486","0.8133","0.9503","0.9887","0.9976","0.9994","1","1"
"myframe_S","E2","360","0.6044","0.9099","0.9884","0.9977","0.9999","1","1","1"
"myframe_S","E2","600","0.7216","0.9703","0.9984","0.9999","1","1","1","1"
"myframe_S","E2","1000","0.8559","0.9947","1","1","1","1","1","1"
"myframe_S","E3","10","0.2727","0.5154","0.6976","0.816","0.8852","0.9253","0.9662","0.9851"
"myframe_S","E3","15","0.3383","0.6233","0.8037","0.8986","0.9446","0.9697","0.9896","0.9966"
"myframe_S","E3","30","0.4515","0.7615","0.9112","0.9655","0.9873","0.9957","0.9992","0.9999"
"myframe_S","E3","45","0.543","0.8567","0.96","0.9891","0.9971","0.9994","1","1"
"myframe_S","E3","80","0.6754","0.9449","0.9912","0.9978","0.9994","1","1","1"
"myframe_S","E3","130","0.7989","0.9833","0.999","1","1","1","1","1"
"myframe_S","E3","215","0.8924","0.9972","1","1","1","1","1","1"
"myframe_S","E3","360","0.9626","0.9996","1","1","1","1","1","1"
"myframe_S","E3","600","0.9919","1","1","1","1","1","1","1"
"myframe_S","E3","1000","0.9991","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.4767","0.8037","0.9462","0.9921","0.9987","0.9994","1","1"
"myframe_S","E4","15","0.5808","0.8983","0.986","0.9988","1","1","1","1"
"myframe_S","E4","30","0.7416","0.9789","0.9994","1","1","1","1","1"
"myframe_S","E4","45","0.8399","0.9957","1","1","1","1","1","1"
"myframe_S","E4","80","0.9365","0.9999","1","1","1","1","1","1"
"myframe_S","E4","130","0.9837","1","1","1","1","1","1","1"
"myframe_S","E4","215","0.9978","1","1","1","1","1","1","1"
"myframe_S","E4","360","0.9998","1","1","1","1","1","1","1"
"myframe_S","E4","600","1","1","1","1","1","1","1","1"
"myframe_S","E4","1000","1","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.3225","0.5926","0.7871","0.9037","0.9633","0.987","0.9986","1"
"myframe_S","E5","15","0.3702","0.6582","0.8508","0.9502","0.9875","0.9969","0.9997","1"
"myframe_S","E5","30","0.496","0.8154","0.9547","0.9933","0.9995","0.9999","1","1"
"myframe_S","E5","45","0.5715","0.8912","0.9844","0.9994","0.9998","1","1","1"
"myframe_S","E5","80","0.7091","0.9686","0.9987","1","1","1","1","1"
"myframe_S","E5","130","0.8285","0.9946","1","1","1","1","1","1"
"myframe_S","E5","215","0.9115","0.9994","1","1","1","1","1","1"
"myframe_S","E5","360","0.9719","1","1","1","1","1","1","1"
"myframe_S","E5","600","0.9949","1","1","1","1","1","1","1"
"myframe_S","E5","1000","0.9993","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.1829","0.3583","0.522","0.6636","0.7709","0.858","0.9516","0.9848"
"myframe_S","E6","15","0.2351","0.4467","0.634","0.7742","0.8745","0.9399","0.9887","0.9972"
"myframe_S","E6","30","0.3268","0.6052","0.805","0.9191","0.9698","0.9894","0.9992","0.9999"
"myframe_S","E6","45","0.3944","0.6956","0.8798","0.9639","0.9926","0.9985","1","1"
"myframe_S","E6","80","0.5006","0.8301","0.9616","0.9954","0.9996","1","1","1"
"myframe_S","E6","130","0.6203","0.9199","0.9942","0.9997","1","1","1","1"
"myframe_S","E6","215","0.7333","0.9732","0.9991","1","1","1","1","1"
"myframe_S","E6","360","0.8432","0.997","1","1","1","1","1","1"
"myframe_S","E6","600","0.9295","1","1","1","1","1","1","1"
"myframe_S","E6","1000","0.9772","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.1449","0.2768","0.4097","0.5317","0.6416","0.7347","0.8654","0.9405"
"myframe_S","E7","15","0.1878","0.3758","0.5331","0.6674","0.7789","0.8643","0.9514","0.9874"
"myframe_S","E7","30","0.2462","0.4644","0.6485","0.7906","0.8847","0.9437","0.9903","0.9984"
"myframe_S","E7","45","0.3024","0.5603","0.7544","0.879","0.9478","0.9808","0.9985","0.9999"
"myframe_S","E7","80","0.3981","0.7001","0.8845","0.9654","0.9919","0.9984","1","1"
"myframe_S","E7","130","0.4907","0.8198","0.9567","0.9941","0.9993","0.9998","1","1"
"myframe_S","E7","215","0.5994","0.9098","0.991","0.9994","1","1","1","1"
"myframe_S","E7","360","0.7302","0.9724","0.9992","1","1","1","1","1"
"myframe_S","E7","600","0.8395","0.9959","1","1","1","1","1","1"
"myframe_S","E7","1000","0.9265","0.9999","1","1","1","1","1","1"
"myframe_S","E8","10","0.1171","0.2288","0.3402","0.4431","0.5413","0.6336","0.7747","0.8748"
"myframe_S","E8","15","0.1496","0.2897","0.424","0.5425","0.6521","0.7444","0.8717","0.9412"
"myframe_S","E8","30","0.1933","0.3761","0.5436","0.6862","0.7925","0.867","0.9552","0.9861"
"myframe_S","E8","45","0.2362","0.4603","0.6477","0.7843","0.8758","0.9395","0.9872","0.998"
"myframe_S","E8","80","0.3142","0.5868","0.7826","0.8987","0.9591","0.984","0.9992","1"
"myframe_S","E8","130","0.397","0.7032","0.8805","0.9618","0.9898","0.9982","1","1"
"myframe_S","E8","215","0.4933","0.8181","0.955","0.992","0.9992","1","1","1"
"myframe_S","E8","360","0.6086","0.9179","0.9892","0.9993","1","1","1","1"
"myframe_S","E8","600","0.7302","0.9741","0.9982","1","1","1","1","1"
"myframe_S","E8","1000","0.8281","0.9925","1","1","1","1","1","1"
"myframe_S","E9","10","0.0242","0.0516","0.0742","0.0977","0.1241","0.1523","0.206","0.2672"
"myframe_S","E9","15","0.0284","0.0578","0.0906","0.1196","0.1529","0.186","0.2555","0.3324"
"myframe_S","E9","30","0.0423","0.0853","0.1322","0.1771","0.2225","0.2694","0.3676","0.474"
"myframe_S","E9","45","0.0542","0.1109","0.1655","0.2208","0.2813","0.3384","0.4512","0.566"
"myframe_S","E9","80","0.0721","0.1431","0.2203","0.2934","0.3649","0.4338","0.5738","0.6985"
"myframe_S","E9","130","0.0951","0.1894","0.2816","0.3698","0.4578","0.5479","0.7056","0.82"
