"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.028","0.0601","0.0916","0.1249","0.1572","0.1922","0.2757","0.3721"
"myframe_S","E1","15","0.0392","0.0761","0.1149","0.1535","0.1949","0.2404","0.3397","0.4574"
"myframe_S","E1","30","0.0569","0.1123","0.1693","0.2251","0.2891","0.3497","0.4832","0.6047"
"myframe_S","E1","45","0.0662","0.1345","0.2022","0.2779","0.346","0.4198","0.5594","0.6768"
"myframe_S","E1","80","0.0937","0.1849","0.2805","0.3707","0.4644","0.5431","0.6906","0.7856"
"myframe_S","E1","130","0.1258","0.235","0.3546","0.4635","0.5601","0.6504","0.7887","0.8573"
"myframe_S","E1","215","0.1566","0.3031","0.444","0.5696","0.6781","0.7665","0.8741","0.9236"
"myframe_S","E1","360","0.1965","0.3898","0.55","0.6932","0.7971","0.8679","0.9378","0.9652"
"myframe_S","E1","600","0.2649","0.4918","0.6711","0.8013","0.8888","0.9364","0.9757","0.9902"
"myframe_S","E1","1000","0.3165","0.5941","0.7981","0.9071","0.9561","0.9795","0.9957","0.9992"
"myframe_S","E2","10","0.1046","0.2081","0.3099","0.4111","0.5095","0.6045","0.7464","0.8223"
"myframe_S","E2","15","0.1255","0.2576","0.3837","0.5115","0.6224","0.7147","0.8298","0.8798"
"myframe_S","E2","30","0.1825","0.3622","0.5243","0.6629","0.7718","0.8425","0.9146","0.9518"
"myframe_S","E2","45","0.2254","0.4413","0.6317","0.7719","0.8681","0.9191","0.9632","0.9833"
"myframe_S","E2","80","0.3022","0.5588","0.7561","0.8742","0.937","0.9672","0.9898","0.9971"
"myframe_S","E2","130","0.381","0.6808","0.8686","0.9506","0.9799","0.991","0.9982","0.9996"
"myframe_S","E2","215","0.4768","0.8003","0.9434","0.9842","0.9951","0.9987","0.9999","1"
"myframe_S","E2","360","0.5917","0.9056","0.9842","0.9978","0.9996","1","1","1"
"myframe_S","E2","600","0.7129","0.9674","0.9977","0.9997","1","1","1","1"
"myframe_S","E2","1000","0.8283","0.9945","0.9998","1","1","1","1","1"
"myframe_S","E3","10","0.2156","0.4281","0.606","0.7419","0.8391","0.8984","0.9532","0.9777"
"myframe_S","E3","15","0.2738","0.5277","0.7234","0.8487","0.9203","0.9571","0.9894","0.9962"
"myframe_S","E3","30","0.3879","0.6912","0.8652","0.9472","0.9797","0.992","0.999","0.9999"
"myframe_S","E3","45","0.4591","0.7819","0.9309","0.9795","0.9938","0.9983","0.9999","1"
"myframe_S","E3","80","0.6016","0.9092","0.9835","0.998","0.9998","1","1","1"
"myframe_S","E3","130","0.7287","0.9655","0.9977","0.9999","1","1","1","1"
"myframe_S","E3","215","0.8342","0.991","0.9997","1","1","1","1","1"
"myframe_S","E3","360","0.9255","0.9995","1","1","1","1","1","1"
"myframe_S","E3","600","0.976","1","1","1","1","1","1","1"
"myframe_S","E3","1000","0.9971","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.4621","0.7863","0.935","0.9855","0.9982","0.9998","0.9999","0.9999"
"myframe_S","E4","15","0.5317","0.8539","0.9704","0.9967","0.9998","0.9999","1","1"
"myframe_S","E4","30","0.6947","0.9604","0.9981","1","1","1","1","1"
"myframe_S","E4","45","0.7845","0.9858","0.9999","1","1","1","1","1"
"myframe_S","E4","80","0.9048","0.9991","1","1","1","1","1","1"
"myframe_S","E4","130","0.9662","1","1","1","1","1","1","1"
"myframe_S","E4","215","0.9923","1","1","1","1","1","1","1"
"myframe_S","E4","360","0.9998","1","1","1","1","1","1","1"
"myframe_S","E4","600","1","1","1","1","1","1","1","1"
"myframe_S","E4","1000","1","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.3646","0.6708","0.86","0.9543","0.9889","0.9976","0.9998","0.9999"
"myframe_S","E5","15","0.4402","0.7499","0.9167","0.9796","0.997","0.9998","1","1"
"myframe_S","E5","30","0.5682","0.8925","0.9836","0.9986","0.9999","1","1","1"
"myframe_S","E5","45","0.6615","0.9441","0.9953","0.9998","1","1","1","1"
"myframe_S","E5","80","0.7972","0.9891","1","1","1","1","1","1"
"myframe_S","E5","130","0.8918","0.9986","1","1","1","1","1","1"
"myframe_S","E5","215","0.9603","0.9999","1","1","1","1","1","1"
"myframe_S","E5","360","0.9901","1","1","1","1","1","1","1"
"myframe_S","E5","600","0.9994","1","1","1","1","1","1","1"
"myframe_S","E5","1000","1","1","1","1","1","1","1","1"
"myframe_S","E6","10","0.2461","0.4909","0.6843","0.8213","0.9066","0.9555","0.9949","0.9996"
"myframe_S","E6","15","0.2975","0.565","0.7571","0.8811","0.9528","0.9862","0.9992","1"
"myframe_S","E6","30","0.3669","0.669","0.8581","0.948","0.9859","0.9977","0.9999","1"
"myframe_S","E6","45","0.462","0.7845","0.9373","0.9874","0.9984","1","1","1"
"myframe_S","E6","80","0.5605","0.8774","0.9818","0.9989","0.9999","1","1","1"
"myframe_S","E6","130","0.6803","0.9583","0.9976","1","1","1","1","1"
"myframe_S","E6","215","0.7961","0.9898","0.9999","1","1","1","1","1"
"myframe_S","E6","360","0.8989","0.9991","1","1","1","1","1","1"
"myframe_S","E6","600","0.9593","1","1","1","1","1","1","1"
"myframe_S","E6","1000","0.9932","1","1","1","1","1","1","1"
"myframe_S","E7","10","0.146","0.2917","0.4201","0.5383","0.643","0.7325","0.8744","0.9522"
"myframe_S","E7","15","0.1872","0.3691","0.5307","0.668","0.7789","0.8656","0.966","0.9926"
"myframe_S","E7","30","0.2674","0.5064","0.6989","0.8334","0.9216","0.9671","0.9963","1"
"myframe_S","E7","45","0.3169","0.5831","0.7812","0.9025","0.9673","0.9897","0.9995","1"
"myframe_S","E7","80","0.426","0.7409","0.9097","0.9757","0.9951","0.9991","1","1"
"myframe_S","E7","130","0.5383","0.8567","0.9715","0.9966","0.9996","0.9999","1","1"
"myframe_S","E7","215","0.6454","0.9366","0.9949","0.9997","1","1","1","1"
"myframe_S","E7","360","0.7699","0.9825","0.9997","1","1","1","1","1"
"myframe_S","E7","600","0.876","0.997","1","1","1","1","1","1"
"myframe_S","E7","1000","0.9505","0.9997","1","1","1","1","1","1"
"myframe_S","E8","10","0.1241","0.2333","0.3479","0.4524","0.5472","0.6382","0.7892","0.896"
"myframe_S","E8","15","0.159","0.3068","0.4496","0.5786","0.6864","0.7837","0.9105","0.9715"
"myframe_S","E8","30","0.2217","0.4236","0.6022","0.7428","0.8486","0.9194","0.9834","0.998"
"myframe_S","E8","45","0.2639","0.5042","0.6909","0.8381","0.9175","0.9621","0.9955","0.9997"
"myframe_S","E8","80","0.3409","0.6156","0.8104","0.9225","0.9745","0.9939","0.9998","1"
"myframe_S","E8","130","0.4125","0.733","0.9061","0.9757","0.9959","0.9992","1","1"
"myframe_S","E8","215","0.5264","0.8465","0.9675","0.9962","0.9996","1","1","1"
"myframe_S","E8","360","0.6329","0.9322","0.995","0.9999","1","1","1","1"
"myframe_S","E8","600","0.7609","0.9807","0.9996","1","1","1","1","1"
"myframe_S","E8","1000","0.8721","0.9984","1","1","1","1","1","1"
"myframe_S","E9","10","0.1201","0.2312","0.3413","0.4409","0.5362","0.6256","0.7738","0.8758"
"myframe_S","E9","15","0.1524","0.3065","0.4544","0.585","0.6952","0.7817","0.9059","0.9667"
"myframe_S","E9","30","0.2075","0.4078","0.5801","0.7262","0.8289","0.9042","0.9775","0.9964"
"myframe_S","E9","45","0.266","0.4909","0.6875","0.8266","0.9123","0.9613","0.9952","0.9994"
"myframe_S","E9","80","0.3426","0.6333","0.82","0.9246","0.9758","0.9933","0.9999","1"
"myframe_S","E9","130","0.4315","0.7578","0.9225","0.9827","0.9977","0.9999","1","1"
"myframe_S","E9","215","0.5468","0.8667","0.9764","0.9975","0.9999","0.9999","1","1"
"myframe_S","E9","360","0.6618","0.9419","0.9952","0.9999","1","1","1","1"
"myframe_S","E9","600","0.7806","0.9858","0.9996","0.9999","1","1","1","1"
"myframe_S","E9","1000","0.8839","0.9978","1","1","1","1","1","1"
"myframe_S","E10","10","0.151","0.2978","0.4313","0.5517","0.6589","0.7475","0.88","0.9487"
"myframe_S","E10","15","0.1815","0.3465","0.5087","0.6445","0.7561","0.8381","0.9386","0.9824"
"myframe_S","E10","30","0.2298","0.4439","0.6213","0.7629","0.8619","0.9262","0.9844","0.9973"
"myframe_S","E10","45","0.2806","0.5306","0.7338","0.8598","0.9364","0.9736","0.9972","0.9997"
"myframe_S","E10","80","0.3544","0.6431","0.8384","0.9385","0.9821","0.995","0.9997","1"
"myframe_S","E10","130","0.4471","0.7737","0.9322","0.9843","0.9977","0.9993","1","1"
"myframe_S","E10","215","0.5696","0.8764","0.9781","0.9983","0.9999","1","1","1"
"myframe_S","E10","360","0.6821","0.952","0.997","0.9999","1","1","1","1"
"myframe_S","E10","600","0.7964","0.9884","0.9995","1","1","1","1","1"
"myframe_S","E10","1000","0.8841","0.9983","1","1","1","1","1","1"
"myframe_S","E11","10","0.1365","0.2696","0.394","0.5002","0.6042","0.697","0.8336","0.9094"
"myframe_S","E11","15","0.1573","0.3092","0.4562","0.5797","0.6897","0.7768","0.8926","0.9489"
"myframe_S","E11","30","0.2201","0.4235","0.5964","0.7391","0.8399","0.9114","0.974","0.9922"
"myframe_S","E11","45","0.2742","0.5131","0.7026","0.8334","0.9176","0.9609","0.9929","0.999"
"myframe_S","E11","80","0.3466","0.6428","0.831","0.9316","0.9778","0.9929","0.9996","0.9999"
"myframe_S","E11","130","0.4343","0.7519","0.9143","0.9777","0.9954","0.9991","1","1"
"myframe_S","E11","215","0.5377","0.8633","0.9745","0.9964","0.9999","1","1","1"
"myframe_S","E11","360","0.6611","0.9395","0.9949","0.9997","1","1","1","1"
"myframe_S","E11","600","0.783","0.9833","0.9999","1","1","1","1","1"
"myframe_S","E11","1000","0.8736","0.9972","1","1","1","1","1","1"
"myframe_S","E12","10","0.1203","0.2379","0.3556","0.4661","0.5666","0.6505","0.7902","0.8755"
"myframe_S","E12","15","0.1338","0.2732","0.4059","0.5213","0.6282","0.7167","0.8427","0.9105"
"myframe_S","E12","30","0.1971","0.381","0.5485","0.6845","0.7871","0.8644","0.946","0.9782"
"myframe_S","E12","45","0.2312","0.4448","0.6152","0.7555","0.8554","0.9131","0.9729","0.9913"
"myframe_S","E12","80","0.3105","0.5754","0.7678","0.8831","0.9465","0.9781","0.9956","0.9988"
"myframe_S","E12","130","0.3778","0.6789","0.8591","0.9515","0.9855","0.9956","0.9997","1"
"myframe_S","E12","215","0.4703","0.7974","0.939","0.9856","0.9971","0.9994","1","1"
"myframe_S","E12","360","0.5846","0.8932","0.9818","0.9985","0.9999","1","1","1"
"myframe_S","E12","600","0.7025","0.9604","0.9978","0.9998","1","1","1","1"
"myframe_S","E12","1000","0.8109","0.9896","0.9999","1","1","1","1","1"
