"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0197","0.0416","0.0622","0.0834","0.1056","0.1249","0.1689","0.2178"
"myframe_S","E1","15","0.0243","0.0483","0.0719","0.0979","0.1249","0.1524","0.2074","0.2659"
"myframe_S","E1","30","0.0375","0.0706","0.1075","0.145","0.1814","0.2205","0.298","0.3802"
"myframe_S","E1","45","0.047","0.0908","0.1326","0.1794","0.2263","0.2713","0.3616","0.4563"
"myframe_S","E1","80","0.0584","0.1185","0.1813","0.243","0.3037","0.3636","0.479","0.5841"
"myframe_S","E1","130","0.0745","0.1538","0.2301","0.3025","0.3769","0.445","0.5683","0.6768"
"myframe_S","E1","215","0.0949","0.1957","0.2924","0.3825","0.4702","0.5485","0.6745","0.7698"
"myframe_S","E1","360","0.1269","0.25","0.3614","0.4739","0.5708","0.6546","0.7799","0.856"
"myframe_S","E1","600","0.1562","0.3198","0.4558","0.5798","0.6797","0.7577","0.8592","0.9173"
"myframe_S","E1","1000","0.1948","0.3847","0.5421","0.6704","0.7648","0.8324","0.9168","0.9598"
"myframe_S","E2","10","0.0582","0.1132","0.172","0.2302","0.2839","0.3405","0.4537","0.5587"
"myframe_S","E2","15","0.0782","0.1517","0.2261","0.3006","0.3773","0.4433","0.5733","0.6876"
"myframe_S","E2","30","0.1074","0.2164","0.3225","0.4221","0.5149","0.6052","0.7448","0.842"
"myframe_S","E2","45","0.1374","0.2724","0.3972","0.5083","0.6113","0.6981","0.8308","0.9072"
"myframe_S","E2","80","0.1758","0.346","0.5037","0.638","0.7487","0.8325","0.9298","0.972"
"myframe_S","E2","130","0.2196","0.4296","0.6136","0.7517","0.8517","0.9183","0.9756","0.9921"
"myframe_S","E2","215","0.2885","0.546","0.7361","0.8699","0.9415","0.9734","0.9942","0.9992"
"myframe_S","E2","360","0.366","0.6618","0.8513","0.947","0.9832","0.996","0.9996","1"
"myframe_S","E2","600","0.462","0.7891","0.9402","0.9884","0.998","0.9997","1","1"
"myframe_S","E2","1000","0.5694","0.8923","0.9854","0.9991","1","1","1","1"
"myframe_S","E3","10","0.1124","0.2133","0.3216","0.4231","0.5235","0.6143","0.7638","0.869"
"myframe_S","E3","15","0.1367","0.2698","0.3966","0.5165","0.62","0.715","0.8553","0.9304"
"myframe_S","E3","30","0.1762","0.3457","0.509","0.6432","0.7513","0.8401","0.9401","0.9778"
"myframe_S","E3","45","0.2238","0.4332","0.6138","0.7518","0.8575","0.9228","0.9807","0.9947"
"myframe_S","E3","80","0.2873","0.541","0.7415","0.8692","0.9423","0.9775","0.9969","0.9997"
"myframe_S","E3","130","0.3784","0.678","0.8594","0.9535","0.9866","0.9966","0.9998","0.9999"
"myframe_S","E3","215","0.4648","0.7906","0.944","0.9873","0.9984","1","1","1"
"myframe_S","E3","360","0.5924","0.8995","0.9854","0.9989","1","1","1","1"
"myframe_S","E3","600","0.707","0.9638","0.9983","1","1","1","1","1"
"myframe_S","E3","1000","0.828","0.9941","1","1","1","1","1","1"
"myframe_S","E4","10","0.141","0.2794","0.4093","0.5339","0.6429","0.7425","0.8793","0.9499"
"myframe_S","E4","15","0.1914","0.3763","0.5412","0.676","0.7895","0.8748","0.9668","0.992"
"myframe_S","E4","30","0.2425","0.4622","0.6492","0.7923","0.8931","0.9508","0.9927","0.9995"
"myframe_S","E4","45","0.3013","0.5699","0.7686","0.8937","0.9597","0.9851","0.9993","1"
"myframe_S","E4","80","0.3888","0.6962","0.8861","0.9641","0.9922","0.9984","1","1"
"myframe_S","E4","130","0.4887","0.8134","0.9548","0.9927","0.9992","0.9999","1","1"
"myframe_S","E4","215","0.6029","0.9189","0.9906","0.9995","1","1","1","1"
"myframe_S","E4","360","0.7277","0.9713","0.9991","1","1","1","1","1"
"myframe_S","E4","600","0.8488","0.9959","1","1","1","1","1","1"
"myframe_S","E4","1000","0.934","0.9998","1","1","1","1","1","1"
"myframe_S","E5","10","0.1971","0.3861","0.5543","0.7031","0.8216","0.9067","0.9876","0.9991"
"myframe_S","E5","15","0.218","0.4282","0.6131","0.7644","0.8758","0.9495","0.9956","0.9998"
"myframe_S","E5","30","0.3242","0.6005","0.7998","0.9176","0.977","0.9948","1","1"
"myframe_S","E5","45","0.3922","0.6998","0.8866","0.9697","0.9957","0.9996","1","1"
"myframe_S","E5","80","0.4999","0.8279","0.9629","0.9959","0.9997","1","1","1"
"myframe_S","E5","130","0.6371","0.928","0.9938","0.9998","1","1","1","1"
"myframe_S","E5","215","0.7534","0.9781","0.9996","1","1","1","1","1"
"myframe_S","E5","360","0.8623","0.998","1","1","1","1","1","1"
"myframe_S","E5","600","0.9423","0.9995","1","1","1","1","1","1"
"myframe_S","E5","1000","0.9884","1","1","1","1","1","1","1"
