"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0385","0.0837","0.1281","0.171","0.214","0.2593","0.3535","0.4503"
"myframe_S","E1","15","0.0532","0.1062","0.1636","0.2163","0.2729","0.3314","0.4468","0.5635"
"myframe_S","E1","30","0.0763","0.153","0.2355","0.3164","0.3944","0.47","0.6113","0.7329"
"myframe_S","E1","45","0.0964","0.1932","0.2897","0.3838","0.4785","0.5685","0.7296","0.8437"
"myframe_S","E1","80","0.1306","0.257","0.3815","0.5032","0.6107","0.7055","0.8581","0.9357"
"myframe_S","E1","130","0.1659","0.3252","0.4718","0.6096","0.7275","0.8249","0.9415","0.9824"
"myframe_S","E1","215","0.1841","0.3735","0.5488","0.7059","0.8298","0.9153","0.9845","0.9971"
"myframe_S","E1","360","0.2179","0.4341","0.6391","0.8026","0.9132","0.9704","0.9982","0.9999"
"myframe_S","E1","600","0.2399","0.4871","0.7174","0.8818","0.9659","0.9947","1","1"
"myframe_S","E1","1000","0.237","0.5182","0.7841","0.9462","0.9927","0.9995","1","1"
"myframe_S","E2","10","0.0914","0.177","0.2621","0.348","0.4267","0.4985","0.6339","0.7386"
"myframe_S","E2","15","0.1169","0.2274","0.3409","0.4445","0.5357","0.618","0.7559","0.8482"
"myframe_S","E2","30","0.1647","0.3247","0.4659","0.5931","0.6966","0.7786","0.8907","0.9452"
"myframe_S","E2","45","0.2038","0.392","0.5599","0.6959","0.7983","0.8714","0.9486","0.9762"
"myframe_S","E2","80","0.2556","0.4999","0.6943","0.8263","0.9063","0.9523","0.9866","0.9964"
"myframe_S","E2","130","0.331","0.6111","0.8045","0.9122","0.9649","0.9856","0.9973","0.9995"
"myframe_S","E2","215","0.4142","0.732","0.8986","0.967","0.9921","0.9981","0.9995","0.9999"
"myframe_S","E2","360","0.5297","0.8477","0.9653","0.9932","0.9995","0.9999","1","1"
"myframe_S","E2","600","0.6487","0.9352","0.9936","0.9994","0.9999","1","1","1"
"myframe_S","E2","1000","0.7642","0.9822","0.9999","1","1","1","1","1"
"myframe_S","E3","10","0.1483","0.2924","0.4306","0.5494","0.6595","0.7468","0.8681","0.9353"
"myframe_S","E3","15","0.1903","0.369","0.5255","0.6515","0.7658","0.8447","0.9344","0.9751"
"myframe_S","E3","30","0.2508","0.4706","0.6544","0.7934","0.8811","0.9395","0.9838","0.996"
"myframe_S","E3","45","0.3019","0.5648","0.758","0.881","0.9439","0.9759","0.9965","0.9996"
"myframe_S","E3","80","0.3882","0.6928","0.8659","0.9578","0.9864","0.9969","1","1"
"myframe_S","E3","130","0.4809","0.8099","0.9497","0.9906","0.9987","1","1","1"
"myframe_S","E3","215","0.5992","0.9077","0.9872","0.9991","1","1","1","1"
"myframe_S","E3","360","0.7256","0.969","0.9985","1","1","1","1","1"
"myframe_S","E3","600","0.832","0.9951","1","1","1","1","1","1"
"myframe_S","E3","1000","0.9221","0.9994","1","1","1","1","1","1"
"myframe_S","E4","10","0.1897","0.3729","0.5287","0.6714","0.7779","0.8585","0.9505","0.9863"
"myframe_S","E4","15","0.2523","0.475","0.6627","0.8004","0.8888","0.9458","0.989","0.9983"
"myframe_S","E4","30","0.3278","0.6015","0.7939","0.9109","0.9671","0.9892","0.999","1"
"myframe_S","E4","45","0.4122","0.7116","0.8874","0.9663","0.9908","0.9976","1","1"
"myframe_S","E4","80","0.5031","0.8268","0.9593","0.9926","0.9991","0.9999","1","1"
