"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0199","0.0411","0.0589","0.0784","0.0996","0.1194","0.1654","0.2141"
"myframe_S","E1","15","0.0248","0.0501","0.0725","0.0963","0.1242","0.1482","0.2037","0.2664"
"myframe_S","E1","30","0.0372","0.075","0.1133","0.1523","0.1904","0.2286","0.3052","0.3883"
"myframe_S","E1","45","0.0452","0.0899","0.1345","0.1808","0.2243","0.27","0.3653","0.4616"
"myframe_S","E1","80","0.0604","0.1256","0.1877","0.2456","0.3031","0.3597","0.4705","0.5717"
"myframe_S","E1","130","0.0821","0.1602","0.2313","0.3035","0.3751","0.4419","0.5703","0.678"
"myframe_S","E1","215","0.096","0.1934","0.2905","0.3752","0.4588","0.5373","0.6702","0.7674"
"myframe_S","E1","360","0.1301","0.2578","0.3724","0.4852","0.5776","0.6595","0.7884","0.8628"
"myframe_S","E1","600","0.1667","0.3195","0.4535","0.577","0.6745","0.7531","0.853","0.9111"
"myframe_S","E1","1000","0.1908","0.3793","0.5362","0.6582","0.7582","0.8331","0.9169","0.9596"
"myframe_S","E2","10","0.0631","0.1307","0.2003","0.2654","0.3317","0.3967","0.5173","0.6352"
"myframe_S","E2","15","0.0843","0.1696","0.2568","0.3413","0.4191","0.4947","0.6347","0.7483"
"myframe_S","E2","30","0.12","0.2375","0.351","0.4579","0.5613","0.6521","0.7929","0.8779"
"myframe_S","E2","45","0.1483","0.2936","0.432","0.5577","0.6605","0.752","0.8756","0.9348"
"myframe_S","E2","80","0.1982","0.3848","0.5455","0.6799","0.7846","0.8623","0.9476","0.9774"
"myframe_S","E2","130","0.2485","0.4766","0.6655","0.7997","0.8943","0.9457","0.9866","0.9966"
"myframe_S","E2","215","0.3188","0.5877","0.7926","0.9077","0.96","0.9843","0.998","0.9995"
"myframe_S","E2","360","0.4059","0.712","0.8915","0.9695","0.9925","0.998","1","1"
"myframe_S","E2","600","0.4997","0.8263","0.9616","0.9943","0.9996","1","1","1"
"myframe_S","E2","1000","0.6236","0.9205","0.9926","0.9997","1","1","1","1"
"myframe_S","E3","10","0.1214","0.2407","0.3573","0.4608","0.5612","0.6531","0.7974","0.8825"
"myframe_S","E3","15","0.1617","0.3177","0.4535","0.5861","0.6976","0.7826","0.8998","0.9525"
"myframe_S","E3","30","0.232","0.4507","0.6203","0.7583","0.8596","0.9191","0.975","0.9918"
"myframe_S","E3","45","0.2805","0.527","0.7223","0.8546","0.9306","0.9658","0.9927","0.9988"
"myframe_S","E3","80","0.3777","0.6708","0.8549","0.9439","0.9809","0.9944","0.9996","1"
"myframe_S","E3","130","0.465","0.7807","0.9299","0.9831","0.9964","0.9994","1","1"
"myframe_S","E3","215","0.5716","0.8906","0.9836","0.9977","0.9999","1","1","1"
"myframe_S","E3","360","0.6939","0.9619","0.9972","1","1","1","1","1"
"myframe_S","E3","600","0.8137","0.9929","0.9999","1","1","1","1","1"
"myframe_S","E3","1000","0.9108","0.9995","1","1","1","1","1","1"
"myframe_S","E4","10","0.2052","0.3977","0.5662","0.7135","0.8231","0.8965","0.9659","0.9899"
"myframe_S","E4","15","0.2396","0.466","0.6525","0.7877","0.8809","0.9376","0.9847","0.9952"
"myframe_S","E4","30","0.3302","0.6159","0.8114","0.9229","0.973","0.9889","0.9992","1"
"myframe_S","E4","45","0.4032","0.6974","0.8829","0.9661","0.9903","0.9974","0.9999","1"
"myframe_S","E4","80","0.5175","0.8469","0.9656","0.9941","0.9993","0.9999","1","1"
"myframe_S","E4","130","0.6402","0.9327","0.9926","0.9996","1","1","1","1"
"myframe_S","E4","215","0.7646","0.9835","0.9996","1","1","1","1","1"
"myframe_S","E4","360","0.8697","0.998","1","1","1","1","1","1"
"myframe_S","E4","600","0.9501","0.9998","1","1","1","1","1","1"
"myframe_S","E4","1000","0.9887","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.2849","0.532","0.7297","0.8683","0.9469","0.9821","0.9982","0.9996"
"myframe_S","E5","15","0.3517","0.6367","0.8317","0.9373","0.9852","0.9975","0.9999","1"
"myframe_S","E5","30","0.4856","0.8079","0.9503","0.9917","0.9988","0.9998","1","1"
"myframe_S","E5","45","0.5741","0.8869","0.9851","0.9988","0.9999","1","1","1"
