"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.0228","0.0426","0.0582","0.077","0.0973","0.1199","0.168","0.2168"
"myframe_S","E1","15","0.0259","0.05","0.0745","0.0995","0.1282","0.1548","0.2111","0.275"
"myframe_S","E1","30","0.0373","0.0736","0.1096","0.1432","0.1803","0.2179","0.2949","0.3786"
"myframe_S","E1","45","0.0452","0.0895","0.1356","0.1818","0.2273","0.2737","0.3669","0.4612"
"myframe_S","E1","80","0.0622","0.1199","0.183","0.249","0.3069","0.3644","0.477","0.5834"
"myframe_S","E1","130","0.0785","0.1558","0.2375","0.312","0.384","0.4519","0.5792","0.6823"
"myframe_S","E1","215","0.0966","0.1898","0.2862","0.3761","0.4626","0.541","0.6774","0.7716"
"myframe_S","E1","360","0.1268","0.2546","0.3728","0.4824","0.5785","0.6576","0.7809","0.8566"
"myframe_S","E1","600","0.161","0.3164","0.4513","0.572","0.6712","0.7517","0.8577","0.9177"
"myframe_S","E1","1000","0.2014","0.3825","0.539","0.6702","0.7626","0.8315","0.9167","0.9616"
"myframe_S","E2","10","0.0637","0.1333","0.1994","0.2649","0.3302","0.3951","0.5187","0.6365"
"myframe_S","E2","15","0.0836","0.1654","0.245","0.3228","0.4023","0.4817","0.6261","0.7391"
"myframe_S","E2","30","0.1195","0.2394","0.3506","0.4586","0.5571","0.6467","0.7865","0.8724"
"myframe_S","E2","45","0.148","0.2962","0.4291","0.5493","0.655","0.7483","0.865","0.9273"
"myframe_S","E2","80","0.1937","0.3749","0.5464","0.6883","0.796","0.8677","0.9522","0.9797"
"myframe_S","E2","130","0.2447","0.48","0.6718","0.7993","0.8905","0.9412","0.9807","0.9943"
"myframe_S","E2","215","0.3196","0.589","0.7809","0.9","0.9576","0.9847","0.9972","0.9995"
"myframe_S","E2","360","0.4099","0.7237","0.8943","0.9691","0.9926","0.9976","0.9999","1"
"myframe_S","E2","600","0.511","0.8367","0.9661","0.995","0.9993","1","1","1"
"myframe_S","E2","1000","0.6217","0.9272","0.9921","0.9995","1","1","1","1"
"myframe_S","E3","10","0.1412","0.2806","0.4079","0.5252","0.6341","0.7195","0.846","0.9104"
"myframe_S","E3","15","0.1834","0.3552","0.5081","0.6403","0.7482","0.8297","0.9229","0.9611"
"myframe_S","E3","30","0.2424","0.4657","0.6584","0.7899","0.8808","0.933","0.9777","0.9924"
"myframe_S","E3","45","0.2996","0.5644","0.7637","0.8844","0.9488","0.9765","0.9943","0.9986"
"myframe_S","E3","80","0.4","0.6988","0.8748","0.9561","0.9881","0.9969","0.9994","1"
"myframe_S","E3","130","0.4837","0.8091","0.9525","0.9907","0.9983","0.9998","1","1"
"myframe_S","E3","215","0.6116","0.9113","0.987","0.9985","1","1","1","1"
"myframe_S","E3","360","0.7207","0.9724","0.9983","1","1","1","1","1"
"myframe_S","E3","600","0.8495","0.9945","0.9999","1","1","1","1","1"
"myframe_S","E3","1000","0.9314","0.9995","1","1","1","1","1","1"
"myframe_S","E4","10","0.2154","0.41","0.5934","0.7322","0.8333","0.9008","0.9632","0.9853"
"myframe_S","E4","15","0.2668","0.5015","0.6981","0.8346","0.9157","0.9594","0.989","0.9975"
"myframe_S","E4","30","0.3781","0.6763","0.8561","0.9472","0.9824","0.9949","0.9992","0.9999"
