"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.19","0.373","0.5399","0.6865","0.7937","0.8703","0.9444","0.9773"
"myframe_S","E1","15","0.1927","0.3728","0.5382","0.6793","0.7879","0.8586","0.9345","0.9738"
"myframe_S","E1","30","0.3299","0.6142","0.8074","0.9111","0.9602","0.9825","0.9968","0.9997"
"myframe_S","E1","45","0.3716","0.6658","0.8517","0.9415","0.9781","0.9906","0.999","1"
"myframe_S","E1","80","0.445","0.7638","0.924","0.9761","0.9926","0.9978","0.9998","1"
"myframe_S","E1","130","0.5592","0.8809","0.9773","0.9957","0.9992","1","1","1"
"myframe_S","E1","215","0.6836","0.9525","0.9954","0.9993","1","1","1","1"
"myframe_S","E1","360","0.7965","0.988","0.9998","1","1","1","1","1"
"myframe_S","E1","600","0.9091","0.9992","0.9999","1","1","1","1","1"
"myframe_S","E1","1000","0.9679","1","1","1","1","1","1","1"
"myframe_S","E2","10","0.181","0.3473","0.5057","0.6449","0.755","0.834","0.9277","0.9692"
"myframe_S","E2","15","0.2893","0.5417","0.7308","0.8543","0.928","0.9623","0.9886","0.9969"
"myframe_S","E2","30","0.3218","0.5939","0.7934","0.9055","0.9574","0.9807","0.9963","0.9994"
"myframe_S","E2","45","0.4362","0.763","0.921","0.9744","0.9921","0.998","0.9996","1"
"myframe_S","E2","80","0.5397","0.8586","0.9705","0.9923","0.9988","0.9999","1","1"
"myframe_S","E2","130","0.6373","0.9399","0.9936","0.9995","1","1","1","1"
"myframe_S","E2","215","0.7625","0.9803","0.9996","0.9999","1","1","1","1"
"myframe_S","E2","360","0.865","0.9977","1","1","1","1","1","1"
"myframe_S","E2","600","0.9516","1","1","1","1","1","1","1"
"myframe_S","E2","1000","0.9892","1","1","1","1","1","1","1"
"myframe_S","E3","10","0.2864","0.5426","0.7381","0.8623","0.9296","0.9645","0.9905","0.9979"
"myframe_S","E3","15","0.2808","0.5345","0.7276","0.8533","0.9222","0.9612","0.9873","0.9963"
"myframe_S","E3","30","0.4104","0.7196","0.8888","0.9606","0.9866","0.9947","0.9994","1"
"myframe_S","E3","45","0.4832","0.7981","0.9383","0.9826","0.9963","0.9987","1","1"
"myframe_S","E3","80","0.6012","0.905","0.986","0.9988","0.9999","1","1","1"
"myframe_S","E3","130","0.7245","0.969","0.9978","1","1","1","1","1"
"myframe_S","E3","215","0.8422","0.995","1","1","1","1","1","1"
"myframe_S","E3","360","0.931","0.9996","1","1","1","1","1","1"
"myframe_S","E3","600","0.9806","1","1","1","1","1","1","1"
"myframe_S","E3","1000","0.9976","1","1","1","1","1","1","1"
"myframe_S","E4","10","0.2894","0.5455","0.7387","0.8587","0.9305","0.9656","0.9907","0.9981"
"myframe_S","E4","15","0.3196","0.5984","0.7933","0.9018","0.9537","0.9791","0.9954","0.9994"
"myframe_S","E4","30","0.4724","0.7857","0.9332","0.9798","0.9943","0.9985","1","1"
"myframe_S","E4","45","0.539","0.8593","0.9672","0.9937","0.9991","0.9998","1","1"
"myframe_S","E4","80","0.6638","0.9416","0.9945","0.9998","1","1","1","1"
"myframe_S","E4","130","0.7766","0.9837","0.9992","1","1","1","1","1"
"myframe_S","E4","215","0.8829","0.9984","1","1","1","1","1","1"
"myframe_S","E4","360","0.9554","1","1","1","1","1","1","1"
"myframe_S","E4","600","0.9917","1","1","1","1","1","1","1"
"myframe_S","E4","1000","0.9992","1","1","1","1","1","1","1"
"myframe_S","E5","10","0.3862","0.6779","0.8634","0.9521","0.9829","0.9947","0.9996","0.9999"
"myframe_S","E5","15","0.4031","0.7143","0.8899","0.9619","0.988","0.9967","0.9995","1"
"myframe_S","E5","30","0.5752","0.8885","0.9784","0.9974","0.9997","1","1","1"
"myframe_S","E5","45","0.6565","0.9429","0.9947","0.9991","0.9999","1","1","1"
"myframe_S","E5","80","0.8026","0.9885","0.9998","1","1","1","1","1"
"myframe_S","E5","130","0.8972","0.9985","1","1","1","1","1","1"
"myframe_S","E5","215","0.966","1","1","1","1","1","1","1"
"myframe_S","E5","360","0.9946","1","1","1","1","1","1","1"
"myframe_S","E5","600","0.9996","1","1","1","1","1","1","1"
"myframe_S","E5","1000","1","1","1","1","1","1","1","1"
