"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50"
"myframe_S","E1","10","0.2987","0.5556","0.7385","0.8634","0.9326","0.9666","0.9925","0.9983"
"myframe_S","E1","15","0.4102","0.7107","0.8843","0.9608","0.9871","0.9961","0.9996","1"
"myframe_S","E1","30","0.5467","0.8648","0.9706","0.995","0.9991","0.9998","1","1"
"myframe_S","E1","45","0.6297","0.9239","0.9911","0.9992","1","1","1","1"
"myframe_S","E1","80","0.7869","0.9833","0.9992","1","1","1","1","1"
"myframe_S","E1","130","0.8846","0.9973","0.9999","1","1","1","1","1"
"myframe_S","E1","215","0.9529","1","1","1","1","1","1","1"
"myframe_S","E1","360","0.9908","1","1","1","1","1","1","1"
"myframe_S","E1","600","0.9986","1","1","1","1","1","1","1"
"myframe_S","E1","1000","0.9998","1","1","1","1","1","1","1"
