"dbh","biomass","grp"
13.78697649,103.1491997,"10-20"
11.13281694,55.82342585,"10-20"
10.33595224,39.60846324,"10-20"
19.00298987,164.301103,"10-20"
10.54982269,57.31302911,"10-20"
11.08404111,53.93240393,"10-20"
10.44101739,33.28606729,"10-20"
12.06607387,81.04673745,"10-20"
43.58109434,1315.420374,"40-50"
10.74002474,43.8408375,"10-20"
10.18172367,45.48429231,"10-20"
10.11823984,61.00353377,"10-20"
10.64185342,43.35864474,"10-20"
10.74763562,31.32891305,"10-20"
16.02303593,121.5413523,"10-20"
11.44064753,73.98181456,"10-20"
12.54593982,91.14251153,"10-20"
16.91500357,134.1861449,"10-20"
13.00616535,99.93175823,"10-20"
12.4469223,84.72537761,"10-20"
10.36777246,38.53149573,"10-20"
34.66842349,792.3190882,"30-40"
10.45765074,43.88610212,"10-20"
10.2277234,57.94782521,"10-20"
72.95591909,3295.110164,"70-80"
14.9651296,82.32407563,"10-20"
10.67714054,62.88175215,"10-20"
25.32021824,421.9641396,"20-30"
11.55610965,72.9066131,"10-20"
10.20436981,50.14336983,"10-20"
14.35934367,72.91667227,"10-20"
10.78416868,54.17632105,"10-20"
43.53110293,1366.556229,"40-50"
12.61811686,50.30898892,"10-20"
11.01149137,56.07312551,"10-20"
14.36227836,74.43927549,"10-20"
10.6121362,31.16291852,"10-20"
10.61021408,40.16308416,"10-20"
10.68087619,58.777727,"10-20"
10.33867453,48.08553249,"10-20"
19.27796484,137.1860914,"10-20"
10.65923093,41.51924282,"10-20"
79.10137669,3649.982622,"70-80"
10.92692323,39.34143634,"10-20"
10.23147046,59.05740333,"10-20"
12.38427571,61.5566665,"10-20"
80.74777403,3319.647301,"80-90"
19.34986729,189.5646403,"10-20"
11.25610515,66.79700763,"10-20"
10.06267096,31.20349135,"10-20"
10.2017666,39.51099974,"10-20"
15.73682308,121.1099422,"10-20"
10.20049835,52.60409352,"10-20"
43.51221212,1143.381089,"40-50"
11.85866406,51.98597452,"10-20"
27.09095352,426.4544361,"20-30"
10.39742783,34.01119878,"10-20"
12.25160251,44.06687171,"10-20"
10.08669952,29.69252475,"10-20"
16.37963874,123.3434282,"10-20"
10.13977329,58.63484533,"10-20"
11.21871623,62.67524724,"10-20"
26.81017771,406.4466935,"20-30"
10.04496215,46.93885257,"10-20"
16.28347022,131.1598858,"10-20"
10.41802285,58.99490743,"10-20"
15.93769272,134.3455476,"10-20"
23.38359229,181.7578474,"20-30"
10.53159935,59.82502266,"10-20"
10.07274034,42.12482276,"10-20"
69.05444335,2877.493642,"60-70"
17.96743601,183.7801804,"10-20"
10.94096404,65.19668268,"10-20"
12.96877255,70.54322236,"10-20"
12.42833121,87.0650118,"10-20"
10.16911298,29.48915622,"10-20"
12.29295801,49.18667508,"10-20"
10.52973675,44.09700928,"10-20"
10.74707035,67.46699816,"10-20"
10.456387,60.50057856,"10-20"
10.69362554,51.10952911,"10-20"
23.0288118,320.1909667,"20-30"
91.29820869,5117.767815,"90-100"
10.26695137,60.55464807,"10-20"
10.01210327,42.1427025,"10-20"
15.12525358,91.68226636,"10-20"
10.16688237,49.87580687,"10-20"
11.07175716,39.77937265,"10-20"
10.02541528,42.49887303,"10-20"
10.11071254,39.84318816,"10-20"
17.89994212,104.8713801,"10-20"
11.35104435,49.97614441,"10-20"
13.48621893,92.36442396,"10-20"
11.20417902,38.71731517,"10-20"
10.34729261,48.05948512,"10-20"
11.06005844,73.17222032,"10-20"
18.29951976,152.720022,"10-20"
10.17681168,54.97272992,"10-20"
11.96001662,52.42814537,"10-20"
10.30456841,56.93933926,"10-20"
15.07781603,80.07482094,"10-20"
14.98524304,135.0552962,"10-20"
10.03988627,45.43432635,"10-20"
11.88504852,38.11844344,"10-20"
10.60915515,47.00860854,"10-20"
10.06579293,39.76127071,"10-20"
12.35404626,47.7521788,"10-20"
13.42387975,108.1272075,"10-20"
10.12311948,60.53151342,"10-20"
10.18491532,61.984587,"10-20"
16.53761908,184.6546478,"10-20"
10.08154479,30.03727937,"10-20"
24.62479872,307.6325403,"20-30"
11.32279331,64.46171675,"10-20"
10.84164967,57.93021523,"10-20"
10.02190573,38.99101901,"10-20"
12.90138207,84.29677479,"10-20"
10.13228433,31.15783571,"10-20"
10.80948545,70.34113926,"10-20"
12.24224573,59.65586101,"10-20"
20.20565907,287.5655907,"20-30"
13.67723986,98.31305626,"10-20"
27.6272992,474.906069,"20-30"
10.38567613,43.15436846,"10-20"
13.98642146,89.7939038,"10-20"
