dbh,biomass
13.513,67.106
15.037,94.945
13.563,57.865
14.559,105.84
43.386,1015
13.125,68.398
15.22,91.473
15.279,79.645
22.575,169.89
15.465,74.696
40.827,1247.6
19.238,137.7
13.379,64.792
14.237,90.711
16.632,114.65
16.39,91.105
18.167,176.36
22.465,249.3
13.266,105.58
14.007,62.753
13.104,67.269
15.505,139.48
14.425,56.981
15.152,124.96
13.592,114.55
16.291,121.05
13.076,96.195
18.283,122.5
14.033,60.515
74.359,4566.8
36.872,966.89
13.566,58.651
69.857,1868.2
19.285,251.52
13.737,100.25
22.772,214.57
15.756,131.24
17.936,177.37
14.38,90.468
15.606,128.39
15.776,129.99
16.293,96.136
16.895,140.25
14.631,96.278
13.102,89.266
13.787,73.101
17.59,119.18
13.05,81.949
13.963,91.766
17.332,170.38
13.127,78.165
16.482,122.8
15.389,149.2
27.092,488.91
13.328,99.384
15.318,86.047
22.124,256.17
13.139,56.751
32.932,597.01
14.324,113.65
25.607,449.73
13.264,73.281
13.951,111
13.332,73.749
13.57,81.095
17.468,159.3
13.528,58.535
13.49,84.665
14.629,73.762
16.715,120.78
13.558,92.248
13.618,83.313
14.809,84.704
14.048,86.206
14.832,136.93
22.096,267.19
13.258,77.986
14.443,107.14
13.98,80.35
13.814,110.61
13.006,63.894
14.593,99.254
15.014,124.55
17.422,127.21
16.404,128.18
13.101,85.606
20.37,239.26
14.202,80.28
22.053,286.13
13.83,111.96
14.625,108.41
54.034,2072
30.174,359.92
29.528,613.27
37.598,928.23
13.308,89.118
31.213,713.64
16.905,183.74
18.074,99.5
13.061,81.191
16.855,167.1
50.365,1599.4
14.424,120.61
13.826,86.399
17.009,136.38
16.848,113.13
13.784,76.04
16.671,162.8
13.861,71.875
15.016,114.49
15.204,142.18
13.534,69.235
18.501,203.13
43.859,695
13.242,74.892
15.814,122.19
13.431,65.432
13.369,85.384
16.053,86.491
13.401,101.34
13.492,113.49
66.877,2232.4
13.007,76.664
13.562,65.314
21.805,208
13.194,111.81
13.678,103.62
20.513,218.26
