"dbh","biomass","grp"
58.74717169,2789.93323,"50-60"
32.83921687,567.8130914,"30-40"
44.21945231,1260.630051,"40-50"
26.17779099,413.1400317,"20-30"
33.56751217,460.7831798,"30-40"
43.08770319,867.5915784,"40-50"
35.20820502,752.5083957,"30-40"
71.48458468,2443.969219,"70-80"
37.50964793,1087.165619,"30-40"
47.50175514,795.2074414,"40-50"
55.37398073,2179.359177,"50-60"
52.35882075,1799.206957,"50-60"
59.14505676,1301.568423,"50-60"
33.51707955,854.5033219,"30-40"
58.69325703,1949.228063,"50-60"
52.35328278,2156.730394,"50-60"
36.54226559,674.2831063,"30-40"
49.30274393,1362.544327,"40-50"
35.36823177,745.1699418,"30-40"
50.6367277,1391.94673,"50-60"
33.7910667,503.5557811,"30-40"
47.07401167,1271.496202,"40-50"
58.90259675,2175.587868,"50-60"
54.38540988,2520.508948,"50-60"
58.49063313,2120.748654,"50-60"
59.52283446,1282.579852,"50-60"
44.25392282,712.8557364,"40-50"
34.56041532,898.9247692,"30-40"
19.78596363,207.6652067,"10-20"
49.77177187,1722.361221,"40-50"
42.53068462,1217.523721,"40-50"
33.69100764,498.7505811,"30-40"
47.74950095,1884.007343,"40-50"
66.74388404,3809.749014,"60-70"
37.5005311,826.9297763,"30-40"
40.15744025,598.3817939,"40-50"
65.29374975,3627.194944,"60-70"
45.27764478,1206.102478,"40-50"
39.12913991,781.8439114,"30-40"
46.6837249,1222.590973,"40-50"
61.59009984,1856.031526,"60-70"
42.18073587,1026.665888,"40-50"
32.50549318,805.066236,"30-40"
31.75314414,497.5806112,"30-40"
38.87140332,993.8565595,"30-40"
28.70660597,309.0715714,"20-30"
38.14429665,511.9066788,"30-40"
68.74436421,2375.386362,"60-70"
32.68276955,547.5059945,"30-40"
28.43286473,417.2136522,"20-30"
37.45146773,460.5832331,"30-40"
29.82956518,351.6062252,"20-30"
37.33550048,841.43473,"30-40"
37.11907629,974.7859738,"30-40"
32.71928142,760.685477,"30-40"
49.73979065,2031.545005,"40-50"
52.67716952,1479.186139,"50-60"
40.59764143,897.6168451,"40-50"
39.71226041,1026.702529,"30-40"
40.21058838,1225.288417,"40-50"
54.74262564,2407.278892,"50-60"
13.20923157,52.76389218,"10-20"
41.20052222,1000.777286,"40-50"
33.8278096,709.5885944,"30-40"
56.33092703,1416.935958,"50-60"
58.39899873,1641.823383,"50-60"
27.7536021,538.9485959,"20-30"
50.62724515,1183.675151,"50-60"
58.22778571,1758.627042,"50-60"
48.12117936,1186.987837,"40-50"
55.27834632,1940.36646,"50-60"
63.20349708,2686.395237,"60-70"
30.67775717,517.1911577,"30-40"
52.98803899,1740.860333,"50-60"
68.38476099,2899.690433,"60-70"
60.65756475,1681.505751,"60-70"
42.49748051,1414.803998,"40-50"
31.34089193,581.3099812,"30-40"
58.88203276,2056.714919,"50-60"
37.57717227,831.3030829,"30-40"
26.76852826,430.2405193,"20-30"
36.44464314,498.2874154,"30-40"
33.09728469,451.6996979,"30-40"
51.37601511,1877.741528,"50-60"
54.53124772,1671.388346,"50-60"
47.40635951,1016.977785,"40-50"
39.18743395,1144.43978,"30-40"
27.06620077,433.0744611,"20-30"
33.96597335,633.8204527,"30-40"
47.6096981,830.5411925,"40-50"
50.71159016,2176.034885,"50-60"
45.33170422,1314.686609,"40-50"
64.22480488,2463.707595,"60-70"
56.85762361,1691.589401,"50-60"
28.45672363,401.8972376,"20-30"
67.89358152,2394.91543,"60-70"
45.53040495,1486.188647,"40-50"
63.72836226,2643.302587,"60-70"
25.29451582,389.8316727,"20-30"
34.15621898,775.0810281,"30-40"
25.16061526,201.4709915,"20-30"
34.12275378,802.3901863,"30-40"
68.19198514,2757.824526,"60-70"
47.98067777,1234.720201,"40-50"
37.07980181,1070.939424,"30-40"
49.86534905,1146.711826,"40-50"
34.33199389,534.5627599,"30-40"
49.63281622,1782.216116,"40-50"
39.45016415,987.7915034,"30-40"
45.91507773,1462.525545,"40-50"
43.08505833,811.3992134,"40-50"
55.24261409,1345.309097,"50-60"
36.7488833,861.1364263,"30-40"
43.16326133,785.0902427,"40-50"
52.84610337,1604.119187,"50-60"
13.32307405,109.8077424,"10-20"
63.15838722,2345.948689,"60-70"
39.75545836,1085.625588,"30-40"
22.47445678,202.8320453,"20-30"
31.15686926,596.3408482,"30-40"
59.27207676,1326.50357,"50-60"
55.71421381,1371.050591,"50-60"
45.85848842,888.4132036,"40-50"
50.58641042,1287.052321,"50-60"
52.13292326,1610.449839,"50-60"
47.57645322,826.163845,"40-50"
66.23890712,1935.740695,"60-70"
48.00315719,1204.767141,"40-50"
36.33482772,785.0800741,"30-40"
51.78185397,1665.235991,"50-60"
60.91333208,3234.628378,"60-70"
82.1439544,5343.728755,"80-90"
49.04806683,1773.567247,"40-50"
57.99832395,1301.330355,"50-60"
49.89138726,1626.479696,"40-50"
21.09634655,263.1166446,"20-30"
47.27776914,1061.606149,"40-50"
61.39462931,2107.489688,"60-70"
32.3550627,558.2171259,"30-40"
48.23632372,1261.815555,"40-50"
40.54025168,791.9980499,"40-50"
33.06919264,735.2684002,"30-40"
38.84323437,852.2567237,"30-40"
62.47572558,1918.808652,"60-70"
65.73914404,2406.084313,"60-70"
19.87664161,206.1091227,"10-20"
51.35521406,1753.024197,"50-60"
43.70273496,1355.664542,"40-50"
55.52648808,1631.967754,"50-60"
62.1393123,2036.713752,"60-70"
39.65511493,680.1317469,"30-40"
44.97541953,1368.890456,"40-50"
32.70607114,700.3462577,"30-40"
38.71673495,969.8146798,"30-40"
73.60363698,2236.514423,"70-80"
32.09197971,446.2322444,"30-40"
36.6432047,524.2777436,"30-40"
55.01039763,1981.626886,"50-60"
57.2674064,2320.63502,"50-60"
50.36507235,1422.877285,"50-60"
23.87555116,378.094079,"20-30"
31.43780526,571.0056617,"30-40"
37.44496596,935.4267224,"30-40"
31.37244586,440.9028012,"30-40"
31.43634139,317.4353632,"30-40"
41.34975297,1125.550795,"40-50"
41.85118369,986.9822285,"40-50"
45.72389527,1449.074537,"40-50"
50.9175983,1405.074468,"50-60"
43.81592559,958.7633063,"40-50"
55.36595088,1807.806729,"50-60"
54.05597177,2229.448573,"50-60"
52.20908455,2258.321692,"50-60"
58.98266562,1920.591986,"50-60"
37.72464227,720.1669862,"30-40"
39.76707482,976.6322902,"30-40"
42.67707418,1311.891335,"40-50"
39.01439946,857.5306122,"30-40"
46.20402507,1395.484469,"40-50"
60.58874377,2508.417747,"60-70"
37.70277102,902.8615274,"30-40"
54.80188469,1937.295053,"50-60"
46.9912976,1327.317938,"40-50"
56.00046478,2021.741428,"50-60"
33.28534029,611.2350684,"30-40"
43.76170746,1305.330187,"40-50"
45.09464285,1104.113434,"40-50"
47.40401041,1144.920436,"40-50"
67.70951726,2061.074983,"60-70"
40.21697185,995.8067869,"40-50"
63.78016863,2173.027491,"60-70"
41.80044952,709.6479226,"40-50"
56.59772396,2624.738177,"50-60"
67.50335028,3337.864017,"60-70"
37.95978932,1019.64148,"30-40"
36.11657378,675.0190564,"30-40"
66.81054148,3325.722094,"60-70"
64.20976673,2496.043384,"60-70"
54.29270341,2518.021634,"50-60"
53.84725852,1490.309255,"50-60"
48.55265948,1977.909537,"40-50"
37.42885214,525.8682932,"30-40"
51.33147242,1717.141484,"50-60"
49.13163381,1404.204751,"40-50"
56.70753648,2327.692965,"50-60"
49.65107138,1040.891492,"40-50"
33.73116951,677.7861915,"30-40"
50.48453022,969.0252161,"50-60"
35.9937241,806.8683943,"30-40"
27.48113213,467.3730501,"20-30"
59.92403485,1993.989827,"50-60"
22.86186951,309.1787653,"20-30"
46.85039258,995.7581218,"40-50"
35.86261666,900.836415,"30-40"
37.96980649,630.1919707,"30-40"
54.44262924,1903.279893,"50-60"
48.548593,995.7446373,"40-50"
50.83963939,1255.023992,"50-60"
15.09990146,131.5044112,"10-20"
69.80369387,3906.369654,"60-70"
47.43802828,1128.005034,"40-50"
47.99679184,1426.433961,"40-50"
29.29415119,584.3899568,"20-30"
47.17514534,1105.024486,"40-50"
34.78456085,876.3397544,"30-40"
35.61410186,993.5598639,"30-40"
67.21993869,1739.582187,"60-70"
29.19771379,587.2200836,"20-30"
50.7349751,1677.585105,"50-60"
41.11632033,1266.365642,"40-50"
28.91401881,301.5226149,"20-30"
39.83128572,580.7249341,"30-40"
32.89600606,620.8620509,"30-40"
30.7691263,380.6315084,"30-40"
31.76367565,320.4090747,"30-40"
51.29162021,1175.944325,"50-60"
45.80194339,898.0339996,"40-50"
26.91760472,333.800117,"20-30"
60.57444615,2125.150309,"60-70"
59.37674155,1570.771158,"50-60"
54.45581431,1584.290499,"50-60"
42.42852565,1123.840258,"40-50"
49.9830351,1577.87331,"40-50"
60.89320044,2003.812569,"60-70"
32.00373765,406.9767664,"30-40"
55.578312,1404.259961,"50-60"
28.56351113,447.177128,"20-30"
63.52206815,1900.817634,"60-70"
27.50751474,269.8654204,"20-30"
30.33106213,554.723037,"30-40"
56.23828828,1358.263008,"50-60"
46.99297423,928.3492429,"40-50"
38.62551694,670.9469836,"30-40"
68.16434419,2766.015202,"60-70"
40.59216945,815.855001,"40-50"
33.97843885,496.9212088,"30-40"
53.49780775,1441.568623,"50-60"
38.3313671,626.9534067,"30-40"
39.39691037,834.075107,"30-40"
66.31811479,2475.429175,"60-70"
61.91660485,1783.086373,"60-70"
64.89895896,2729.529716,"60-70"
37.31155607,757.203965,"30-40"
64.47608547,2804.366599,"60-70"
57.54536341,1207.824439,"50-60"
40.67285646,744.4127036,"40-50"
33.4561515,662.7009146,"30-40"
49.42189057,1006.775519,"40-50"
51.20884749,1233.523942,"50-60"
40.00370087,800.116098,"40-50"
32.24119484,421.7967015,"30-40"
38.49359943,1094.667393,"30-40"
52.33708465,1787.576041,"50-60"
47.15980283,1401.618742,"40-50"
16.00197461,123.4433127,"10-20"
41.44962916,904.6356163,"40-50"
42.40874245,1406.352141,"40-50"
48.57638134,1093.581094,"40-50"
67.63226894,3365.60119,"60-70"
20.87783373,147.7192438,"20-30"
37.6185387,695.8574868,"30-40"
38.27533018,588.8494494,"30-40"
41.41654473,879.9089395,"40-50"
44.58728389,1193.515577,"40-50"
71.37430678,4407.522458,"70-80"
34.32635131,674.9636948,"30-40"
62.88193477,2293.722951,"60-70"
28.25028048,380.6786303,"20-30"
41.10116323,837.6673542,"40-50"
44.12460394,851.0898251,"40-50"
25.31077113,446.6703438,"20-30"
55.54099056,1702.554624,"50-60"
40.21826442,853.6830701,"40-50"
53.78839739,1920.075059,"50-60"
30.39447053,411.3054401,"30-40"
41.20335168,565.3778138,"40-50"
45.80264454,1593.27468,"40-50"
42.85772875,919.1644129,"40-50"
44.53504896,979.6078272,"40-50"
42.07046978,616.9255381,"40-50"
39.55071904,965.5195523,"30-40"
29.69296064,474.0651932,"20-30"
41.14349301,995.0457978,"40-50"
37.45827383,922.0010582,"30-40"
65.07386982,3383.314385,"60-70"
33.03831276,807.0436433,"30-40"
25.99012713,392.1356304,"20-30"
42.08736434,1401.520759,"40-50"
28.23484197,428.2448063,"20-30"
50.93110067,1655.855019,"50-60"
50.87005285,1241.151297,"50-60"
46.70458698,1755.576918,"40-50"
29.10816671,553.8053711,"20-30"
26.56980069,302.5614612,"20-30"
32.24120011,491.5729651,"30-40"
29.80940636,396.5180965,"20-30"
49.62654783,1866.164803,"40-50"
41.7341477,1020.646339,"40-50"
22.36882162,328.2564051,"20-30"
50.38454768,1879.127504,"50-60"
58.30960024,2604.553802,"50-60"
60.39828293,3082.709107,"60-70"
44.09567985,940.5072537,"40-50"
34.16912166,402.2225673,"30-40"
37.59444331,775.9019245,"30-40"
35.47948414,524.8360783,"30-40"
53.42028373,1533.822498,"50-60"
48.51131281,1751.609843,"40-50"
28.08185221,355.2200153,"20-30"
39.61475244,773.5792984,"30-40"
64.45740839,2228.007607,"60-70"
30.68754014,439.2463628,"30-40"
42.54870802,1140.600881,"40-50"
60.06242802,1537.157166,"60-70"
31.35952817,559.5904627,"30-40"
57.28035483,2327.615523,"50-60"
57.06029695,2626.751685,"50-60"
63.14961939,2732.647457,"60-70"
36.03915966,683.6534476,"30-40"
24.76060239,350.1960109,"20-30"
34.92233949,850.072362,"30-40"
52.62621941,2176.670806,"50-60"
50.28013104,1400.696008,"50-60"
41.8365723,1309.292654,"40-50"
63.69746003,2193.956832,"60-70"
84.98179419,5349.23668,"80-90"
50.29829359,1836.299536,"50-60"
40.35277645,891.5559889,"40-50"
39.95492107,831.1385692,"30-40"
26.89888804,396.9738885,"20-30"
28.81632437,508.4414152,"20-30"
64.31392524,2642.253879,"60-70"
38.32341125,881.9633716,"30-40"
55.25167621,1224.111443,"50-60"
39.40840156,1086.617859,"30-40"
49.05851795,1764.783751,"40-50"
57.63871579,1830.324754,"50-60"
60.91850309,1956.144149,"60-70"
49.36458873,1418.577433,"40-50"
68.78290567,2313.097839,"60-70"
30.75370163,388.6926724,"30-40"
46.81713964,1089.514346,"40-50"
54.82410194,2090.296762,"50-60"
36.8341552,1020.633478,"30-40"
33.64702862,451.4822134,"30-40"
43.05752784,961.857512,"40-50"
31.13598956,349.5129503,"30-40"
37.59999952,813.9604714,"30-40"
47.14956118,1749.006756,"40-50"
43.29471366,1477.460935,"40-50"
46.55240767,1273.324662,"40-50"
48.21956277,1682.7786,"40-50"
61.28804862,2229.144906,"60-70"
44.80588381,1541.48649,"40-50"
44.99315459,1180.280766,"40-50"
46.91075104,947.0603951,"40-50"
44.87246539,786.8872974,"40-50"
25.88962396,294.5762492,"20-30"
48.62056017,1604.385094,"40-50"
47.06954153,1321.222537,"40-50"
49.15788776,1342.808813,"40-50"
47.52151978,1690.346325,"40-50"
41.38243761,1010.407184,"40-50"
16.30193944,115.2887372,"10-20"
24.2070379,309.5704159,"20-30"
59.01550126,1467.155094,"50-60"
55.6721045,2490.998084,"50-60"
66.33700715,1916.960564,"60-70"
43.52704213,967.6523813,"40-50"
40.26716402,687.7786367,"40-50"
35.85184565,986.5914571,"30-40"
71.5397762,2454.869174,"70-80"
35.33666532,724.763948,"30-40"
30.59152366,657.8200885,"30-40"
60.54138158,1888.564989,"60-70"
65.08834747,3413.44634,"60-70"
55.15550047,2060.090515,"50-60"
46.05119855,1347.826064,"40-50"
47.43962608,1456.041042,"40-50"
38.25253346,1025.796597,"30-40"
35.52828582,793.5172106,"30-40"
67.77224385,3400.038253,"60-70"
81.73856623,4644.261357,"80-90"
42.33872539,1360.796517,"40-50"
40.4185421,995.519223,"40-50"
22.91284446,219.0135442,"20-30"
43.91987172,937.7224617,"40-50"
50.92670327,2147.947212,"50-60"
28.90322644,591.9968175,"20-30"
32.43562437,564.6530108,"30-40"
62.35531258,2871.928464,"60-70"
44.58443292,1353.136637,"40-50"
36.03431734,793.9692853,"30-40"
66.91609001,2106.176923,"60-70"
43.28160818,1073.254876,"40-50"
50.39382315,1193.240709,"50-60"
56.3193953,1770.929078,"50-60"
46.17989899,1231.875894,"40-50"
46.2515725,1127.859181,"40-50"
46.31661268,1745.495135,"40-50"
56.15091047,1429.213183,"50-60"
31.0740256,404.0839561,"30-40"
55.195015,1603.628575,"50-60"
40.85100489,768.330468,"40-50"
50.91582119,1390.260976,"50-60"
15.64860528,104.1159828,"10-20"
51.31203195,1330.747323,"50-60"
31.89753126,358.6073422,"30-40"
48.57232447,1384.064006,"40-50"
32.97919378,679.9172616,"30-40"
50.46385266,948.1902002,"50-60"
40.63003249,1288.439389,"40-50"
63.42058765,1469.052896,"60-70"
39.76677329,890.9701484,"30-40"
70.18712335,3268.219066,"70-80"
57.52258194,2005.654129,"50-60"
51.00443018,2178.981157,"50-60"
35.79912118,776.7902892,"30-40"
56.82830055,2728.225908,"50-60"
64.63562244,3564.694539,"60-70"
39.08209956,935.3677536,"30-40"
45.71875222,1084.86359,"40-50"
33.43763832,732.6894078,"30-40"
43.91257231,927.6137199,"40-50"
48.83002008,1524.452502,"40-50"
49.79200813,1185.816464,"40-50"
36.18050073,555.6142185,"30-40"
41.26185879,677.373274,"40-50"
51.03655208,1560.901557,"50-60"
50.69830308,1623.590875,"50-60"
43.60707437,1145.920339,"40-50"
42.49414846,1008.253625,"40-50"
11.31767061,39.98640233,"10-20"
43.01158711,953.9553662,"40-50"
33.60473307,528.0449488,"30-40"
66.39369224,2887.001798,"60-70"
42.35038511,1045.916407,"40-50"
24.01799306,255.0339158,"20-30"
51.02328522,1238.151589,"50-60"
38.05152578,565.9342484,"30-40"
23.89642704,331.0596012,"20-30"
29.72156567,439.2390299,"20-30"
70.6477694,2236.416394,"70-80"
59.87340586,2192.526861,"50-60"
36.66764971,837.2329186,"30-40"
29.07367283,541.0571546,"20-30"
54.25865034,2362.827417,"50-60"
54.10489155,1950.633082,"50-60"
28.77353172,507.2311425,"20-30"
41.38358612,1113.832484,"40-50"
57.00650013,1619.889591,"50-60"
49.53665656,933.5912817,"40-50"
48.26500157,1335.322767,"40-50"
28.38830456,454.7696013,"20-30"
43.16811358,1330.479857,"40-50"
29.00621641,393.6843072,"20-30"
49.99522658,1572.678229,"40-50"
48.87890695,1366.737229,"40-50"
35.80220307,574.5285049,"30-40"
37.80627945,913.0454933,"30-40"
50.64827646,1891.156455,"50-60"
51.20673053,1264.293524,"50-60"
21.30088541,257.0998612,"20-30"
27.81557132,401.0157147,"20-30"
38.2676915,836.0993415,"30-40"
72.94558988,3727.119948,"70-80"
35.97114025,955.7767165,"30-40"
77.98524153,4601.502937,"70-80"
71.87530208,3889.223122,"70-80"
38.95066848,594.5100927,"30-40"
26.02496571,252.2551356,"20-30"
42.49504593,884.1704357,"40-50"
49.99436845,1427.56061,"40-50"
22.63241606,220.6236704,"20-30"
63.65097825,2346.915459,"60-70"
54.76159223,1118.77356,"50-60"
35.62735022,869.1160998,"30-40"
31.51038196,678.7610156,"30-40"
57.76088543,1943.459143,"50-60"
60.5940448,1973.340822,"60-70"
30.73758639,510.2256526,"30-40"
29.12449881,449.6379016,"20-30"
30.44126538,621.54015,"30-40"
29.1316273,288.5682851,"20-30"
29.16594414,554.1620286,"20-30"
42.87495766,993.4412971,"40-50"
54.23814943,1927.430881,"50-60"
43.90207622,797.4282564,"40-50"
52.82197095,1219.85753,"50-60"
40.78990264,877.3591523,"40-50"
29.08317048,352.1451927,"20-30"
44.67102815,1073.986966,"40-50"
45.19685347,1064.567669,"40-50"
48.63519399,1649.464911,"40-50"
59.425314,2065.082462,"50-60"
67.3053966,3506.729023,"60-70"
55.31698785,1690.528749,"50-60"
60.61897949,3100.539816,"60-70"
36.1582903,809.8904792,"30-40"
48.74091012,1995.111347,"40-50"
18.55290098,156.2783292,"10-20"
26.15810316,340.4324195,"20-30"
72.71662845,4262.059319,"70-80"
23.44608012,255.1006328,"20-30"
26.18851899,359.169894,"20-30"
49.33620922,1171.520822,"40-50"
45.7716955,1326.290832,"40-50"
39.90987647,1160.901347,"30-40"
60.56273514,1849.248003,"60-70"
65.70722418,2901.906621,"60-70"
65.73888466,2271.050841,"60-70"
65.52231572,2842.970187,"60-70"
45.38091126,1683.585493,"40-50"
37.12392848,800.6470234,"30-40"
47.53992872,1190.275539,"40-50"
71.42426236,3657.81544,"70-80"
56.62534428,2503.010481,"50-60"
63.77383374,2607.669955,"60-70"
30.04043633,538.364477,"30-40"
47.76921352,1067.361833,"40-50"
11.96213979,60.08748781,"10-20"
48.66228519,910.6512529,"40-50"
58.51372245,2151.32808,"50-60"
56.11933046,2483.874508,"50-60"
47.84153531,1825.201845,"40-50"
19.47508656,156.5530177,"10-20"
23.89663444,377.8855366,"20-30"
37.64046605,787.3616813,"30-40"
44.21950157,1301.425946,"40-50"
40.65362076,1113.317523,"40-50"
49.79777809,1208.704131,"40-50"
50.33521451,1909.979064,"50-60"
38.8766106,948.5714116,"30-40"
13.42087005,62.88477275,"10-20"
54.170199,1387.322536,"50-60"
39.3289534,963.6644232,"30-40"
26.13526276,324.2753393,"20-30"
55.31769286,2378.992238,"50-60"
38.64163495,1098.766149,"30-40"
63.99158259,3168.320191,"60-70"
28.85004602,508.7506912,"20-30"
41.3787934,1017.986758,"40-50"
50.83069604,1506.955333,"50-60"
54.15118053,1517.978992,"50-60"
36.9740814,920.28634,"30-40"
62.55081901,3422.300479,"60-70"
44.77764235,1240.209403,"40-50"
35.41390664,702.094334,"30-40"
37.47127778,888.5916163,"30-40"
36.64437118,622.2383281,"30-40"
72.49709005,3578.226479,"70-80"
43.30302254,1086.477549,"40-50"
12.56869471,59.66064709,"10-20"
67.13850883,2967.30649,"60-70"
47.4761267,1599.913503,"40-50"
40.83595976,1064.913552,"40-50"
36.74013166,747.1045936,"30-40"
40.51826396,974.6289761,"40-50"
24.37965675,356.3996181,"20-30"
57.93481472,1266.727538,"50-60"
68.11034587,1965.917272,"60-70"
39.84245069,932.1115504,"30-40"
68.66762429,2498.252375,"60-70"
37.00992761,546.3152921,"30-40"
60.04938736,2687.924299,"60-70"
47.44153183,1343.425681,"40-50"
50.5408232,1144.320859,"50-60"
51.87032266,2076.802466,"50-60"
12.31643818,86.58507125,"10-20"
44.5986854,1361.507569,"40-50"
71.62958518,4056.858749,"70-80"
65.77407031,2585.938948,"60-70"
37.97018877,1085.755411,"30-40"
