"dbh","biomass","grp"
74.88810624,3568.335352,"70-80"
90.15324151,6777.307621,"90-100"
53.50880187,2360.35663,"50-60"
48.64338076,1788.454069,"40-50"
80.92504029,5351.77079,"80-90"
66.25579385,2672.13706,"60-70"
33.44205221,650.1670954,"30-40"
58.7606684,2623.639785,"50-60"
97.98301586,7487.256318,"90-100"
60.23045963,2621.663004,"60-70"
60.54346327,2804.418575,"60-70"
28.54611943,605.1191275,"20-30"
47.30089625,987.0716201,"40-50"
72.79679974,2866.705317,"70-80"
71.75051444,3519.911768,"70-80"
65.35813116,1955.781219,"60-70"
39.92877184,1224.040958,"30-40"
35.74024411,722.7559222,"30-40"
84.57014259,5536.643687,"80-90"
49.54891068,1652.431786,"40-50"
20.89906588,196.4378527,"20-30"
79.24398503,4913.777713,"70-80"
66.2104327,3638.928537,"60-70"
39.40357756,790.5921543,"30-40"
39.3985265,904.7471668,"30-40"
15.60144125,137.5486409,"10-20"
86.64161832,5023.620413,"80-90"
24.44605762,264.7736772,"20-30"
61.28317166,1900.596629,"60-70"
84.39121648,6309.652146,"80-90"
45.54776879,1309.021392,"40-50"
59.00655208,2560.068575,"50-60"
64.0375851,3390.086717,"60-70"
88.47520858,4218.751462,"80-90"
26.79361139,344.7176645,"20-30"
75.63974706,2803.668038,"70-80"
23.05172561,187.2369444,"20-30"
62.54587632,2079.628486,"60-70"
29.76591981,606.996576,"20-30"
99.47261772,8233.539629,"90-100"
39.56141086,979.4103076,"30-40"
63.96035773,2956.551778,"60-70"
98.39380345,6551.38199,"90-100"
78.37616472,4776.758411,"70-80"
39.90677389,835.5386595,"30-40"
23.90893215,225.5189905,"20-30"
81.3439799,4066.39735,"80-90"
65.39945656,2113.122682,"60-70"
98.73440367,4595.562478,"90-100"
17.95482178,145.765714,"10-20"
96.38229926,6593.389301,"90-100"
13.28160426,71.51615495,"10-20"
56.8266419,1300.140155,"50-60"
85.43747138,3377.771025,"80-90"
25.3054262,280.871755,"20-30"
90.27916146,5856.238705,"90-100"
33.40149911,661.353857,"30-40"
88.95361266,4003.315829,"80-90"
71.22322172,2866.842712,"70-80"
17.47710167,166.3324957,"10-20"
46.21428623,1222.79026,"40-50"
78.80863949,2789.47718,"70-80"
37.91010991,698.8025413,"30-40"
94.63586916,6855.614022,"90-100"
53.17512768,1274.448115,"50-60"
70.0439452,3015.547298,"70-80"
53.49880615,2379.402686,"50-60"
68.68181727,2394.294628,"60-70"
71.247423,3797.079929,"70-80"
99.62741648,6296.474365,"90-100"
95.29353274,4164.186081,"90-100"
97.21769845,6062.187573,"90-100"
61.13868595,1821.581597,"60-70"
29.00869291,419.2921832,"20-30"
75.43393003,2603.405185,"70-80"
12.63518122,95.43708657,"10-20"
33.6457257,455.3790458,"30-40"
31.47598238,689.9615011,"30-40"
31.88027378,610.157953,"30-40"
70.35915807,3016.145552,"70-80"
35.64908763,666.8141119,"30-40"
82.84102493,3869.453062,"80-90"
77.77575641,2916.696249,"70-80"
27.89920255,504.2521685,"20-30"
77.20978961,3394.153507,"70-80"
46.06566672,1195.7242,"40-50"
83.52376389,5365.340523,"80-90"
94.02152535,8003.949155,"90-100"
31.95482836,692.3682724,"30-40"
58.58589575,2753.550332,"50-60"
69.0861583,3231.429596,"60-70"
60.84844565,1546.461584,"60-70"
91.57043248,4291.867527,"90-100"
61.75792606,2261.684552,"60-70"
82.73599122,5685.658284,"80-90"
43.56032957,942.2286259,"40-50"
84.13649272,2814.133399,"80-90"
66.63475355,2681.663382,"60-70"
67.04562616,2459.486704,"60-70"
82.01693996,6248.144873,"80-90"
60.12365005,2102.214199,"60-70"
53.39885455,1615.455033,"50-60"
92.31657359,4712.666285,"90-100"
54.95155425,1872.088741,"50-60"
61.61274896,2415.238894,"60-70"
16.96051132,141.2861459,"10-20"
23.70011747,332.195395,"20-30"
79.13202824,4078.737133,"70-80"
30.64480183,542.1837288,"30-40"
25.80892406,448.3034289,"20-30"
43.38221964,912.7601391,"40-50"
98.48879512,7627.363535,"90-100"
16.83128834,109.52786,"10-20"
97.50368917,7067.207413,"90-100"
69.73114367,3234.896394,"60-70"
34.5912248,597.0438889,"30-40"
79.94748529,2796.750306,"70-80"
48.17372527,1225.405992,"40-50"
39.78991256,963.6283344,"30-40"
88.27878529,5526.892251,"80-90"
22.68086672,212.280695,"20-30"
31.59576066,423.3192206,"30-40"
67.80723431,3516.74486,"60-70"
43.84550315,1488.517185,"40-50"
32.31189574,594.5859842,"30-40"
39.88342502,1024.134317,"30-40"
71.44955796,1992.540001,"70-80"
21.56195908,237.6521287,"20-30"
56.77808683,1529.027673,"50-60"
21.60440985,251.408836,"20-30"
56.52391711,1645.73207,"50-60"
67.6647114,1987.245848,"60-70"
46.10851416,1147.725804,"40-50"
44.08053966,890.6434146,"40-50"
