"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50","distribution","model","Diam_distribution","dist_name","tree_count"
"myframe_S",8,"n10",0.3428,0.6299,0.8282,0.9412,0.9863,0.9991,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",10
"myframe_S",8,"n15",0.4993,0.8185,0.9569,0.9948,0.9998,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",15
"myframe_S",8,"n30",0.6558,0.9455,0.9963,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",30
"myframe_S",8,"n45",0.7468,0.9811,0.9998,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",45
"myframe_S",8,"n80",0.8885,0.9986,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",80
"myframe_S",8,"n130",0.9649,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",130
"myframe_S",8,"n215",0.993,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",215
"myframe_S",8,"n360",0.9995,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",360
"myframe_S",8,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",600
"myframe_S",8,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",1000
"myframe_S",7,"n10",0.4903,0.8215,0.959,0.9942,0.9999,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",10
"myframe_S",7,"n15",0.5861,0.898,0.9884,0.9995,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",15
"myframe_S",7,"n30",0.7139,0.9668,0.9985,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",30
"myframe_S",7,"n45",0.8243,0.9927,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",45
"myframe_S",7,"n80",0.9168,0.9998,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",80
"myframe_S",7,"n130",0.9775,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",130
"myframe_S",7,"n215",0.9951,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",215
"myframe_S",7,"n360",0.9998,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",360
"myframe_S",7,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",600
"myframe_S",7,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",1000
"myframe_S",6,"n10",0.4935,0.8186,0.9582,0.9945,0.9995,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",10
"myframe_S",6,"n15",0.5865,0.9026,0.9904,0.9994,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",15
"myframe_S",6,"n30",0.7672,0.9834,0.9997,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",30
"myframe_S",6,"n45",0.8555,0.9965,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",45
"myframe_S",6,"n80",0.9433,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",80
"myframe_S",6,"n130",0.9865,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",130
"myframe_S",6,"n215",0.9974,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",215
"myframe_S",6,"n360",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",360
"myframe_S",6,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",600
"myframe_S",6,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",1000
"myframe_S",5,"n10",0.5702,0.8857,0.9845,0.9989,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",10
"myframe_S",5,"n15",0.6471,0.9381,0.9959,0.9998,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",15
"myframe_S",5,"n30",0.7991,0.991,0.9999,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",30
"myframe_S",5,"n45",0.8718,0.9985,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",45
"myframe_S",5,"n80",0.9574,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",80
"myframe_S",5,"n130",0.9925,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",130
"myframe_S",5,"n215",0.9992,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",215
"myframe_S",5,"n360",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",360
"myframe_S",5,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",600
"myframe_S",5,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",1000
"myframe_S",4,"n10",0.4438,0.7671,0.9256,0.9796,0.9941,0.9985,0.9999,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",10
"myframe_S",4,"n15",0.5599,0.8769,0.9805,0.9972,0.9995,0.9998,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",15
"myframe_S",4,"n30",0.7363,0.972,0.9991,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",30
"myframe_S",4,"n45",0.8297,0.9939,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",45
"myframe_S",4,"n80",0.9328,0.9997,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",80
"myframe_S",4,"n130",0.9796,0.9999,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",130
"myframe_S",4,"n215",0.9957,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",215
"myframe_S",4,"n360",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",360
"myframe_S",4,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",600
"myframe_S",4,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",1000
"myframe_S",3,"n10",0.301,0.5531,0.739,0.8478,0.9086,0.9397,0.971,0.9826,"Truncated uniform right","Model 1","Uni","Truncated uniform right",10
"myframe_S",3,"n15",0.3838,0.6751,0.8488,0.9258,0.9612,0.9784,0.993,0.9976,"Truncated uniform right","Model 1","Uni","Truncated uniform right",15
"myframe_S",3,"n30",0.4993,0.8142,0.9421,0.9798,0.9922,0.9974,0.9997,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",30
"myframe_S",3,"n45",0.5983,0.8982,0.9775,0.9952,0.9989,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",45
"myframe_S",3,"n80",0.7243,0.9647,0.9963,0.9997,0.9999,0.9999,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",80
